RawPhenotypeNames,TissueWODate,AC148152.3_FG001,AC148152.3_FG005,AC148152.3_FG008
33-16,LMAD,0,0,52.59873
33-16,LMAN,0,0,39.85388
33-16,GShoot,0.36525,2.92202,4.74828
33-16,GRoot,0.39056,1.56226,0
33-16,L3Base,0,0,14.61342
33-16,L3Tip,0,0,85.69245
33-16,Kern,0,0,0.21758
38-11,LMAN,0,0,49.29184
38-11,L3Base,0,4.33499,18.4237
38-11,L3Tip,0,3.71603,64.2343
38-11,Kern,0,0.57845,0
38-11,Kern,0,0.96891,0.32297
4226,LMAN,1.49456,0,41.10033
4226,LMAD,1.28313,0,49.40038
4226,GShoot,1.09294,146.99998,1.91264
4226,GRoot,0,61.07173,0
4226,L3Base,2.01079,106.57178,16.08631
4226,L3Mid,4.2977,60.16775,87.7958
4226,L3Tip,1.64465,17.26883,78.1209
4226,Kern,0,1.52691,0.50897
4722,LMAN,0,0.20157,56.0374
4722,L3Tip,0,0,169.06328
4722,L3Base,0,0,19.42754
4722,Kern,0,0,0.64624
A188,GShoot,0,71.24515,4.32982
A188,LMAD,0,0.60481,107.05194
A188,LMAN,0,0.93127,47.49493
A188,L3Base,0,0.60192,6.01924
A188,L3Tip,0,0.48777,125.35606
A188,Kern,0,3.66026,0
A214N,LMAD,0,0,152.36256
A214N,LMAN,0,0,69.88087
A214N,GShoot,0,15.66969,2.69323
A214N,GRoot,0,21.63176,0
A214N,L3Tip,0,0,159.91271
A214N,L3Base,0,0.6842,16.42074
A239,LMAN,0,0,38.53329
A239,GShoot,0,91.94418,4.83917
A239,GRoot,0,37.29416,0
A239,L3Base,0,6.48434,4.32289
A239,L3Tip,0,4.55385,42.80617
A239,Kern,0,0,0
A441-5,LMAD,0,0,48.36309
A441-5,LMAN,0,0,48.30551
A441-5,GShoot,0.75696,100.67512,5.55101
A441-5,GRoot,2.9939,2.9939,0
A441-5,L3Base,0.96112,14.41682,14.41682
A441-5,L3Mid,0.74967,6.74705,98.20712
A441-5,L3Tip,2.44251,0.81417,84.67377
A441-5,Kern,0.9756,0.9756,0
A554,LMAD,0,0,110.63866
A554,LMAN,0,0,35.06199
A554,GShoot,0.60712,55.24758,6.37472
A554,GRoot,0,52.386,0
A554,L3Base,0,8.77953,25.30569
A556,LMAD,0,0,83.96508
A556,LMAN,0,0,39.49356
A556,GShoot,0,11.31999,0
A556,GRoot,0.55124,11.57611,0
A556,L3Base,0,3.64934,19.70642
A556,L3Tip,0,1.12842,55.29242
A556,Kern,0,0.28664,0.57329
A6,LMAD,0,0,104.86214
A6,LMAN,0,0,53.17868
A6,GShoot,0,66.7261,9.39804
A6,GRoot,0.49748,31.83865,0
A6,L3Base,0,0.77449,49.56765
A6,L3Tip,0,0,202.83818
A6,Kern,0,0,0.43073
A619,LMAD,0,0,97.9521
A619,LMAN,0,0,69.66392
A619,GShoot,0,58.43052,4.31589
A619,GRoot,0,19.4013,0
A619,L3Base,0,23.61217,25.8729
A619,Kern,0,0,0
A632,LMAN,0,0,106.25526
A632,LMAD,0,0,100.56099
A632,GShoot,0,32.07232,4.34879
A632,GRoot,0.54585,30.29444,0
A632,L3Base,0,0,9.69072
A632,L3Tip,0.7337,0,118.12646
A632,Kern,0,5.29276,0
A634,LMAN,0,0,100.46415
A634,GShoot,0,7.72887,5.05349
A634,GRoot,0,21.80876,0
A634,L3Base,0,0.29336,9.09414
A634,Kern,0,2.56078,0
A635,LMAN,0,0,63.16589
A635,GShoot,0,119.74383,2.9607
A635,GRoot,0.56025,0.56025,0
A635,L3Base,0.4276,0.4276,6.84165
A635,Kern,0.28366,2.8366,0
A641,LMAD,0,0,100.88791
A641,LMAN,0,0,73.54372
A641,GShoot,0,4.45504,1.9093
A641,GRoot,0.30782,5.23301,0
A641,L3Base,0,0,7.00121
A641,Kern,0,0.84977,0
A654,LMAD,0.2873,0,91.36239
A654,LMAN,0,0,51.26193
A654,GShoot,0,19.31921,4.49284
A654,GRoot,4.97582,53.49008,0
A654,L3Base,0.35499,0,9.5847
A654,L3Tip,1.36018,0,85.6916
A654,Kern,0,0.82203,0
A659,LMAD,0.89418,0,87.18252
A659,LMAN,1.26401,0,45.50449
A659,GRoot,2.34169,26.92939,1.17084
A659,L3Tip,0,0.86202,81.03024
A659,L3Base,0,0.79488,1.05983
A659,Kern,0,2.62782,0.29198
A661,LMAD,0,0,126.32765
A661,LMAN,0,0,58.05618
A661,GShoot,0,57.15094,3.86736
A661,GRoot,0.90704,13.60565,0.30235
A661,L3Base,0,5.59696,14.43427
A661,L3Tip,0,0,130.45265
A661,Kern,0,9.64487,0
A679,LMAD,0,0,152.00502
A679,LMAN,0,0,66.26766
A679,GShoot,0,68.73114,3.40253
A679,GRoot,0.39894,84.17723,0
A679,L3Base,0,0.67112,11.40901
A679,L3Tip,0,0.85557,149.72534
A679,Kern,0,0,0
A680,LMAN,0,0,65.42296
A680,GShoot,0,5.15489,2.37918
A680,GRoot,0.50873,21.62086,0.76309
A680,L3Base,0,0,6.76726
A680,L3Tip,0,3.57094,145.2182
