OrigColNameFromRNAExpressionValue_RNA_TaxaName,Tissue,TissueWODate,RNA_TaxaName,RNA_TaxaName_WOUnderscoreOrDot,HMP32Name,RawPhenotypeNames,CarotToco_GBSNames,AmesName,AC192244.3_FG007,GRMZM2G000231,GRMZM2G003124,GRMZM2G020148,GRMZM2G037048,GRMZM2G054225,GRMZM2G055802,GRMZM2G056697,GRMZM2G104316,GRMZM2G106950,GRMZM2G140559,GRMZM2G353905,GRMZM2G398500,GRMZM2G402493,GRMZM2G468111,GRMZM2G472671
10343927_LMAD26_33-16_CTCATA,LMAD26,LMAD,33-16,33-16,282set_33-16,33-16,3316:8042MABXX:2:H8,Ames26771,3.32903,0,7.32387,4.66065,5.65936,17.64388,32.62453,7.98968,10.98581,1.66452,16.97807,0.66581,30.96001,6.99097,19.3084,0
10344827_LMAN26_33-16_AGGCAT,LMAN26,LMAN,33-16,33-16,282set_33-16,33-16,3316:8042MABXX:2:H8,Ames26771,0,0.88564,11.51334,2.65693,15.05591,26.56926,7.97078,19.48412,19.48412,3.54257,23.91233,0,31.88311,1.77128,3.54257,0
KAKRNA3_GShoot_33-16_TGACAC,GShoot,GShoot,33-16,33-16,282set_33-16,33-16,3316:8042MABXX:2:H8,Ames26771,0.36525,0.36525,10.59232,36.89051,6.20929,20.45414,4.38303,6.9398,8.03556,126.74264,23.01091,1.46101,12.05333,25.93293,1.46101,0.36525
KAKRNA4_10346258_GRoot_33-16_TGACAC,GRoot,GRoot,33-16,33-16,282set_33-16,33-16,3316:8042MABXX:2:H8,Ames26771,1.17169,0,8.20185,1.17169,8.59241,17.96595,2.73395,1.56226,12.10749,1.17169,10.15467,3.90564,3.90564,25.38667,33.97909,0.78113
KAKRNA23_10346932_L3Base_33-16_TGACAC,L3Base,L3Base,33-16,33-16,282set_33-16,33-16,3316:8042MABXX:2:H8,Ames26771,4.87114,0,12.17785,102.29397,4.87114,16.23714,1.62371,4.05928,8.11857,100.67026,25.16756,0,7.30671,61.70113,0.81186,0
KAKRNA24_L3Tip_33-16_TGACAC,L3Tip,L3Tip,33-16,33-16,282set_33-16,33-16,3316:8042MABXX:2:H8,Ames26771,2.38035,0,4.76069,177.93086,0.59509,5.35578,2.97543,6.54595,26.18381,28.56415,21.42311,0,32.13467,2.97543,0,14.28208
KAKRNA18_Kern_33-16_CGCGGA,Kern,Kern,33-16,33-16,282set_33-16,33-16,3316:8042MABXX:2:H8,Ames26771,5.00444,0.43517,6.9627,14.36056,3.04618,38.73,0,7.83303,31.7673,0,17.62432,4.35168,10.00888,24.15185,12.61989,0
10343262_LMAN8_38-11_TCGTTC,LMAN8,LMAN,38-11,38-11,282set_38-11Goodman-Buckler,38-11,3811:8042MABXX:3:B10,Ames26604,2.81668,0,5.63335,0.93889,35.20846,21.59452,69.47802,6.1028,13.14449,11.73615,9.38892,3.28612,16.90006,23.4723,5.16391,1.87778
KAKRNA23_10346932_L3Base_38-11_ATACTG,L3Base,L3Base,38-11,38-11,282set_38-11Goodman-Buckler,38-11,3811:8042MABXX:3:B10,Ames26604,1.08375,0,7.58623,28.17742,37.93114,13.54684,0,2.16749,15.17246,51.47798,21.67494,1.62562,4.87686,154.43395,1.62562,1.08375
KAKRNA24_L3Tip_38-11_ATACTG,L3Tip,L3Tip,38-11,38-11,282set_38-11Goodman-Buckler,38-11,3811:8042MABXX:3:B10,Ames26604,1.06172,0,5.30862,34.50603,18.04931,14.86414,0.53086,2.65431,23.88879,21.23448,34.50603,0.53086,14.33327,28.66655,4.77776,23.88879
KAKRNA18_Kern_38-11_GCTCGA,Kern,Kern,38-11,38-11,282set_38-11Goodman-Buckler,38-11,3811:8042MABXX:3:B10,Ames26604,0.57845,0,6.94144,4.04917,31.81492,23.71658,11.56906,2.31381,31.81492,0,5.78453,6.36298,5.78453,71.72819,6.36298,0
KAKRNA16_Kern_38-11_ACCTAC,Kern,Kern,38-11,38-11,282set_38-11Goodman-Buckler,38-11,3811:8042MABXX:3:B10,Ames26604,0,0,6.7824,2.2608,26.48365,23.25394,12.59588,0,28.74445,0,5.49051,3.87566,8.07428,52.32136,3.87566,0
10343264_LMAN26_4226_TGTGCA,LMAN26,LMAN,4226,4226,282set_4226,4226,4226:8042MABXX:3:A12,NSL30904,2.61548,0,8.96734,0,16.06649,18.68197,18.30833,0,16.81377,1.8682,32.50662,0.37364,15.31921,54.55134,0,3.36275
10343927_LMAD26_4226_TGGCGA,LMAD26,LMAD,4226,4226,282set_4226,4226,4226:8042MABXX:3:A12,NSL30904,3.84938,0,7.0572,0,12.83127,12.1897,10.90658,0,7.69876,3.20782,42.34318,0,19.2469,28.87035,0,1.92469
KAKRNA5_GShoot_4226_TTCCGC,GShoot,GShoot,4226,4226,282set_4226,4226,4226:8042MABXX:3:A12,NSL30904,0.54647,2.32249,9.97305,0,12.84201,33.33457,8.60688,0,8.47026,124.32155,16.66728,3.27881,7.10409,80.19423,0,4.23513
KAKRNA6_10346261_GRoot_4226_TTCCGC,GRoot,GRoot,4226,4226,282set_4226,4226,4226:8042MABXX:3:A12,NSL30904,4.07145,1.01786,6.10717,0,15.26793,24.42869,26.46442,0,23.41083,4.07145,13.23221,2.03572,2.03572,37.6609,1.01786,0
KAKRNA28_L3Base_4226_CGCAAC,L3Base,L3Base,4226,4226,282set_4226,4226,4226:8042MABXX:3:A12,NSL30904,6.53506,3.01618,9.55124,2.01079,17.0917,16.589,47.25353,0,25.13485,65.85332,34.6861,1.50809,3.51888,119.13921,0,50.77241
KAKRNA28_L3Mid_4226_CGAAGG,L3Mid,L3Mid,4226,4226,282set_4226,4226,4226:8042MABXX:3:A12,NSL30904,9.20935,0,9.82331,3.06978,12.27913,7.98144,156.55895,0,36.22344,65.69336,27.62805,2.45583,10.43726,34.38157,0,213.04296
KAKRNA28_L3Tip_4226_AATGAA,L3Tip,L3Tip,4226,4226,282set_4226,4226,4226:8042MABXX:3:A12,NSL30904,4.11163,0,7.40093,8.22325,9.04558,8.22325,46.87254,0,21.38046,25.49208,22.20278,0,16.4465,32.89301,3.2893,115.94786
KAKRNA16_Kern_4226_TTAACT,Kern,Kern,4226,4226,282set_4226,4226,4226:8042MABXX:3:A12,NSL30904,2.03588,3.05383,5.08971,0,33.59209,43.77151,12.72428,0,18.83193,1.01794,8.14354,6.61662,7.12559,21.88576,0.50897,0
10343262_LMAN8_4722_GACATC,LMAN8,LMAN,4722,4722,282set_4722,4722,4722:8042MABXX:4:H4,PI587130,3.62832,1.61259,8.06293,0.40315,7.05507,26.80926,26.80926,0.80629,17.13374,30.63915,35.07377,2.01573,9.0708,26.40611,2.01573,2.01573
KAKRNA27_10346929_L3Tip_4722_ACACGC,L3Tip,L3Tip,4722,4722,282set_4722,4722,4722:8042MABXX:4:H4,PI587130,1.7703,1.7703,15.93267,100.90688,4.42574,8.85148,19.47326,0.88515,17.70296,21.24355,20.35841,1.7703,10.62178,10.62178,0.88515,52.22374
