OrigColNameFromRNAExpressionValue_RNA_TaxaName,Tissue,TissueWODate,RNA_TaxaName,RNA_TaxaName_WOUnderscoreOrDot,HMP32Name,RawPhenotypeNames,CarotToco_GBSNames,AmesName,AC148152.3_FG005,AC148167.6_FG001,AC199068.2_FG017,AC234171.1_FG003,GRMZM2G000816,GRMZM2G008259,GRMZM2G010152,GRMZM2G010491,GRMZM2G010637,GRMZM2G010831,GRMZM2G013600,GRMZM2G014009,GRMZM2G015080,GRMZM2G015267,GRMZM2G018022,GRMZM2G018823,GRMZM2G018869,GRMZM2G019686,GRMZM2G019783,GRMZM2G020606,GRMZM2G020940,GRMZM2G021661,GRMZM2G024607,GRMZM2G028004,GRMZM2G030823,GRMZM2G031718,GRMZM2G031790,GRMZM2G034043,GRMZM2G034645,GRMZM2G040441,GRMZM2G048210,GRMZM2G049866,GRMZM2G055217,GRMZM2G055699,GRMZM2G058089,GRMZM2G058734,GRMZM2G059991,GRMZM2G063756,GRMZM2G065030,GRMZM2G071319,GRMZM2G073888,GRMZM2G074102,GRMZM2G075257,GRMZM2G077258,GRMZM2G078500,GRMZM2G079281,GRMZM2G082564,GRMZM2G083437,GRMZM2G084086,GRMZM2G085872,GRMZM2G087103,GRMZM2G087817,GRMZM2G088291,GRMZM2G089498,GRMZM2G090374,GRMZM2G091003,GRMZM2G091435,GRMZM2G092648,GRMZM2G095868,GRMZM2G096365,GRMZM2G099989,GRMZM2G101080,GRMZM2G102923,GRMZM2G106056,GRMZM2G106552,GRMZM2G108416,GRMZM2G111208,GRMZM2G111529,GRMZM2G113127,GRMZM2G114617,GRMZM2G115504,GRMZM2G115598,GRMZM2G117513,GRMZM2G118957,GRMZM2G123362,GRMZM2G124416,GRMZM2G126002,GRMZM2G127299,GRMZM2G129907,GRMZM2G130425,GRMZM2G131165,GRMZM2G132882,GRMZM2G133988,GRMZM2G134694,GRMZM2G138881,GRMZM2G139256,GRMZM2G143242,GRMZM2G145213,GRMZM2G146004,GRMZM2G146041,GRMZM2G146948,GRMZM2G150264,GRMZM2G152470,GRMZM2G152616,GRMZM2G153017,GRMZM2G155341,GRMZM2G156218,GRMZM2G159082,GRMZM2G169080,GRMZM2G171423,GRMZM2G172320,GRMZM2G172427,GRMZM2G174481,GRMZM2G178859,GRMZM2G180172,GRMZM2G306597,GRMZM2G308189,GRMZM2G315769,GRMZM2G324860,GRMZM2G327263,GRMZM2G329750,GRMZM2G335377,GRMZM2G335407,GRMZM2G336908,GRMZM2G342033,GRMZM2G358791,GRMZM2G359566,GRMZM2G365770,GRMZM2G375197,GRMZM2G376265,GRMZM2G386281,GRMZM2G399183,GRMZM2G426556,GRMZM2G431114,GRMZM2G442265,GRMZM2G447987,GRMZM2G463227,GRMZM2G473925,GRMZM2G556515,GRMZM5G806649,GRMZM5G816453,GRMZM5G842071,GRMZM5G857930,GRMZM5G882527,GRMZM5G884600,GRMZM6G348677,GRMZM6G443309
10343927_LMAD26_33-16_CTCATA,LMAD26,LMAD,33-16,33-16,282set_33-16,33-16,3316:8042MABXX:2:H8,Ames26771,0,90.54972,0,1.33161,9.32129,55.92777,11.31871,124.83877,51.93293,7.98968,38.9497,42.61163,25.30066,2.99613,1.33161,4.32774,1.99742,4.32774,5.99226,15.31356,53.26454,1.66452,32.29163,9.32129,4.66065,2.99613,0,44.27615,2.66323,7.65678,5.32645,52.26583,16.31227,18.30969,0,5.99226,119.51231,70.90842,42.27873,8.98839,5.65936,13.64904,14.64775,34.28905,0.99871,0,19.3084,30.29421,0,1.99742,4.66065,11.65162,0.3329,22.63743,3.99484,0,12.98323,14.98065,2.33032,30.29421,0,0,10.32,6.32516,20.30711,8.32258,61.58712,0.3329,14.31485,0.99871,18.97549,95.87617,46.93938,34.28905,2.33032,23.30324,8.98839,2.33032,17.31098,12.31742,67.91229,19.3084,0.66581,0.3329,37.61808,3.66194,38.61679,14.98065,87.22068,9.9871,0.99871,0.66581,7.32387,16.97807,12.98323,10.65291,38.28389,0,1.66452,212.72526,0,7.98968,107.86069,23.63614,14.98065,8.65549,3.99484,8.32258,1.66452,1.99742,0.99871,14.98065,0,15.97936,0,0,0.3329,1.66452,14.64775,0,1.33161,9.32129,3.99484,0,3.32903,15.97936,28.96259,0.3329,1.99742,21.97162,4.66065,13.31614,22.63743,0,2.66323,29.6284,0.99871
10344827_LMAN26_33-16_AGGCAT,LMAN26,LMAN,33-16,33-16,282set_33-16,33-16,3316:8042MABXX:2:H8,Ames26771,0,81.47905,0,0.88564,2.65693,68.19443,17.71284,200.15507,48.7103,7.08514,42.51081,30.99747,11.51334,0.88564,5.31385,6.19949,0.88564,3.54257,14.17027,22.14105,34.54003,1.77128,34.54003,13.28463,1.77128,3.54257,0,41.62517,4.42821,17.71284,2.65693,13.28463,26.56926,15.94155,0.88564,4.42821,107.16267,14.17027,53.13851,9.74206,6.19949,7.97078,15.05591,37.19696,2.65693,0,18.59848,15.05591,0,0,15.94155,15.05591,0,36.31132,0,0,17.71284,18.59848,2.65693,13.28463,0.88564,0,4.42821,1.77128,46.93902,9.74206,18.59848,3.54257,28.34054,0,4.42821,89.44983,52.25287,17.71284,1.77128,48.7103,10.6277,0.88564,22.14105,20.36976,28.34054,0.88564,2.65693,0,21.25541,1.77128,27.4549,6.19949,55.79544,7.08514,4.42821,0.88564,6.19949,24.79797,13.28463,15.94155,9.74206,0.88564,0,108.04831,0,11.51334,62.88057,23.02669,7.08514,19.48412,1.77128,2.65693,2.65693,3.54257,0,35.42568,0,62.88057,0,0,0.88564,2.65693,6.19949,0,0,5.31385,9.74206,0.88564,8.85642,19.48412,44.28209,0.88564,0.88564,14.17027,1.77128,133.73192,16.8272,0,2.65693,34.54003,1.77128
KAKRNA3_GShoot_33-16_TGACAC,GShoot,GShoot,33-16,33-16,282set_33-16,33-16,3316:8042MABXX:2:H8,Ames26771,2.92202,58.44041,4.01778,0.36525,8.03556,78.16405,2.19152,12.78384,58.80566,17.16687,92.77415,14.97536,36.16,4.38303,3.28727,8.76606,12.05333,16.43637,4.74828,19.72364,862.72656,2.55677,13.51434,17.53212,3.28727,4.01778,7.6703,29.95071,1.09576,3.28727,1.46101,60.99718,6.9398,0.36525,6.20929,1.46101,193.94911,1856.21353,9.86182,7.30505,9.49657,8.03556,17.89738,16.07111,17.89738,0,18.99313,33.96849,0,18.62788,11.32283,8.40081,0.73051,18.26263,3.28727,0.36525,16.07111,10.22707,0.73051,6.57455,0,0,2.92202,8.03556,10.59232,15.70586,3.28727,2.55677,27.39394,3.28727,5.47879,152.31032,39.08202,7.30505,1.46101,14.97536,8.03556,2.92202,10.95758,14.6101,2.55677,1.82626,1.46101,2.19152,21.5499,1.09576,26.29818,29.22021,18.26263,4.38303,0.36525,2.19152,55.15314,8.76606,16.80162,11.68808,12.05333,1.09576,20.45414,20.08889,5.47879,13.14909,124.91638,17.16687,19.72364,1.82626,2.55677,4.38303,8.40081,1.46101,2.55677,23.37616,0,4.01778,0,1.46101,0,31.77697,9.49657,1.09576,2.19152,16.07111,3.65253,0,7.6703,42.00404,25.56768,1.09576,1.82626,25.56768,3.65253,3.28727,15.34061,13.51434,0.36525,29.22021,1.09576
KAKRNA4_10346258_GRoot_33-16_TGACAC,GRoot,GRoot,33-16,33-16,282set_33-16,33-16,3316:8042MABXX:2:H8,Ames26771,1.56226,59.36576,3.51508,5.4679,7.03016,17.57539,9.37354,2.34339,39.05642,22.65272,57.02238,34.36965,5.85846,7.03016,4.29621,6.63959,15.62257,0.39056,7.42072,14.06031,598.73495,0.39056,1.56226,11.32636,3.51508,1.17169,0,30.07344,2.73395,2.34339,0,81.62792,3.51508,1.56226,6.24903,1.56226,150.75779,41.00924,7.03016,5.07733,12.10749,11.32636,16.4037,1.17169,59.75633,0.39056,66.78648,42.5715,4.68677,2.73395,18.74708,7.03016,0,9.37354,10.54523,1.17169,23.82442,7.81128,7.42072,46.86771,0,0,9.37354,4.29621,10.9358,8.59241,7.03016,3.90564,24.60555,1.95282,21.09047,155.83512,60.53745,8.20185,4.68677,5.4679,3.51508,1.56226,5.4679,10.15467,0.39056,11.32636,0.39056,0.78113,47.64883,0.39056,14.06031,13.66975,14.06031,9.37354,1.56226,1.56226,14.45088,11.32636,10.54523,7.42072,4.29621,0,40.22811,3.51508,0,12.10749,53.89786,27.73006,26.1678,0,0,14.45088,3.12451,1.17169,1.17169,35.93191,0,0,0,14.84144,1.56226,26.55837,1.95282,0,0.39056,0,3.90564,0,8.20185,3.90564,14.45088,1.17169,1.17169,24.21498,3.12451,1.95282,11.32636,6.63959,0.39056,20.6999,0.78113
KAKRNA23_10346932_L3Base_33-16_TGACAC,L3Base,L3Base,33-16,33-16,282set_33-16,33-16,3316:8042MABXX:2:H8,Ames26771,0,108.78883,13.80157,4.05928,9.74228,45.46399,5.683,56.01813,34.09799,56.01813,56.82998,32.47428,25.16756,3.24743,2.43557,21.10828,9.74228,37.34542,12.98971,30.03871,232.19108,0,11.366,7.30671,0.81186,4.87114,39.78099,56.82998,1.62371,5.683,3.24743,43.02842,7.30671,0,12.98971,0,203.77609,679.52424,0.81186,6.49486,8.11857,8.93043,10.55414,12.98971,58.4537,0,43.02842,10.55414,0,15.42528,7.30671,17.86085,0.81186,9.74228,1.62371,0.81186,25.16756,14.61342,4.05928,13.80157,0,0,12.98971,0,17.86085,12.98971,8.93043,3.24743,21.10828,0,4.05928,70.63155,41.4047,18.67271,1.62371,9.74228,4.87114,1.62371,9.74228,11.366,7.30671,5.683,3.24743,1.62371,28.41499,4.05928,13.80157,13.80157,1.62371,4.05928,4.05928,2.43557,69.00784,12.98971,9.74228,9.74228,17.86085,0.81186,29.22685,24.35571,2.43557,6.49486,100.67026,29.22685,7.30671,3.24743,0.81186,7.30671,4.05928,1.62371,1.62371,33.28613,1.62371,7.30671,0,0,0.81186,54.39441,17.049,0.81186,0,22.73199,4.87114,0,6.49486,20.29642,25.16756,0.81186,2.43557,26.79128,2.43557,4.87114,4.87114,20.29642,0,25.16756,0.81186
KAKRNA24_L3Tip_33-16_TGACAC,L3Tip,L3Tip,33-16,33-16,282set_33-16,33-16,3316:8042MABXX:2:H8,Ames26771,0,182.69155,0,1.19017,3.57052,59.50865,8.33121,322.53687,38.68062,4.76069,40.46588,23.80346,48.202,5.35578,1.19017,8.33121,2.97543,25.58872,15.47225,12.49682,11.30664,0.59509,36.89536,5.95086,7.14104,1.78526,0,50.58235,0,9.52138,4.16561,9.52138,23.80346,13.0919,0,2.38035,64.26934,639.71797,35.1101,3.57052,12.49682,13.68699,13.0919,11.90173,5.95086,0.59509,13.0919,14.87716,0,3.57052,3.57052,7.14104,0.59509,24.99363,1.19017,0,22.0182,22.0182,4.16561,58.91356,0,0,36.89536,0.59509,39.27571,7.73612,139.84532,1.78526,11.90173,0,11.30664,60.10373,214.82622,14.87716,2.38035,34.51502,14.28208,2.97543,18.44768,17.85259,376.09466,83.31211,0,0,20.82803,7.14104,35.1101,60.10373,35.1101,11.90173,4.16561,3.57052,3.57052,27.96906,16.66242,14.87716,5.95086,0,1.78526,130.91903,0,10.71156,101.1647,18.44768,21.42311,3.57052,1.19017,19.04277,0,0.59509,0,12.49682,0,18.44768,0,0,0.59509,13.0919,14.28208,0,0,29.75432,1.78526,0,5.35578,11.30664,29.75432,0.59509,1.78526,25.58872,1.78526,49.98726,6.54595,1.19017,4.16561,32.72976,0.59509
KAKRNA18_Kern_33-16_CGCGGA,Kern,Kern,33-16,33-16,282set_33-16,33-16,3316:8042MABXX:2:H8,Ames26771,0,59.83567,0,0.87034,3.26376,23.71668,6.30994,1.30551,60.05325,13.92539,101.17667,13.49022,1.30551,5.43961,10.87921,15.01331,10.44404,6.09236,3.48135,28.50354,174.93773,1.08792,3.26376,14.14298,8.2682,5.00444,1.30551,54.61364,1.74067,7.83303,1.74067,59.83567,3.48135,3.69893,3.69893,1.52309,205.18194,4.35168,1.52309,7.83303,7.83303,5.22202,15.44848,8.05062,5.87477,0,35.9014,34.16073,2.61101,5.22202,5.00444,12.83747,0.21758,16.97157,3.48135,0.21758,26.32769,14.14298,0.87034,28.72112,0,0,1.08792,8.2682,18.92983,38.73,8.2682,8.70337,25.23977,0,15.88365,161.66509,24.36944,6.52753,2.17584,24.15185,10.44404,4.1341,3.26376,17.62432,3.26376,0,1.30551,0,41.77617,0.87034,21.75842,16.75399,10.44404,8.70337,8.92095,3.91652,140.12425,68.53904,25.67494,10.66163,7.18028,0.21758,7.18028,5.00444,1.08792,23.4991,4.35168,10.87921,30.67938,1.30551,4.35168,10.87921,4.78685,0.43517,3.04618,5.43961,0,0.43517,0,0,0,20.23533,3.48135,0,1.08792,0,8.05062,0,7.39786,19.365,16.10123,1.30551,1.52309,32.42005,1.08792,6.09236,9.35612,2.61101,1.08792,21.54084,0.43517
10343262_LMAN8_38-11_TCGTTC,LMAN8,LMAN,38-11,38-11,282set_38-11Goodman-Buckler,38-11,3811:8042MABXX:3:B10,Ames26604,0,49.29184,0,4.69446,2.81668,53.04741,14.08338,22.06397,66.1919,5.63335,68.06968,21.12507,15.02227,5.16391,0,5.16391,2.34723,1.40834,13.61394,14.08338,32.39178,1.87778,66.1919,0,3.28612,1.40834,0,28.63621,14.08338,2.81668,3.75557,53.04741,26.75843,23.94175,0,27.22787,97.17534,6.57225,4.69446,2.81668,7.04169,18.3084,14.08338,15.02227,7.04169,0,27.22787,39.43347,0.46945,10.32781,5.63335,15.96117,0,23.94175,0.46945,0,11.26671,15.96117,8.91948,8.91948,17.83895,0.93889,15.96117,10.32781,24.4112,13.61394,10.32781,4.22501,21.12507,1.40834,14.55283,151.63108,85.90863,11.73615,0.46945,39.90292,76.98916,1.40834,16.43061,10.79726,134.73102,0,0.46945,0.93889,19.24729,4.69446,31.45289,1.87778,0,14.08338,0.93889,2.81668,26.28898,19.71674,15.49172,5.63335,14.55283,1.87778,0.93889,18.3084,0,9.38892,115.48373,16.43061,22.06397,7.51114,2.34723,22.53341,2.34723,2.81668,3.28612,15.96117,1.87778,60.0891,0,0,4.69446,2.81668,6.57225,0,0.93889,5.63335,6.57225,0,1.40834,6.1028,19.71674,0,17.3695,7.04169,1.87778,172.28671,12.67504,0,10.79726,36.14735,2.34723
KAKRNA23_10346932_L3Base_38-11_ATACTG,L3Base,L3Base,38-11,38-11,282set_38-11Goodman-Buckler,38-11,3811:8042MABXX:3:B10,Ames26604,4.33499,50.39423,10.83747,1.62562,19.50745,59.06421,5.41873,25.46805,43.89175,48.76861,97.53723,23.30056,39.55677,8.1281,0,10.2956,8.66998,15.17246,12.46309,23.84243,253.59679,0.54187,21.13307,0.54187,7.58623,0,9.21185,34.6799,0.54187,7.04436,4.87686,41.72426,5.41873,0.54187,14.63058,1.08375,91.57662,134.9265,0.54187,3.25124,10.83747,16.2562,11.37934,4.87686,39.01489,0,44.43363,16.2562,1.08375,3.25124,36.30552,11.37934,0,25.46805,6.50248,0,25.46805,10.83747,3.79311,18.4237,3.79311,1.08375,9.75372,0,9.75372,15.17246,8.1281,3.25124,31.97054,0,1.62562,75.32042,51.47798,7.58623,1.62562,13.54684,37.93114,1.08375,11.37934,5.41873,3.25124,0,1.08375,1.08375,24.92618,2.70937,17.88183,2.16749,0,7.04436,1.62562,1.08375,43.34988,10.2956,12.46309,8.1281,8.66998,1.62562,21.13307,10.2956,2.16749,11.37934,86.69976,14.63058,27.09367,3.25124,1.62562,10.83747,5.41873,1.08375,2.16749,14.08871,7.04436,3.25124,0,1.08375,3.25124,18.96557,26.00993,2.16749,1.08375,13.00496,1.62562,0,3.25124,13.54684,16.2562,2.70937,9.21185,10.83747,1.62562,2.70937,3.25124,26.00993,1.62562,22.75869,1.62562
KAKRNA24_L3Tip_38-11_ATACTG,L3Tip,L3Tip,38-11,38-11,282set_38-11Goodman-Buckler,38-11,3811:8042MABXX:3:B10,Ames26604,3.71603,121.03654,0,1.06172,2.12345,76.44413,19.11103,72.72809,57.3331,9.55552,49.90103,29.19741,37.16034,11.1481,0,4.77776,0.53086,18.04931,18.04931,12.74069,10.08638,0,44.06155,0,3.18517,0.53086,1.06172,57.3331,0.53086,0,21.23448,33.97517,16.45672,41.9381,0.53086,15.395,62.64172,93.43171,4.2469,3.71603,4.77776,21.23448,13.80241,2.65431,3.18517,0,21.76534,20.17276,0,0.53086,5.83948,7.43207,0,31.85172,1.06172,0,10.08638,22.82707,9.02465,58.92568,7.43207,0,23.88879,1.59259,22.2962,19.11103,139.08584,0,18.58017,0,9.55552,74.85154,276.04824,23.88879,0.53086,29.19741,75.91327,6.37034,20.17276,15.395,346.12202,0,0.53086,0,26.01224,5.83948,30.79,76.97499,0,15.395,0,4.2469,5.83948,32.38258,26.01224,10.08638,22.2962,0,0,29.72827,0,13.27155,185.27084,22.2962,89.71568,0.53086,0,15.395,0.53086,0.53086,3.71603,12.74069,1.06172,10.08638,0,0,11.67896,5.30862,14.33327,0.53086,0,28.66655,4.77776,0,0,5.83948,15.395,0,24.41965,7.96293,2.12345,18.58017,7.96293,0,10.61724,19.64189,1.59259
