tissue,type,medi,V1
Germinating Root,Metabolite,AC148152.3_FG001,274
Germinating Root,Metabolite,AC148167.6_FG001,1
Germinating Root,Metabolite,AC193598.3_FG002,26
Germinating Root,Metabolite,AC195340.3_FG001,110
Germinating Root,Metabolite,AC207265.3_FG002,14
Germinating Root,Metabolite,AC231747.1_FG001,5
Germinating Root,Metabolite,GRMZM2G001592,12
Germinating Root,Metabolite,GRMZM2G002297,9
Germinating Root,Metabolite,GRMZM2G004736,6
Germinating Root,Metabolite,GRMZM2G009208,8
Germinating Root,Metabolite,GRMZM2G010433,30
Germinating Root,Metabolite,GRMZM2G015280,5
Germinating Root,Metabolite,GRMZM2G015804,4
Germinating Root,Metabolite,GRMZM2G016948,30
Germinating Root,Metabolite,GRMZM2G027479,21
Germinating Root,Metabolite,GRMZM2G029922,8
Germinating Root,Metabolite,GRMZM2G033829,1
Germinating Root,Metabolite,GRMZM2G035933,8
Germinating Root,Metabolite,GRMZM2G037209,40
Germinating Root,Metabolite,GRMZM2G039900,10
Germinating Root,Metabolite,GRMZM2G042099,9
Germinating Root,Metabolite,GRMZM2G043238,59
Germinating Root,Metabolite,GRMZM2G043632,2
Germinating Root,Metabolite,GRMZM2G044377,3
Germinating Root,Metabolite,GRMZM2G045688,8
Germinating Root,Metabolite,GRMZM2G047590,10
Germinating Root,Metabolite,GRMZM2G056572,2
Germinating Root,Metabolite,GRMZM2G061922,15
Germinating Root,Metabolite,GRMZM2G069694,2
Germinating Root,Metabolite,GRMZM2G070087,12
Germinating Root,Metabolite,GRMZM2G070211,21
Germinating Root,Metabolite,GRMZM2G076410,12
Germinating Root,Metabolite,GRMZM2G090266,3
Germinating Root,Metabolite,GRMZM2G094017,1
Germinating Root,Metabolite,GRMZM2G098187,5
Germinating Root,Metabolite,GRMZM2G101613,8
Germinating Root,Metabolite,GRMZM2G103512,14
Germinating Root,Metabolite,GRMZM2G105085,18
Germinating Root,Metabolite,GRMZM2G105207,16
Germinating Root,Metabolite,GRMZM2G106790,15
Germinating Root,Metabolite,GRMZM2G107199,6
Germinating Root,Metabolite,GRMZM2G107731,19
Germinating Root,Metabolite,GRMZM2G108477,3
Germinating Root,Metabolite,GRMZM2G110913,6
Germinating Root,Metabolite,GRMZM2G117281,15
Germinating Root,Metabolite,GRMZM2G117763,5
Germinating Root,Metabolite,GRMZM2G118697,10
Germinating Root,Metabolite,GRMZM2G121070,10
Germinating Root,Metabolite,GRMZM2G125512,3
Germinating Root,Metabolite,GRMZM2G130055,13
Germinating Root,Metabolite,GRMZM2G132991,1
Germinating Root,Metabolite,GRMZM2G133746,8
Germinating Root,Metabolite,GRMZM2G134104,10
Germinating Root,Metabolite,GRMZM2G134731,12
Germinating Root,Metabolite,GRMZM2G138076,15
Germinating Root,Metabolite,GRMZM2G138125,10
Germinating Root,Metabolite,GRMZM2G139621,17
Germinating Root,Metabolite,GRMZM2G141810,20
Germinating Root,Metabolite,GRMZM2G147544,8
Germinating Root,Metabolite,GRMZM2G147579,1
Germinating Root,Metabolite,GRMZM2G149091,6
Germinating Root,Metabolite,GRMZM2G149837,8
Germinating Root,Metabolite,GRMZM2G152796,5
Germinating Root,Metabolite,GRMZM2G155998,17
Germinating Root,Metabolite,GRMZM2G158136,5
Germinating Root,Metabolite,GRMZM2G159427,3
Germinating Root,Metabolite,GRMZM2G163178,6
Germinating Root,Metabolite,GRMZM2G164663,2
Germinating Root,Metabolite,GRMZM2G165919,15
Germinating Root,Metabolite,GRMZM2G166903,2
Germinating Root,Metabolite,GRMZM2G167787,21
Germinating Root,Metabolite,GRMZM2G169931,3
Germinating Root,Metabolite,GRMZM2G170766,3
Germinating Root,Metabolite,GRMZM2G172506,5
Germinating Root,Metabolite,GRMZM2G174598,4
Germinating Root,Metabolite,GRMZM2G175280,7
Germinating Root,Metabolite,GRMZM2G176282,3
Germinating Root,Metabolite,GRMZM2G314386,8
Germinating Root,Metabolite,GRMZM2G352678,33
Germinating Root,Metabolite,GRMZM2G361501,4
Germinating Root,Metabolite,GRMZM2G395244,2
Germinating Root,Metabolite,GRMZM2G402675,12
Germinating Root,Metabolite,GRMZM2G414423,36
Germinating Root,Metabolite,GRMZM2G420823,20
Germinating Root,Metabolite,GRMZM2G430266,16
Germinating Root,Metabolite,GRMZM2G441906,22
Germinating Root,Metabolite,GRMZM2G464043,9
Germinating Root,Metabolite,GRMZM2G472625,2
Germinating Root,Metabolite,GRMZM2G477879,1
Germinating Root,Metabolite,GRMZM5G809078,29
Germinating Root,Metabolite,GRMZM5G822449,42
