OrigColNameFromRNAExpressionValue_RNA_TaxaName,Tissue,TissueWODate,RNA_TaxaName,RNA_TaxaName_WOUnderscoreOrDot,HMP32Name,RawPhenotypeNames,CarotToco_GBSNames,AmesName,AC148152.3_FG005,AC148152.3_FG008,AC149475.2_FG002,GRMZM2G171650
10343927_LMAD26_33-16_CTCATA,LMAD26,LMAD,33-16,33-16,282set_33-16,33-16,3316:8042MABXX:2:H8,Ames26771,0,52.59873,0,33.62324
10344827_LMAN26_33-16_AGGCAT,LMAN26,LMAN,33-16,33-16,282set_33-16,33-16,3316:8042MABXX:2:H8,Ames26771,0,39.85388,0,29.22618
KAKRNA3_GShoot_33-16_TGACAC,GShoot,GShoot,33-16,33-16,282set_33-16,33-16,3316:8042MABXX:2:H8,Ames26771,2.92202,4.74828,8.76606,4.74828
KAKRNA4_10346258_GRoot_33-16_TGACAC,GRoot,GRoot,33-16,33-16,282set_33-16,33-16,3316:8042MABXX:2:H8,Ames26771,1.56226,0,5.85846,0.78113
KAKRNA23_10346932_L3Base_33-16_TGACAC,L3Base,L3Base,33-16,33-16,282set_33-16,33-16,3316:8042MABXX:2:H8,Ames26771,0,14.61342,1.62371,10.55414
KAKRNA24_L3Tip_33-16_TGACAC,L3Tip,L3Tip,33-16,33-16,282set_33-16,33-16,3316:8042MABXX:2:H8,Ames26771,0,85.69245,0,1.19017
KAKRNA18_Kern_33-16_CGCGGA,Kern,Kern,33-16,33-16,282set_33-16,33-16,3316:8042MABXX:2:H8,Ames26771,0,0.21758,2.17584,32.42005
10343262_LMAN8_38-11_TCGTTC,LMAN8,LMAN,38-11,38-11,282set_38-11Goodman-Buckler,38-11,3811:8042MABXX:3:B10,Ames26604,0,49.29184,0,23.94175
KAKRNA23_10346932_L3Base_38-11_ATACTG,L3Base,L3Base,38-11,38-11,282set_38-11Goodman-Buckler,38-11,3811:8042MABXX:3:B10,Ames26604,4.33499,18.4237,2.70937,3.79311
KAKRNA24_L3Tip_38-11_ATACTG,L3Tip,L3Tip,38-11,38-11,282set_38-11Goodman-Buckler,38-11,3811:8042MABXX:3:B10,Ames26604,3.71603,64.2343,0,5.30862
KAKRNA18_Kern_38-11_GCTCGA,Kern,Kern,38-11,38-11,282set_38-11Goodman-Buckler,38-11,3811:8042MABXX:3:B10,Ames26604,0.57845,0,0,8.6768
KAKRNA16_Kern_38-11_ACCTAC,Kern,Kern,38-11,38-11,282set_38-11Goodman-Buckler,38-11,3811:8042MABXX:3:B10,Ames26604,0.96891,0.32297,0.32297,7.10537
10343264_LMAN26_4226_TGTGCA,LMAN26,LMAN,4226,4226,282set_4226,4226,4226:8042MABXX:3:A12,NSL30904,0,41.10033,0.74728,24.28656
10343927_LMAD26_4226_TGGCGA,LMAD26,LMAD,4226,4226,282set_4226,4226,4226:8042MABXX:3:A12,NSL30904,0,49.40038,0,15.39752
KAKRNA5_GShoot_4226_TTCCGC,GShoot,GShoot,4226,4226,282set_4226,4226,4226:8042MABXX:3:A12,NSL30904,146.99998,1.91264,3.82528,13.11524
KAKRNA6_10346261_GRoot_4226_TTCCGC,GRoot,GRoot,4226,4226,282set_4226,4226,4226:8042MABXX:3:A12,NSL30904,61.07173,0,1.01786,12.21435
KAKRNA28_L3Base_4226_CGCAAC,L3Base,L3Base,4226,4226,282set_4226,4226,4226:8042MABXX:3:A12,NSL30904,106.57178,16.08631,0.5027,6.03237
KAKRNA28_L3Mid_4226_CGAAGG,L3Mid,L3Mid,4226,4226,282set_4226,4226,4226:8042MABXX:3:A12,NSL30904,60.16775,87.7958,0,4.2977
KAKRNA28_L3Tip_4226_AATGAA,L3Tip,L3Tip,4226,4226,282set_4226,4226,4226:8042MABXX:3:A12,NSL30904,17.26883,78.1209,0,6.5786
KAKRNA16_Kern_4226_TTAACT,Kern,Kern,4226,4226,282set_4226,4226,4226:8042MABXX:3:A12,NSL30904,1.52691,0.50897,2.03588,5.08971
10343262_LMAN8_4722_GACATC,LMAN8,LMAN,4722,4722,282set_4722,4722,4722:8042MABXX:4:H4,PI587130,0.20157,56.0374,0,22.37464
KAKRNA27_10346929_L3Tip_4722_ACACGC,L3Tip,L3Tip,4722,4722,282set_4722,4722,4722:8042MABXX:4:H4,PI587130,0,169.06328,0,1.7703
KAKRNA26_L3Base_4722_ACACGC,L3Base,L3Base,4722,4722,282set_4722,4722,4722:8042MABXX:4:H4,PI587130,0,19.42754,4.2093,3.56172
KAKRNA17_Kern_4722_ACCTAC,Kern,Kern,4722,4722,282set_4722,4722,4722:8042MABXX:4:H4,PI587130,0,0.64624,0,21.97214
10344823_GShoot_A188_AACGCC,GShoot,GShoot,A188,A188,282set_A188,A188,A188:8042MABXX:3:D3,Ames22443,71.24515,4.32982,5.90429,12.59583
10344823_LMAD8_A188_TTAACT,LMAD8,LMAD,A188,A188,282set_A188,A188,A188:8042MABXX:3:D3,Ames22443,0.60481,107.05194,0,26.00697
10344826_LMAN8_A188_CCTGCT,LMAN8,LMAN,A188,A188,282set_A188,A188,A188:8042MABXX:3:D3,Ames22443,0.93127,47.49493,0,30.73201
KAKRNA23_10346932_L3Base_A188_ACTCTT,L3Base,L3Base,A188,A188,282set_A188,A188,A188:8042MABXX:3:D3,Ames22443,0.60192,6.01924,3.91251,9.32983
KAKRNA24_L3Tip_A188_ACTCTT,L3Tip,L3Tip,A188,A188,282set_A188,A188,A188:8042MABXX:3:D3,Ames22443,0.48777,125.35606,0,12.19417
KAKRNA17_Kern_A188_TGGATT,Kern,Kern,A188,A188,282set_A188,A188,A188:8042MABXX:3:D3,Ames22443,3.66026,0,1.62678,8.94729
10343264_LMAD26_A214N_CGAAGG,LMAD26,LMAD,A214N,A214N,282set_A214NGoodman-Buckler,A214N,A214N:8042MABXX:3:E11,Ames31536,0,152.36256,0,17.25552
10344827_LMAN26_A214N_TCGTTC,LMAN26,LMAN,A214N,A214N,282set_A214NGoodman-Buckler,A214N,A214N:8042MABXX:3:E11,Ames31536,0,69.88087,0,28.91622
KAKRNA3_GShoot_A214N_ATATCC,GShoot,GShoot,A214N,A214N,282set_A214NGoodman-Buckler,A214N,A214N:8042MABXX:3:E11,Ames31536,15.66969,2.69323,0.73452,11.99711
KAKRNA4_10346258_GRoot_A214N_ATATCC,GRoot,GRoot,A214N,A214N,282set_A214NGoodman-Buckler,A214N,A214N:8042MABXX:3:E11,Ames31536,21.63176,0,1.24799,4.57595
KAKRNA27_10346929_L3Tip_A214N_CGGTTA,L3Tip,L3Tip,A214N,A214N,282set_A214NGoodman-Buckler,A214N,A214N:8042MABXX:3:E11,Ames31536,0,159.91271,0,11.48544
KAKRNA26_L3Base_A214N_CGGTTA,L3Base,L3Base,A214N,A214N,282set_A214NGoodman-Buckler,A214N,A214N:8042MABXX:3:E11,Ames31536,0.6842,16.42074,3.42099,11.63136
10343262_LMAN8_A239_CAAGCA,LMAN8,LMAN,A239,A239,282set_A239,A239,A239:8042MABXX:2:B2,Ames23405,0,38.53329,0,30.27616
KAKRNA3_GShoot_A239_AGGCAT,GShoot,GShoot,A239,A239,282set_A239,A239,A239:8042MABXX:2:B2,Ames23405,91.94418,4.83917,0.6049,12.09792
KAKRNA4_10346258_GRoot_A239_AGGCAT,GRoot,GRoot,A239,A239,282set_A239,A239,A239:8042MABXX:2:B2,Ames23405,37.29416,0,3.43499,6.86998
KAKRNA23_10346932_L3Base_A239_GCATGG,L3Base,L3Base,A239,A239,282set_A239,A239,A239:8042MABXX:2:B2,Ames23405,6.48434,4.32289,1.62108,11.34759
