HMP32Name	AC148152.3_FG005	GRMZM2G023325	GRMZM2G311036	GRMZM2G336824	tissue
33-16	1.56226	0	87.48639	6.24903	GRoot
4226	61.07173	0	146.57216	27.48228	GRoot
A214NGoodman-Buckler	21.63176	0	70.30321	4.57595	GRoot
A239	37.29416	0	227.69064	35.33131	GRoot
A441-5	2.9939	0	288.91102	46.4054	GRoot
A554	52.386	0	320.13669	30.07345	GRoot
A556	11.57611	0	260.73805	32.24773	GRoot
A6	31.83865	0	228.34281	56.71259	GRoot
A619	19.4013	0	457.19586	113.8772	GRoot
A632	30.29444	0	91.70208	7.36892	GRoot
A634	21.80876	0	87.23502	9.81394	GRoot
A635	0.56025	0	46.22094	96.64378	GRoot
A641	5.23301	0	45.86583	2.46259	GRoot
A654	53.49008	0	220.18011	13.26886	GRoot
A659	26.92939	0	593.6175	159.23468	GRoot
A661	13.60565	0	239.15707	25.39721	GRoot
A679	84.17723	0	99.33711	9.97361	GRoot
A680	21.62086	0	181.61519	12.71815	GRoot
A682	53.1823	0	282.8846	31.68308	GRoot
Ab28A	28.09759	0	67.43421	17.29082	GRoot
B103	5.78043	0	95.37708	14.45107	GRoot
B104	66.13394	0	62.03993	3.46416	GRoot
B105	8.38245	0	152.40824	24.38532	GRoot
B109	34.69182	0	218.47244	29.81776	GRoot
B14A	73.39437	0	134.55634	30.12455	GRoot
B164	26.08886	0	57.39549	1.60547	GRoot
B37	8.53713	0	472.82554	133.96724	GRoot
B52	81.40785	0	203.73729	23.50815	GRoot
B57	15.53995	0	326.33902	50.76385	GRoot
B64	4.10892	0	92.26391	7.09722	GRoot
B68	11.36143	0	114.56109	8.52107	GRoot
B73	25.51405	0	103.27116	12.55453	GRoot
B75	1.24183	0	177.58139	57.12408	GRoot
B76	48.94297	0	366.50318	103.57699	GRoot
B77	18.22175	0	106.59726	10.93305	GRoot
B79	116.08625	0	236.69533	75.38068	GRoot
B84	25.48915	0	180.89077	37.4115	GRoot
C103	46.1543	0	311.46705	57.46954	GRoot
C123	10.91875	0	317.08036	95.64821	GRoot
C49A	0.31116	0	175.80817	26.44902	GRoot
CH701-30	14.9837	0	125.22093	35.31872	GRoot
CH9	9.036	0	162.64807	20.8221	GRoot
CI28AGoodman-Buckler	6.41873	0	162.07303	36.37283	GRoot
CI31A	4.19401	0	202.71032	34.25105	GRoot
CI3A	6.78232	0	86.69575	13.26976	GRoot
CI64	8.04959	0	69.42768	30.18595	GRoot
CI66	0.85395	0	72.15897	4.26976	GRoot
CM105	0	0	182.88828	42.64984	GRoot
CM37	1.82341	0	170.18531	54.70242	GRoot
CML10	0.3471	0	69.76784	45.47058	GRoot
CML108	25.01726	0	58.64702	17.225	GRoot
