category,trait,num_mediators
Development,EarHeight,8
Development,PlantHeight,5
Female Inflorescence,CobDiameter,2
Female Inflorescence,EarLength,6
Female Inflorescence,EarRankNumber,5
Female Inflorescence,EarRowNumber,13
Flowering Time,AnthesistoSilkInterval,4
Flowering Time,DaystoSilk,5
Flowering Time,DaysToTassel,5
Flowering Time,GDDAnthesis.SilkingInterval,8
Flowering Time,GDDDaystoSilk,3
Flowering Time,GDDDaystoTassel,2
Leaf Morphology,LeafLength,1
Leaf Morphology,LeafWidth,4
Leaf Morphology,UpperLeafAngle,3
Male Inflorescence,TasselLength,7
Male Inflorescence,TasselPrimaryBranches,5
Metabolite,X.1001..phenethylamine..13.742,12
Metabolite,X.1060..pyruvic.acid..6.714,4
Metabolite,X.119..gamma.aminobutyric.acid..GABA...13.326,12
Metabolite,X.12647..L.homoserine.2..12.359,14
Metabolite,X.128869..galactonic.acid.2..18.504,3
Metabolite,X.1549111..caffeic.acid..19.755,6
Metabolite,X.204..allantoin.1..17.293,20
Metabolite,X.2116..alpha.tocophereol..27.379,4
Metabolite,X.236..L.asparagine.2..14.984,5
Metabolite,X.239..Beta..alanine..1..12.044,19
Metabolite,X.2724705..1.6.anhydro.glucose..15.326,3
Metabolite,X.3037582..mucic.acid..18.907,21
Metabolite,X.311..citric.acid..16.615..s100,13
Metabolite,X.33032..L.glutamic.acid.3..dehydrated...13.232..s100,4
Metabolite,X.439183..3.phosphoglyceric.acid..16.504,8
Metabolite,X.439194..glyceric.acid..10.735,9
Metabolite,X.439242..Raffinose..29.282,8
Metabolite,X.439451..galactinol.2..26.479,10
Metabolite,X.439742..beta.cyano.L.alanine..11.288,13
Metabolite,X.439958..D.glucose.6.phosphate.1..21.394,7
Metabolite,X.444212..trans.aconitic.acid..15.842..s100,9
Metabolite,X.444266..maleic.acid..10.323,10
Metabolite,X.444972..fumaric.acid..10.94,5
Metabolite,X.448388..D.allose.1..17.278,5
Metabolite,X.51..alpha.ketoglutaric.acid..13.859,2
Metabolite,X.5280450..linoleic.acid..20.399,5
Metabolite,X.5321342..beta.sitosterol..28.848,12
Metabolite,X.5321515..stigmasterol..28.442,5
Metabolite,X.5460407..threonic.acid..13.652,3
Metabolite,X.5460673..D.saccharic.acid..18.614,3
Metabolite,X.5460935..turanose.1..24.81,12
Metabolite,X.5810..trans.4.hydroxy.L.proline.2..13.267,30
Metabolite,X.5951..L.serine.2..11.174..s100,12
Metabolite,X.5960..aspartic.acid.2..13.207,3
Metabolite,X.5962..L.lysine.2..17.643,12
Metabolite,X.5984..fructose.1..17.18..s100,8
Metabolite,X.5988..Sucrose..23.988..s100,15
Metabolite,X.6057..tyrosine.2..17.871,3
Metabolite,X.60961..adenosine..23.825,11
Metabolite,X.6106..L.leucine.2..9.945,7
Metabolite,X.6255..maltose..2..24.915,17
Metabolite,X.6255..maltose.1..24.702,4
Metabolite,X.6262..L.ornithine.2..16.632,9
Metabolite,X.6287..L.valine.2..9.151,1
Metabolite,X.6288..L.threonine.2..11.464,15
Metabolite,X.637542..4.hydroxycinnamic.acid..17.854,12
Metabolite,X.637775..3.5.dimethoxy.4.hydroxycinnamic.acid.2..20.65,11
Metabolite,X.642609..trans.caftaric.acid.2..25.529,21
Metabolite,X.6508..quinic.acid..17.076..s100,13
Metabolite,X.6537496..chlorogenic.acid.1..26.37,18
Metabolite,X.6537496..chlorogenic.acid.2..27.18..s100,19
Metabolite,X.6537496..chlorogenic.acid.2..27.18._alt,3
Metabolite,X.6912..xylitol..15.376,4
Metabolite,X.700..ethanolamine..9.879,11
Metabolite,X.738..L.glutamine.2..14.083,21
Metabolite,X.750..glycine..10.456..s100,5
Metabolite,X.754..glycerol.1.phosphate..16.056,9
Metabolite,X.791..DL.isoleucine.2..10.225,7
Metabolite,X.827..ribitol..15.66,9
Metabolite,X.835..dehydroascorbic.acid..1..16.863,5
Metabolite,X.8742..shikimic.acid..16.433..s100,10
Metabolite,X.892..myo.inositol..19.354..s100,2
Metabolite,X.92824..D.malic.acid..12.794..s100,11
Metabolite,X.938..nicotinic.acid..10.27,8
Metabolite,X.971..oxalic.acid..7.883,2
Metabolite,X.9750..citrulline.2..16.691,13
other,EarDiameter,5
other,GerminationCount,4
other,MainSpikeLength,5
other,MiddleLeafAngle,7
other,NIROil,8
other,NIRProtein,3
other,NIRStarch,15
other,NumberofTilleringPlants,25
other,RowQuality,11
other,SecondaryBranchNumber,11
other,SeedSetLength,3
other,SouthernLeafBlight,16
other,Spikelets.MainSpike,13
other,Spikelets.PrimaryBranch,8
other,StandCount,5
other,TasselBranchLength,16
other,TilleringIndex,10
Seed Traits,CobWeight,12
Seed Traits,EarWeight,6
Seed Traits,TotalKernelNum,9
Seed Traits,TotalKernelVolume,13
Seed Traits,TotalSeedWeight,10
Seed Traits,X20KernelWeight,4
