method,tissue,pmed.pure,v.tot,v.med,v.dir,n.med,pval.cut,n.direct
medfix0.5,gs,0.309486133188039,129.490363272978,40.0754718144684,83.3979493432204,5,0.05,7
medfix0.5,groot,0.182235486532231,118.650842367271,21.6223939862586,90.4129230891128,3,0.05,11
medfix0.5,l3t,0.118428995341602,108.854795557269,12.8915640759629,87.1962023945574,2,0.05,5
medfix0.5,l3b,0.172790632987112,140.574720930028,24.2899950114862,93.4058881574433,3,0.05,8
medfix0.5,ld268,0.0751344237918426,78.9671894421891,5.93315427720015,68.1963451242529,1,0.05,7
medfix0.5,ln268,0.208884783740093,83.5014945540453,17.4421916318963,57.4457097319041,3,0.05,5
medfix0.5,kern,0.483305759111855,27.8253335393171,13.4481439487602,10.3540690093834,3,0.05,1
medfixbic,gs,0.415750760451343,115.278514347603,47.9271300037169,47.9123679013361,6,0.05,3
medfixbic,groot,0.226081786224434,56.2893911435005,12.7260060952084,40.2279114480025,2,0.05,5
medfixbic,l3t,0.0165042029556332,253.243722327631,4.17958579053524,240.309129680038,1,0.05,19
medfixbic,l3b,0,261.647275594017,0,261.647275594017,0,0.05,14
medfixbic,ld268,0.0453809953287578,183.588386107983,8.33142369238053,164.027089542626,3,0.05,44
medfixbic,ln268,0.217062667865216,49.8906495132649,10.8293974848777,32.4487224483629,3,0.05,5
medfixbic,kern,0.00977951533319996,200.29212136472,1.95875987200543,195.671833105825,1,0.05,37
medmix.linear,gs,0,13.9648492857037,0,13.9648492857037,0,0.05,0
medmix.linear,groot,0,3.15894801597719,0,3.15894801597719,0,0.05,0
medmix.linear,l3t,0,33.1536986675045,0,33.1536986675045,0,0.05,0
medmix.linear,l3b,0,4.74907342831888,0,4.74907342831888,0,0.05,0
medmix.linear,ld268,0,17.3673507418088,0,17.3673507418088,0,0.05,0
medmix.linear,ln268,0.306470982633887,34.6928731750476,10.6323589323496,25.897349823661,1,0.05,0
medmix.linear,kern,0,0.351827533080266,0,0.351827533080266,0,0.05,0
medmix.shrink,gs,0,13.9275376267272,0,13.9275376267272,0,0.05,0
medmix.shrink,groot,0,3.13583186336111,0,3.13583186336111,0,0.05,0
medmix.shrink,l3t,0,15.839547320071,0,15.839547320071,0,0.05,0
medmix.shrink,l3b,0,15.0583617799826,0,15.0583617799826,0,0.05,0
medmix.shrink,ld268,0,9.99145885896951,0,9.99145885896951,0,0.05,0
medmix.shrink,ln268,0,33.1329320551971,0,33.1329320551971,0,0.05,0
medmix.shrink,kern,0,0.111628146388501,0,0.111628146388501,0,0.05,0
