method,tissue,pmed.pure,v.tot,v.med,v.dir,n.med,pval.cut,n.direct
medfix0.5,gs,0.302258106300555,501.282598237386,151.516728864654,301.326690725254,5,0.05,6
medfix0.5,groot,0.0454845583181179,462.324109835098,21.0286079356664,413.564919147474,2,0.05,19
medfix0.5,l3t,0.126629507076213,470.869300126965,59.625947372399,348.591065440146,4,0.05,11
medfix0.5,l3b,0.196919522716163,401.04545597425,78.9736797779352,262.72930311141,3,0.05,5
medfix0.5,ld268,0.0842485191615587,345.93620598239,29.1446130783843,284.879260549728,2,0.05,17
medfix0.5,ln268,0.0780019701905449,333.76631421516,26.034430092019,269.257743095469,2,0.05,7
medfix0.5,kern,0.106942003551993,283.604209359634,30.329202364698,200.962731672464,2,0.05,4
medfixbic,gs,0.0939476753623229,626.727724278201,58.8796127810558,501.835665295098,3,0.05,17
medfixbic,groot,0,516.194622061657,0,516.194622061657,0,0.05,18
medfixbic,l3t,0.0468970676754225,682.933888107266,32.0275967684058,617.741721579345,3,0.05,23
medfixbic,l3b,0.0404498544104196,597.415795735377,24.165381959981,518.116487463978,2,0.05,19
medfixbic,ld268,0.165165487654257,141.99612676419,23.4528595220231,110.204761801018,2,0.05,8
medfixbic,ln268,0,681.005910678669,0,681.005910678669,0,0.05,18
medfixbic,kern,0.0590628623380023,471.704446484985,27.8602147869663,368.063764586972,2,0.05,11
medmix.linear,gs,0.730207502468406,71.4908456248807,52.2031518330985,16.2979954316292,1,0.05,0
medmix.linear,groot,0.00528323473381886,31.2494942567988,0.165098413471792,30.0226483162818,1,0.05,0
medmix.linear,l3t,0.632025687928483,97.8156015642662,61.8219728687937,25.3549899940171,5,0.05,0
medmix.linear,l3b,1.0000000006812,66.7343060714138,66.7343061168729,4.19347095750757e-16,3,0.05,0
medmix.linear,ld268,0.383999353975146,38.1934902900814,14.6662755974473,20.3579980253799,1,0.05,0
medmix.linear,ln268,0.154662996350349,33.2550795482023,5.14333024679417,26.2723923038686,1,0.05,0
medmix.linear,kern,1.00000000069175,8.99690452367825,8.99690452990184,1.40833849569118e-16,1,0.05,0
medmix.shrink,gs,0.630339450292914,77.8903221505386,49.0973428475085,25.0508642019373,1,0.05,0
medmix.shrink,groot,0.00294025704166741,30.79940178983,0.0905581579916916,29.9059673586188,1,0.05,0
medmix.shrink,l3t,0.52572271714906,88.6923819884697,46.6276000494006,32.2875809647583,4,0.05,0
medmix.shrink,l3b,1.01390918659215,68.5895469727899,69.5435717799053,0.474826697543874,3,0.05,0
medmix.shrink,ld268,0.323074422279302,39.2779596920265,12.6897041358112,23.3192832826233,1,0.05,0
medmix.shrink,ln268,0.153494608829095,33.2069371213732,5.09708582385753,26.279567964356,1,0.05,0
medmix.shrink,kern,0.381506386314609,92.1677222736894,35.1625746594837,53.9731183228097,2,0.05,0
