method,tissue,pmed.pure,v.tot,v.med,v.dir,n.med,pval.cut,n.direct
medfix0.5,gs,0.0542949885109518,393.102516620302,21.3434966235255,370.998664196553,1,0.05,13
medfix0.5,groot,0.0351225952787494,459.632502703905,16.1434863694279,427.605854792912,1,0.05,13
medfix0.5,l3t,0.12732317994478,516.45105094478,65.7561900921128,450.059984265677,5,0.05,45
medfix0.5,l3b,0.0507380873279801,357.092067451972,18.1181685025071,319.007443582325,1,0.05,13
medfix0.5,ld268,0.0412500187105823,419.039530746774,17.2853884837781,382.968367876624,1,0.05,17
medfix0.5,ln268,0,415.521239299075,0,415.521239299075,0,0.05,13
medfix0.5,kern,0.0314356946111052,434.918439302836,13.6719632386624,431.946389874284,1,0.05,22
medfixbic,gs,0.0340288757499764,580.434340611822,19.7515280576992,556.205363402763,1,0.05,16
medfixbic,groot,0.0985948518728938,292.090747752406,28.7986440080912,242.256502515106,2,0.05,10
medfixbic,l3t,0.234023416113722,375.875444545005,87.963655565686,271.670494382555,6,0.05,17
medfixbic,l3b,0,226.866906068028,0,226.866906068028,0,0.05,8
medfixbic,ld268,0.0272253425318971,538.090864925193,14.6497081108731,507.471781891974,1,0.05,36
medfixbic,ln268,0,865.596723522716,0,865.596723522716,0,0.05,35
medfixbic,kern,0.0114076576197522,613.37790396072,6.99720511990512,610.220442078039,1,0.05,27
medmix.linear,gs,0.999999999702796,44.0592208861126,44.059220873018,2.92184073967844e-16,1,0.05,0
medmix.linear,groot,0,15.1695690881537,0,15.1695690881537,0,0.05,0
medmix.linear,l3t,0.626079245782848,87.2967193484566,54.6546642089986,25.4166309534345,4,0.05,0
medmix.linear,l3b,0,30.9848874949536,0,30.9848874949536,0,0.05,0
medmix.linear,ld268,0,1.29256929283857e-16,0,1.29256929283857e-16,0,0.05,0
medmix.linear,ln268,0,12.8394341558925,0,12.8394341558925,0,0.05,0
medmix.linear,kern,0,2.3692527655313e-16,0,2.3692527655313e-16,0,0.05,0
medmix.shrink,gs,0.770557407867533,56.6184909161587,43.6277975977267,11.142468787429,1,0.05,0
medmix.shrink,groot,0,4.79350458873325,0,4.79350458873325,0,0.05,0
medmix.shrink,l3t,0.626892272977407,87.250896460947,54.6969128017195,25.3510386464998,4,0.05,0
medmix.shrink,l3b,0,2.00470593628442,0,2.00470593628442,0,0.05,0
medmix.shrink,ld268,0,1.40213309410039e-16,0,1.40213309410039e-16,0,0.05,0
medmix.shrink,ln268,0,12.8255633710453,0,12.8255633710453,0,0.05,0
medmix.shrink,kern,0.512949257065317,20.3121031792087,10.4190782352092,11.0988378022684,1,0.05,0
