method,tissue,pmed.pure,v.tot,v.med,v.dir,n.med,pval.cut,n.direct
medfix0.5,gs,0.0668066356794687,20567.6378207403,1374.05468667746,17516.2057208382,2,0.05,11
medfix0.5,groot,0.0754241888609223,14495.4798929875,1093.30981307839,12319.2317497553,2,0.05,8
medfix0.5,l3t,0.29345661431678,14378.256768086,4219.39455093984,9101.67099484681,3,0.05,4
medfix0.5,l3b,0.0339332438478454,19839.9324254083,673.233264916155,18492.1407510412,1,0.05,12
medfix0.5,ld268,0.117150555510661,9618.7742656388,1126.84474855123,6797.208130773,2,0.05,7
medfix0.5,ln268,0.0551888109252606,20218.3732677645,1115.827979491,18013.2969494855,2,0.05,12
medfix0.5,kern,0.323585973030818,11291.4461486841,3653.75358894703,5397.15025296411,4,0.05,5
medfixbic,gs,0.0592117073017192,23522.6820599497,1392.81816508514,20243.2514450051,2,0.05,12
medfixbic,groot,0.316136289991535,13347.2491605446,4219.54983120719,6460.32355418885,6,0.05,5
medfixbic,l3t,0.0108827327197528,34287.9516861028,373.146613707652,35273.0567241485,1,0.05,25
medfixbic,l3b,0.0240829847423828,26630.414963377,641.339877246331,25996.6284285438,2,0.05,30
medfixbic,ld268,0.0322282940334711,15092.7753354431,486.41440129178,13420.2684078721,1,0.05,11
medfixbic,ln268,0.0311725317550384,23052.8694804597,718.616305924384,22420.7653326262,1,0.05,12
medfixbic,kern,0.693689053937604,6294.90039530668,4366.70349985174,1518.36142833138,5,0.05,1
medmix.linear,gs,0.609137742796086,1813.38399158575,1104.6006314571,717.881188513108,1,0.05,0
medmix.linear,groot,0.944344284668021,1658.08897832035,1565.80685014786,46.6474807096962,1,0.05,0
medmix.linear,l3t,0,7593.23119742056,0,7593.23119742056,0,0.05,0
medmix.linear,l3b,0.210773086932209,6047.18751057531,1274.58437886186,4519.65659042307,1,0.05,0
medmix.linear,ld268,0,459.458436220142,0,459.458436220142,0,0.05,0
medmix.linear,ln268,0,368.525096160212,0,368.525096160212,0,0.05,0
medmix.linear,kern,0,4593.95113299892,0,4593.95113299892,0,0.05,0
medmix.shrink,gs,0.543778698476658,2068.21001441029,1124.64854981242,951.667631882068,1,0.05,0
medmix.shrink,groot,0.407243420209656,3754.05636190865,1528.8147524835,2004.43492695492,1,0.05,0
medmix.shrink,l3t,0,1.31392292442034e-14,0,1.31392292442034e-14,0,0.05,0
medmix.shrink,l3b,0.215770859231606,6190.61748460667,1335.75485382779,4548.49982684877,1,0.05,0
medmix.shrink,ld268,0,478.284041628506,0,478.284041628506,0,0.05,0
medmix.shrink,ln268,0,6.71521155975156e-15,0,6.71521155975156e-15,0,0.05,0
medmix.shrink,kern,0,11.8886146943083,0,11.8886146943083,0,0.05,0
