method,tissue,pmed.pure,v.tot,v.med,v.dir,n.med,pval.cut,n.direct
medfix0.5,gs,0.0925904467801725,1216.36313328205,112.623605957516,1072.70704493153,2,0.05,17
medfix0.5,groot,0,571.086629955573,0,571.086629955573,0,0.05,7
medfix0.5,l3t,0.091399093192578,1142.5925313989,104.431921258471,982.335186536822,4,0.05,27
medfix0.5,l3b,0,1374.51665980902,0,1374.51665980902,0,0.05,11
medfix0.5,ld268,0,663.535225538735,0,663.535225538735,0,0.05,16
medfix0.5,ln268,0.225981240600936,851.915715674074,192.516970315462,491.535216292594,4,0.05,4
medfix0.5,kern,0.222037961433376,749.353217979775,166.38486091377,486.880713165528,3,0.05,9
medfixbic,gs,0,1704.61687131581,0,1704.61687131581,0,0.05,31
medfixbic,groot,1,40.9057940697164,40.9057940697164,0,1,0.05,0
medfixbic,l3t,1,121.868570604492,121.868570604492,0,4,0.05,0
medfixbic,l3b,0,2701.38915158086,0,2701.38915158086,0,0.05,51
medfixbic,ld268,0,947.477895377911,0,947.477895377911,0,0.05,30
medfixbic,ln268,0.0394419137132822,1452.45493776498,57.2876023277571,1232.60894973172,2,0.05,13
medfixbic,kern,0.0341262936081372,1644.67795620136,56.1267628241586,1450.04621204873,2,0.05,15
medmix.linear,gs,0,114.142619777597,0,114.142619777597,0,0.05,0
medmix.linear,groot,0.651947060265419,102.246122202999,66.659058793784,21.4775454678627,2,0.05,0
medmix.linear,l3t,0.893268404313071,117.260634736386,104.745220079709,7.94209119041458,1,0.05,0
medmix.linear,l3b,0,137.229424684185,0,137.229424684185,0,0.05,0
medmix.linear,ld268,0,6.22671395344444,0,6.22671395344444,0,0.05,0
medmix.linear,ln268,0.77226389559654,67.2526120329845,51.9367641576354,14.7935016422597,1,0.05,0
medmix.linear,kern,0,147.734018391161,0,147.734018391161,0,0.05,0
medmix.shrink,gs,0,57.1748892605982,0,57.1748892605982,0,0.05,0
medmix.shrink,groot,0.450769445647925,157.290752971476,70.9018655224968,66.6284199412795,2,0.05,0
medmix.shrink,l3t,0.374844784581186,234.337754236624,87.8402850060663,139.72962650186,1,0.05,0
medmix.shrink,l3b,0,54.1275867957613,0,54.1275867957613,0,0.05,0
medmix.shrink,ld268,0,182.057326251096,0,182.057326251096,0,0.05,0
medmix.shrink,ln268,0,7.45810245173222e-16,0,7.45810245173222e-16,0,0.05,0
medmix.shrink,kern,0.6246548825239,84.1482155458747,52.5635936964041,37.3550983851629,1,0.05,0
