method,tissue,pmed.pure,v.tot,v.med,v.dir,n.med,pval.cut,n.direct
medfix0.5,gs,0.122357747673527,3093.62296170923,378.528737745848,2112.69798127765,3,0.05,15
medfix0.5,groot,0,3064.64045264789,0,3064.64045264789,0,0.05,14
medfix0.5,l3t,0.0622858200979094,3038.16307491615,189.234478712338,2524.67614016695,2,0.05,11
medfix0.5,l3b,0.0737875450283454,3949.88989502411,291.452678486098,3072.34149209493,4,0.05,20
medfix0.5,ld268,1,440.786335588477,440.786335588477,0,3,0.05,0
medfix0.5,ln268,0.215857238963775,421.135511335771,90.9051487065373,280.741315918844,2,0.05,8
medfix0.5,kern,0.283658527453792,1611.12970070467,457.010678438956,807.16204277241,2,0.05,3
medfixbic,gs,0.306096368448675,3234.14714676019,989.960696651941,1427.09956909816,7,0.05,8
medfixbic,groot,0,4966.76303667246,0,4966.76303667246,0,0.05,20
medfixbic,l3t,0.0352911884583877,4602.88692492331,162.441349920117,3948.08746900739,3,0.05,32
medfixbic,l3b,0.044992844775022,4593.53245749389,206.676092829048,3900.52838487762,3,0.05,26
medfixbic,ld268,0.406714990136659,1166.20683864757,474.313802877851,365.03956900361,4,0.05,5
medfixbic,ln268,0.0945367418309409,1443.92797872331,136.504246547038,1078.18666377975,4,0.05,30
medfixbic,kern,0.144584843790115,5478.46071327499,792.102386439149,3190.34825043009,2,0.05,13
medmix.linear,gs,0.999999998552983,117.008493286634,117.008493117321,2.69254978117761e-15,1,0.05,0
medmix.linear,groot,0,9.31722343177355,0,9.31722343177355,0,0.05,0
medmix.linear,l3t,0.994424713385996,121.747473796219,121.068696735275,0.381309460568272,1,0.05,0
medmix.linear,l3b,1.00198993909846,272.016328029665,272.55762395623,0.0352739578380064,1,0.05,0
medmix.linear,ld268,0,2.07416049982211e-15,0,2.07416049982211e-15,0,0.05,0
medmix.linear,ln268,0,2.16570253864915e-15,0,2.16570253864915e-15,0,0.05,0
medmix.linear,kern,0.999999999494613,233.809387231355,233.809387113191,3.34891105433358e-15,1,0.05,0
medmix.shrink,gs,0.999999998574536,116.804647303182,116.804647136681,2.67905498243408e-15,1,0.05,0
medmix.shrink,groot,0,3.12942705750075e-15,0,3.12942705750075e-15,0,0.05,0
medmix.shrink,l3t,0.995291082363653,124.112672088905,123.528235738411,0.317603869623787,1,0.05,0
medmix.shrink,l3b,1.00000000067901,269.324185093086,269.324185275959,3.441419594943e-15,1,0.05,0
medmix.shrink,ld268,0,2.06991674238255e-15,0,2.06991674238255e-15,0,0.05,0
medmix.shrink,ln268,0,2.16126007279622e-15,0,2.16126007279622e-15,0,0.05,0
medmix.shrink,kern,0.999999999498238,233.889454838086,233.88945472073,3.3372984607273e-15,1,0.05,0
