method,tissue,pmed.pure,v.tot,v.med,v.dir,n.med,pval.cut,n.direct
medfix0.5,gs,0.0907513258613453,3345.04809938695,303.567550089338,2656.03740741367,2,0.05,19
medfix0.5,groot,0,3207.30758262361,0,3207.30758262361,0,0.05,11
medfix0.5,l3t,0.026716998063656,3024.03100257165,80.7930304401425,2899.84102802904,1,0.05,19
medfix0.5,l3b,0.0368355324165835,3738.39469216493,137.705758869225,3054.54075671754,2,0.05,18
medfix0.5,ld268,0.241456798998196,1372.40897416189,331.377477817528,618.47100386201,5,0.05,11
medfix0.5,ln268,0.251091861804121,1070.87867996065,268.88892151766,544.738353778497,4,0.05,13
medfix0.5,kern,0.0692507356771502,1253.67255088809,86.8177464472499,1126.2505362828,1,0.05,6
medfixbic,gs,0.349368908857736,3320.44849847855,1160.06146883176,1491.25562111137,7,0.05,8
medfixbic,groot,0,5705.08266369969,0,5705.08266369969,0,0.05,25
medfixbic,l3t,0,5877.27107857483,0,5877.27107857483,0,0.05,20
medfixbic,l3b,0.0380628697581427,4915.47561755203,187.097108230209,4009.62213898292,2,0.05,18
medfixbic,ld268,0.230229968062257,1974.73975635381,454.644271036607,978.62340625542,5,0.05,20
medfixbic,ln268,0.563046414983361,629.29732419381,354.323602345947,174.505050013243,5,0.05,2
medfixbic,kern,0.0152937714135382,3217.98131336426,49.2150706196305,3138.32756104197,1,0.05,30
medmix.linear,gs,0,2.25191563696848e-15,0,2.25191563696848e-15,0,0.05,0
medmix.linear,groot,0,4.48637712836943e-15,0,4.48637712836943e-15,0,0.05,0
medmix.linear,l3t,0,3.10681623532066e-15,0,3.10681623532066e-15,0,0.05,0
medmix.linear,l3b,0,2.61083046107697e-15,0,2.61083046107697e-15,0,0.05,0
medmix.linear,ld268,0,1.92698699683638e-15,0,1.92698699683638e-15,0,0.05,0
medmix.linear,ln268,0,2.66311914715971e-15,0,2.66311914715971e-15,0,0.05,0
medmix.linear,kern,0,2.82234370753015e-15,0,2.82234370753015e-15,0,0.05,0
medmix.shrink,gs,0,2.24952469319435e-15,0,2.24952469319435e-15,0,0.05,0
medmix.shrink,groot,0,4.48326312802198e-15,0,4.48326312802198e-15,0,0.05,0
medmix.shrink,l3t,0,0.354377864452576,0,0.354377864452576,0,0.05,0
medmix.shrink,l3b,0,2.61804772818693e-15,0,2.61804772818693e-15,0,0.05,0
medmix.shrink,ld268,0,1.92546150247734e-15,0,1.92546150247734e-15,0,0.05,0
medmix.shrink,ln268,0,2.25724274545055e-15,0,2.25724274545055e-15,0,0.05,0
medmix.shrink,kern,0,2.81919372254304e-15,0,2.81919372254304e-15,0,0.05,0
