method,tissue,pmed.pure,v.tot,v.med,v.dir,n.med,pval.cut,n.direct
medfix0.5,gs,0.0807115743379334,3202.40866030979,258.471444647036,2380.8151158688,4,0.05,18
medfix0.5,groot,0.0186322156573323,2589.81209162916,48.2539374032012,2486.24431651549,1,0.05,11
medfix0.5,l3t,0.0790761423004684,2159.28041552201,170.747565404433,1745.62305630601,2,0.05,12
medfix0.5,l3b,0.0335398591836752,2913.58818414676,97.7213374155022,2517.16526757371,2,0.05,16
medfix0.5,ld268,0.565062135360597,701.741575310037,396.527593015999,152.879313982141,4,0.05,2
medfix0.5,ln268,0.0707482121947832,433.058873145089,30.6381410501025,388.488529550487,1,0.05,7
medfix0.5,kern,0.0966489556025682,1339.67331825629,129.478027058098,1055.36384840372,3,0.05,13
medfixbic,gs,0,4825.370888852,0,4825.370888852,0,0.05,15
medfixbic,groot,0,4467.6396614551,0,4467.6396614551,0,0.05,12
medfixbic,l3t,0.0105016396764275,5098.16302783058,53.5390711299616,4787.73569428367,1,0.05,21
medfixbic,l3b,0.0696278431771624,4159.89892189975,289.644789766883,3195.34817784322,3,0.05,27
medfixbic,ld268,0.116808012866219,2434.38397096434,284.355554201719,1552.77416301812,3,0.05,12
medfixbic,ln268,0,2448.20132185161,0,2448.20132185161,0,0.05,15
medfixbic,kern,0.12061526312344,3216.71244145354,387.984617518361,2270.41915745374,1,0.05,19
medmix.linear,gs,0.999999999191005,120.632374148725,120.632374051134,2.28826969734673e-15,1,0.05,0
medmix.linear,groot,0,0.238535536542353,0,0.238535536542353,0,0.05,0
medmix.linear,l3t,0.999999998892006,85.1918688522481,85.1918687578561,3.56530051913142e-15,1,0.05,0
medmix.linear,l3b,1.00000000038333,214.844302916486,214.844302998843,2.83782686105104e-15,1,0.05,0
medmix.linear,ld268,0,1.71737971641066e-15,0,1.71737971641066e-15,0,0.05,0
medmix.linear,ln268,0.999999999339975,125.796097166553,125.796097083524,3.30456025825508e-15,1,0.05,0
medmix.linear,kern,0.99999999928946,330.047901396685,330.047901162173,3.66815517835032e-15,2,0.05,0
medmix.shrink,gs,0.999999999197713,120.625841518992,120.625841422216,2.28525982063345e-15,1,0.05,0
medmix.shrink,groot,0,0.139215587853552,0,0.139215587853552,0,0.05,0
medmix.shrink,l3t,0.999999998909783,86.2102049644984,86.2102048705106,3.52535101334974e-15,1,0.05,0
medmix.shrink,l3b,1.00000000025614,223.101857990145,223.101858047291,2.96055823041382e-15,1,0.05,0
medmix.shrink,ld268,0,1.71180746623767e-15,0,1.71180746623767e-15,0,0.05,0
medmix.shrink,ln268,0.999999999345232,125.784714876735,125.784714794375,3.29210436527038e-15,1,0.05,0
medmix.shrink,kern,0.999999999294535,330.035312460149,330.035312227321,3.65249808422657e-15,2,0.05,0
