method,tissue,pmed.pure,v.tot,v.med,v.dir,n.med,pval.cut,n.direct
medfix0.5,gs,0.0889839916174062,3724.59476138391,331.429309025221,2781.26891310668,4,0.05,27
medfix0.5,groot,0.0557634618075923,3500.27848899548,195.187645837036,3100.73844607638,2,0.05,15
medfix0.5,l3t,0.174060055579769,2940.95452310594,511.902707749392,1971.91340112604,3,0.05,9
medfix0.5,l3b,0.0726627903906504,3518.04805743879,255.63118858191,2828.82181762557,3,0.05,18
medfix0.5,ld268,0.312034857516965,621.137724110894,193.816621241355,260.685673976335,2,0.05,3
medfix0.5,ln268,0.405367611822939,943.416132993324,382.430344786737,325.252129220701,3,0.05,3
medfix0.5,kern,0.0881449015314225,1240.0793385967,109.306671191757,1147.29812647447,1,0.05,16
medfixbic,gs,0.173128106923687,2302.91210509209,398.698813166237,1376.75712172992,4,0.05,13
medfixbic,groot,0,5884.22659749224,0,5884.22659749224,0,0.05,38
medfixbic,l3t,0,4074.96479608436,0,4074.96479608436,0,0.05,19
medfixbic,l3b,0.0570563220452834,2667.66953540377,152.207412122389,2255.12007150008,4,0.05,35
medfixbic,ld268,0.274882406312476,4530.08694655516,1245.24120067382,1702.63500814854,7,0.05,8
medfixbic,ln268,0,3259.58921780431,0,3259.58921780431,0,0.05,24
medfixbic,kern,0.0239185862470556,3628.23640203898,86.7822853068759,3076.36149459546,1,0.05,20
medmix.linear,gs,0,2.03015537512945e-15,0,2.03015537512945e-15,0,0.05,0
medmix.linear,groot,0,2.76291571633254e-15,0,2.76291571633254e-15,0,0.05,0
medmix.linear,l3t,0,2.62123496344511e-15,0,2.62123496344511e-15,0,0.05,0
medmix.linear,l3b,0,2.62325031056615e-15,0,2.62325031056615e-15,0,0.05,0
medmix.linear,ld268,0,1.67131060417534e-15,0,1.67131060417534e-15,0,0.05,0
medmix.linear,ln268,0,2.78489596128771e-15,0,2.78489596128771e-15,0,0.05,0
medmix.linear,kern,0,3.11015814998988e-15,0,3.11015814998988e-15,0,0.05,0
medmix.shrink,gs,0,2.02869244122533e-15,0,2.02869244122533e-15,0,0.05,0
medmix.shrink,groot,0,2.7591192825441e-15,0,2.7591192825441e-15,0,0.05,0
medmix.shrink,l3t,0,2.61446344828808e-15,0,2.61446344828808e-15,0,0.05,0
medmix.shrink,l3b,0,2.61994497521828e-15,0,2.61994497521828e-15,0,0.05,0
medmix.shrink,ld268,0,1.66836062289864e-15,0,1.66836062289864e-15,0,0.05,0
medmix.shrink,ln268,0,2.78303334131479e-15,0,2.78303334131479e-15,0,0.05,0
medmix.shrink,kern,0,3.10721955854419e-15,0,3.10721955854419e-15,0,0.05,0
