method,tissue,pmed.pure,v.tot,v.med,v.dir,n.med,pval.cut,n.direct
medfix0.5,gs,0.195119786225543,22746.0498397618,4438.20438220987,13470.3025184007,7,0.05,16
medfix0.5,groot,0.10652168705855,18195.2538330585,1938.18913475594,14255.1198823342,2,0.05,8
medfix0.5,l3t,0.0338571877234587,13706.1459147228,464.051555199886,11913.7593003965,1,0.05,15
medfix0.5,l3b,0.0140990047969929,25750.4843165101,363.056201903366,24754.2490893776,1,0.05,30
medfix0.5,ld268,0.119249753619883,8892.28833254696,1060.40319277318,7053.58985281827,2,0.05,5
medfix0.5,ln268,0.0787549496769612,18103.1401189679,1425.7118890643,15251.7202399736,2,0.05,14
medfix0.5,kern,0.07316130983823,10208.7853310154,746.888106674398,8676.86057641627,1,0.05,6
medfixbic,gs,0.100586772780025,22928.9347725282,2306.3475520523,17626.5453089273,4,0.05,16
medfixbic,groot,0.0526733369700239,25588.2229249532,1347.81708859015,21411.0098395466,2,0.05,15
medfixbic,l3t,0.230882448520864,11277.0498304305,2603.67287694159,6227.52045772999,4,0.05,7
medfixbic,l3b,0,31141.1239478338,0,31141.1239478338,0,0.05,29
medfixbic,ld268,0.0615122097154444,15768.964244195,969.98383558427,13752.9897011093,2,0.05,15
medfixbic,ln268,0.0320402239596534,24954.5373019497,799.548963963992,22397.3794844971,2,0.05,26
medfixbic,kern,0.0409465502217064,14528.9581739374,594.9107155382,12838.8878282853,1,0.05,9
medmix.linear,gs,0,3310.94421715234,0,3310.94421715234,0,0.05,0
medmix.linear,groot,0,395.070002648664,0,395.070002648664,0,0.05,0
medmix.linear,l3t,0,582.774216111985,0,582.774216111985,0,0.05,0
medmix.linear,l3b,0,306.267678501626,0,306.267678501626,0,0.05,0
medmix.linear,ld268,0,1735.40803905957,0,1735.40803905957,0,0.05,0
medmix.linear,ln268,0,540.244418574129,0,540.244418574129,0,0.05,0
medmix.linear,kern,0,616.7470415845,0,616.7470415845,0,0.05,0
medmix.shrink,gs,0,3991.69738543746,0,3991.69738543746,0,0.05,0
medmix.shrink,groot,0,662.219876985969,0,662.219876985969,0,0.05,0
medmix.shrink,l3t,0,588.397715134918,0,588.397715134918,0,0.05,0
medmix.shrink,l3b,0,317.470952455415,0,317.470952455415,0,0.05,0
medmix.shrink,ld268,0,954.877296739425,0,954.877296739425,0,0.05,0
medmix.shrink,ln268,0,4410.10001161069,0,4410.10001161069,0,0.05,0
medmix.shrink,kern,1.00056372789423,712.355986769816,712.757561710177,0.0365112904924851,1,0.05,0
