method,tissue,pmed.pure,v.tot,v.med,v.dir,n.med,pval.cut,n.direct
medfix0.5,gs,0.0983790099085034,16647.9844614787,1637.81222829242,13996.0301153412,3,0.05,7
medfix0.5,groot,0.172818845652512,21423.7203957766,3702.42262838028,14334.7792713794,6,0.05,24
medfix0.5,l3t,0.306920119613369,17944.4000018617,5507.49739496153,10482.1068474977,4,0.05,5
medfix0.5,l3b,0.0653947023926275,18706.0052349069,1223.27364529167,16852.8114931183,2,0.05,19
medfix0.5,ld268,0.146028413864691,7167.74752589698,1046.6948021893,5506.37387284291,1,0.05,4
medfix0.5,ln268,0.50581171973691,4531.5081543883,2292.08993257298,2353.23174438527,3,0.05,1
medfix0.5,kern,0.0665904480804148,9211.73210484696,613.413368458501,8092.28908521663,1,0.05,5
medfixbic,gs,0.352527680857795,13158.7821470218,4638.83495320255,6877.20676924679,7,0.05,8
medfixbic,groot,0.236996030157108,13515.1050534788,3203.02624483076,7855.80268766491,5,0.05,11
medfixbic,l3t,0.0408181588078193,25105.074735347,1024.74292742957,22071.9329640382,2,0.05,28
medfixbic,l3b,0,21538.4571914893,0,21538.4571914893,0,0.05,16
medfixbic,ld268,0.166621386493619,14270.8652507794,2377.83135454847,10217.1609016519,3,0.05,10
medfixbic,ln268,0.038223121178022,23063.1528485726,881.545686078234,20092.0297494534,2,0.05,24
medfixbic,kern,0.804681994996381,5142.07140465553,4137.73227631206,1043.07075302861,6,0.05,1
medmix.linear,gs,0,535.171198144405,0,535.171198144405,0,0.05,0
medmix.linear,groot,0,2361.82448922531,0,2361.82448922531,0,0.05,0
medmix.linear,l3t,0,472.424909394282,0,472.424909394282,0,0.05,0
medmix.linear,l3b,0,459.863227508517,0,459.863227508517,0,0.05,0
medmix.linear,ld268,0,405.766796362854,0,405.766796362854,0,0.05,0
medmix.linear,ln268,0,5205.56180178049,0,5205.56180178049,0,0.05,0
medmix.linear,kern,0,136.163014754391,0,136.163014754391,0,0.05,0
medmix.shrink,gs,0,497.089181581065,0,497.089181581065,0,0.05,0
medmix.shrink,groot,0.279734593218902,6000.57224166081,1678.56763510162,4720.96006430855,1,0.05,0
medmix.shrink,l3t,0,3271.9800161717,0,3271.9800161717,0,0.05,0
medmix.shrink,l3b,0,76.6121501637507,0,76.6121501637507,0,0.05,0
medmix.shrink,ld268,0,6.51638920035237e-15,0,6.51638920035237e-15,0,0.05,0
medmix.shrink,ln268,0,2003.98562527985,0,2003.98562527985,0,0.05,0
medmix.shrink,kern,0,1657.43265977614,0,1657.43265977614,0,0.05,0
