method,tissue,pmed.pure,v.tot,v.med,v.dir,n.med,pval.cut,n.direct
medfix0.5,gs,0.0290714531322564,262.363019169552,7.62727421542492,243.247700981976,1,0.05,12
medfix0.5,groot,0.0370130100414075,252.246622946421,9.33640678802699,238.537337619871,2,0.05,14
medfix0.5,l3t,0.124096955831208,233.843221587798,29.0192319408082,190.896063750139,5,0.05,19
medfix0.5,l3b,0.0780780099126646,284.76223657267,22.2336687298735,238.282091799432,3,0.05,14
medfix0.5,ld268,0.150853370270075,115.397897304729,17.4081617304985,81.9817461120277,3,0.05,11
medfix0.5,ln268,0.1004845172796,254.993997122167,25.6229487100167,217.130622038551,3,0.05,31
medfix0.5,kern,0.134354210486154,185.293998301946,24.8950288496806,125.686003671102,2,0.05,8
medfixbic,gs,0.0341552600478449,224.968979852871,7.68387400957319,206.407322290531,1,0.05,12
medfixbic,groot,0.0153119424262286,322.843962779153,4.94336817072988,314.626309966999,1,0.05,24
medfixbic,l3t,0.0498712176856302,328.771063925209,16.3962132977503,296.048862406728,4,0.05,38
medfixbic,l3b,0.0812227333269201,374.538059999685,30.4210049681364,307.932695506411,4,0.05,26
medfixbic,ld268,0.032052375404445,372.404920072389,11.9364623006225,348.995945914665,3,0.05,62
medfixbic,ln268,0.0341916656026317,314.446107371997,10.7514361533126,295.071984743035,1,0.05,26
medfixbic,kern,0.322828116244962,137.704139517554,44.4547679595855,68.6352321140696,5,0.05,6
medmix.linear,gs,0,12.9920949634255,0,12.9920949634255,0,0.05,0
medmix.linear,groot,0,1.5379227515348e-16,0,1.5379227515348e-16,0,0.05,0
medmix.linear,l3t,0.999999999617305,4.32854591977571,4.32854591811919,1.09261851308345e-16,1,0.05,0
medmix.linear,l3b,0,0.102518244988585,0,0.102518244988585,0,0.05,0
medmix.linear,ld268,0,5.40201984212631e-17,0,5.40201984212631e-17,0,0.05,0
medmix.linear,ln268,0,11.3803091073538,0,11.3803091073538,0,0.05,0
medmix.linear,kern,0.257903107225757,29.4069050900677,7.58413219662138,21.096216078096,1,0.05,0
medmix.shrink,gs,0,9.23045784292623e-17,0,9.23045784292623e-17,0,0.05,0
medmix.shrink,groot,0,1.53755650009593e-16,0,1.53755650009593e-16,0,0.05,0
medmix.shrink,l3t,0.668731042005503,7.73376212796699,5.17180680645806,2.16033706620528,1,0.05,0
medmix.shrink,l3b,1.00000000002373,0.341935097041689,0.341935097049802,1.03505487105097e-16,1,0.05,0
medmix.shrink,ld268,0,5.42267756632643e-17,0,5.42267756632643e-17,0,0.05,0
medmix.shrink,ln268,0,4.17861410486758,0,4.17861410486758,0,0.05,0
medmix.shrink,kern,0.269402443933496,28.3223915124261,7.63012149148889,20.0038057568552,1,0.05,0
