method,tissue,pmed.pure,v.tot,v.med,v.dir,n.med,pval.cut,n.direct
medfix0.5,gs,0.231580909037492,19784.6615964927,4581.74991751492,11362.625246816,5,0.05,10
medfix0.5,groot,0.143842782239681,18207.4100037243,2619.00451231431,14599.1496271321,6,0.05,17
medfix0.5,l3t,0.118900386086025,14076.5385617338,1673.70586974497,12906.4732067611,2,0.05,21
medfix0.5,l3b,0.282450264722831,21213.4549498844,5991.74596628071,15332.8481996256,8,0.05,26
medfix0.5,ld268,0.0178770339794824,18905.2857380394,337.970435530754,17913.946984924,1,0.05,26
medfix0.5,ln268,0.0755206170577386,13060.8009558717,986.35974745573,11189.1609440585,2,0.05,15
medfix0.5,kern,0.518250244100706,6387.84900696587,3310.50430713851,2476.79146768438,2,0.05,1
medfixbic,gs,0.0903395527815361,25280.5762945984,2283.83595651352,19267.5410148784,4,0.05,24
medfixbic,groot,0.134415209678574,13138.3186044129,1765.98985003607,11057.8927175774,4,0.05,15
medfixbic,l3t,0.412205853386405,6529.56657740647,2691.52556328318,3235.86444043505,5,0.05,6
medfixbic,l3b,0.471615587480281,17197.8707827292,8110.78393260679,8821.29529567154,7,0.05,8
medfixbic,ld268,0,20123.7238930025,0,20123.7238930025,0,0.05,20
medfixbic,ln268,0.10739401594684,16917.5066327362,1816.83897709684,13851.806614296,2,0.05,12
medfixbic,kern,0.0212373888890605,23877.0843154687,507.086925144494,22077.9849830106,1,0.05,27
medmix.linear,gs,0,5043.58920802964,0,5043.58920802964,0,0.05,0
medmix.linear,groot,0,5.66878930432593,0,5.66878930432593,0,0.05,0
medmix.linear,l3t,0,1231.01531241944,0,1231.01531241944,0,0.05,0
medmix.linear,l3b,0,1053.58342165954,0,1053.58342165954,0,0.05,0
medmix.linear,ld268,0,6.15123472788429e-15,0,6.15123472788429e-15,0,0.05,0
medmix.linear,ln268,0.248676305824577,4778.53663917681,1188.30883867788,3735.24870690494,1,0.05,0
medmix.linear,kern,0,3074.40558959822,0,3074.40558959822,0,0.05,0
medmix.shrink,gs,0,5049.11766115176,0,5049.11766115176,0,0.05,0
medmix.shrink,groot,0,1045.21012267885,0,1045.21012267885,0,0.05,0
medmix.shrink,l3t,0,519.740265968354,0,519.740265968354,0,0.05,0
medmix.shrink,l3b,0,276.341413936577,0,276.341413936577,0,0.05,0
medmix.shrink,ld268,0,3.28820996992162e-15,0,3.28820996992162e-15,0,0.05,0
medmix.shrink,ln268,0,407.024521960184,0,407.024521960184,0,0.05,0
medmix.shrink,kern,0,2181.43366831171,0,2181.43366831171,0,0.05,0
