method,tissue,pmed.pure,v.tot,v.med,v.dir,n.med,pval.cut,n.direct
medfix0.5,gs,0.187637245588369,548932.286689515,103000.142288945,287271.957173616,5,0.05,9
medfix0.5,groot,0.0246203867461957,538631.933495175,13261.3265165024,482317.848259465,1,0.05,11
medfix0.5,l3t,0.168907880681407,532471.961892899,89938.7106056004,385295.633547784,6,0.05,13
medfix0.5,l3b,0.056696497801585,703324.246378149,39876.0215885801,550109.530596878,3,0.05,16
medfix0.5,ld268,1,128574.044603773,128574.044603773,0,4,0.05,0
medfix0.5,ln268,0.375854452629495,79357.8182455237,29826.9893385422,42547.8866662157,2,0.05,6
medfix0.5,kern,0.127795173272632,282263.303634055,36071.8877964197,206668.561736069,4,0.05,11
medfixbic,gs,0.19008368644845,216308.499933041,41116.7170774067,128642.362740135,3,0.05,7
medfixbic,groot,0,1015416.68517576,0,1015416.68517576,0,0.05,25
medfixbic,l3t,0.0371757117757434,812219.681577231,30194.8447809012,697339.299656468,2,0.05,14
medfixbic,l3b,0.028926921667391,841029.322242221,24328.3893244796,766229.663853561,3,0.05,35
medfixbic,ld268,0.100999630662106,381411.685464658,38522.4393621416,252987.976388632,2,0.05,11
medfixbic,ln268,0,541643.931067056,0,541643.931067056,0,0.05,19
medfixbic,kern,0.0623497421807209,295526.596164223,18426.0070783853,263473.378765975,1,0.05,10
medmix.linear,gs,0,2490.41564062109,0,2490.41564062109,0,0.05,0
medmix.linear,groot,0.876687240478693,39987.0205264715,35056.1106803172,3996.02778533057,1,0.05,0
medmix.linear,l3t,0,9826.03648930801,0,9826.03648930801,0,0.05,0
medmix.linear,l3b,0.940010571116427,75674.1186156524,71134.4714586317,2929.48274977898,2,0.05,0
medmix.linear,ld268,0,481.279454659086,0,481.279454659086,0,0.05,0
medmix.linear,ln268,0.999999999400492,81008.098572077,81008.098523512,5.23294752268219e-13,2,0.05,0
medmix.linear,kern,0,4.15936789962128e-13,0,4.15936789962128e-13,0,0.05,0
medmix.shrink,gs,0,1831.46741640873,0,1831.46741640873,0,0.05,0
medmix.shrink,groot,0.938867134863932,35867.8346371045,33675.1311395115,1805.82190876394,1,0.05,0
medmix.shrink,l3t,0,8542.02507635626,0,8542.02507635626,0,0.05,0
medmix.shrink,l3b,0.924107776907137,79510.2592614035,73476.0489273657,4060.01890991516,2,0.05,0
medmix.shrink,ld268,0,2384.72907707984,0,2384.72907707984,0,0.05,0
medmix.shrink,ln268,0.999999999405325,81026.1372374942,81026.13718931,5.21504228865881e-13,2,0.05,0
medmix.shrink,kern,0,199.726149754053,0,199.726149754053,0,0.05,0
