method,tissue,pmed.pure,v.tot,v.med,v.dir,n.med,pval.cut,n.direct
medfix0.5,gs,0.0984900738712819,594209.585791401,58523.7459996189,433859.857029964,4,0.05,14
medfix0.5,groot,0,517730.783294853,0,517730.783294853,0,0.05,12
medfix0.5,l3t,0.0169606260912661,684400.350377122,11607.8584394779,654322.759145163,1,0.05,20
medfix0.5,l3b,0.0767851903333513,751189.012891958,57680.1913312313,605742.275491936,4,0.05,13
medfix0.5,ld268,0.340946539170547,244919.92383795,83504.6004064632,116816.483516929,4,0.05,5
medfix0.5,ln268,0.513403334610798,171691.115318559,88146.7911275952,63659.5224798942,6,0.05,3
medfix0.5,kern,0.0199425772325716,298135.140495403,5945.58306507315,280935.064952109,1,0.05,23
medfixbic,gs,0,970227.284086945,0,970227.284086945,0,0.05,16
medfixbic,groot,0,1055488.51739271,0,1055488.51739271,0,0.05,26
medfixbic,l3t,0,1174402.47249225,0,1174402.47249225,0,0.05,24
medfixbic,l3b,0.0415260827487712,458613.233941306,19044.4111023282,446398.734151432,1,0.05,15
medfixbic,ld268,0.0521339788229626,527509.809693166,27501.1852474486,411452.272196271,2,0.05,15
medfixbic,ln268,0,780003.300203844,0,780003.300203844,0,0.05,27
medfixbic,kern,0.106770924472021,540359.161597769,57694.6472307202,374668.691636204,2,0.05,10
medmix.linear,gs,0,2424.93104603097,0,2424.93104603097,0,0.05,0
medmix.linear,groot,0,4527.75109350873,0,4527.75109350873,0,0.05,0
medmix.linear,l3t,0,6668.58022937538,0,6668.58022937538,0,0.05,0
medmix.linear,l3b,0,3158.55324838259,0,3158.55324838259,0,0.05,0
medmix.linear,ld268,0,3.8385606537963e-13,0,3.8385606537963e-13,0,0.05,0
medmix.linear,ln268,0,2756.20056451288,0,2756.20056451288,0,0.05,0
medmix.linear,kern,0,3.17248311147988e-13,0,3.17248311147988e-13,0,0.05,0
medmix.shrink,gs,0,3158.4583585486,0,3158.4583585486,0,0.05,0
medmix.shrink,groot,0,4183.00969164639,0,4183.00969164639,0,0.05,0
medmix.shrink,l3t,0,6611.53753445797,0,6611.53753445797,0,0.05,0
medmix.shrink,l3b,0,3149.15154459592,0,3149.15154459592,0,0.05,0
medmix.shrink,ld268,0,463.032855126634,0,463.032855126634,0,0.05,0
medmix.shrink,ln268,0,2480.96615512303,0,2480.96615512303,0,0.05,0
medmix.shrink,kern,0,15222.7553051582,0,15222.7553051582,0,0.05,0
