method,tissue,pmed.pure,v.tot,v.med,v.dir,n.med,pval.cut,n.direct
medfix0.5,gs,0.0606587310507204,636150.895698119,38588.1060898271,513217.126135414,2,0.05,11
medfix0.5,groot,0,554737.256428188,0,554737.256428188,0,0.05,13
medfix0.5,l3t,0.200720900397039,441583.594482026,88635.056684993,271628.399509835,7,0.05,9
medfix0.5,l3b,0.0202416988134054,497734.630942498,10074.9944885395,453153.013501476,1,0.05,14
medfix0.5,ld268,0.448417620503307,141011.278063453,63231.9417733439,42687.8712181545,3,0.05,1
medfix0.5,ln268,0.303510238294174,91257.2354736548,27697.5052846765,50450.4983968739,2,0.05,3
medfix0.5,kern,0.0676643250473175,225472.193376396,15256.4237817521,193630.940487536,2,0.05,17
medfixbic,gs,0,1051592.37636424,0,1051592.37636424,0,0.05,22
medfixbic,groot,0,885247.096171632,0,885247.096171632,0,0.05,16
medfixbic,l3t,0,931175.416699032,0,931175.416699032,0,0.05,22
medfixbic,l3b,0,944639.207192375,0,944639.207192375,0,0.05,19
medfixbic,ld268,0.24468150969443,203056.109059811,49684.0753174315,93754.0741189148,3,0.05,3
medfixbic,ln268,0.0284582315610228,604958.063485635,17216.0366553821,513717.688344117,1,0.05,20
medfixbic,kern,0.107137583257088,391176.436375827,41909.6980204262,291830.021350285,1,0.05,15
medmix.linear,gs,0,6.51212537181938e-13,0,6.51212537181938e-13,0,0.05,0
medmix.linear,groot,0,2273.64178343949,0,2273.64178343949,0,0.05,0
medmix.linear,l3t,0,1095.43236939893,0,1095.43236939893,0,0.05,0
medmix.linear,l3b,0.906400044268267,48208.4687757144,43696.1582324129,4307.69778918487,1,0.05,0
medmix.linear,ld268,0,3336.76272031246,0,3336.76272031246,0,0.05,0
medmix.linear,ln268,0,4.53535787882708e-13,0,4.53535787882708e-13,0,0.05,0
medmix.linear,kern,0,18787.1281417288,0,18787.1281417288,0,0.05,0
medmix.shrink,gs,0,5420.52791508061,0,5420.52791508061,0,0.05,0
medmix.shrink,groot,0,12202.4829776784,0,12202.4829776784,0,0.05,0
medmix.shrink,l3t,0,1034.36443259205,0,1034.36443259205,0,0.05,0
medmix.shrink,l3b,1.00000000020736,34096.1659426146,34096.1659496847,4.6126714742164e-13,1,0.05,0
medmix.shrink,ld268,0,4176.0125001144,0,4176.0125001144,0,0.05,0
medmix.shrink,ln268,0,4.51654100808145e-13,0,4.51654100808145e-13,0,0.05,0
medmix.shrink,kern,0,16939.8999559064,0,16939.8999559064,0,0.05,0
