method,tissue,pmed.pure,v.tot,v.med,v.dir,n.med,pval.cut,n.direct
medfix0.5,gs,0.0177702493698463,565267.293488844,10044.9407659148,553525.354531471,1,0.05,18
medfix0.5,groot,0.00776238309787064,726434.43793744,5638.86240275674,703092.278298047,1,0.05,23
medfix0.5,l3t,0.0850594729732114,508202.897549245,43227.4706289977,435819.20427698,1,0.05,15
medfix0.5,l3b,0.0930790590023584,517233.053819591,48143.5659344437,424519.688713978,3,0.05,8
medfix0.5,ld268,0.168189176932241,269569.050538849,45338.5967365347,168343.856944492,3,0.05,8
medfix0.5,ln268,0.408356674942043,191342.589789805,78136.0237413643,79367.3634581504,4,0.05,4
medfix0.5,kern,0.0530749099513509,339391.674233864,18013.1825482005,277622.25561034,3,0.05,31
medfixbic,gs,0,999403.182478675,0,999403.182478675,0,0.05,22
medfixbic,groot,0.0192298554851284,900560.013768899,17317.6389204612,827209.351900192,2,0.05,24
medfixbic,l3t,0,1140761.43616655,0,1140761.43616655,0,0.05,41
medfixbic,l3b,0.0359715398092078,740706.57709456,26644.356124899,651109.995105671,3,0.05,22
medfixbic,ld268,0.226067497035553,816129.748838745,184500.40957623,357058.472649233,6,0.05,8
medfixbic,ln268,0.0132101366575209,671091.192330968,8865.20636035075,579179.013977447,1,0.05,20
medfixbic,kern,0,524584.661563909,0,524584.661563909,0,0.05,13
medmix.linear,gs,0,908.04148831263,0,908.04148831263,0,0.05,0
medmix.linear,groot,0,4836.355532076,0,4836.355532076,0,0.05,0
medmix.linear,l3t,0,3072.67838861584,0,3072.67838861584,0,0.05,0
medmix.linear,l3b,0,4.51420920659453e-13,0,4.51420920659453e-13,0,0.05,0
medmix.linear,ld268,0,2176.98855928211,0,2176.98855928211,0,0.05,0
medmix.linear,ln268,0,878.430970377865,0,878.430970377865,0,0.05,0
medmix.linear,kern,0,4.88498389924888e-13,0,4.88498389924888e-13,0,0.05,0
medmix.shrink,gs,0,901.506354326474,0,901.506354326474,0,0.05,0
medmix.shrink,groot,0,6588.14133286603,0,6588.14133286603,0,0.05,0
medmix.shrink,l3t,0,4.69684011219173e-13,0,4.69684011219173e-13,0,0.05,0
medmix.shrink,l3b,0,4.51221827893918e-13,0,4.51221827893918e-13,0,0.05,0
medmix.shrink,ld268,0,2357.37073831776,0,2357.37073831776,0,0.05,0
medmix.shrink,ln268,0,3.98397329539231e-13,0,3.98397329539231e-13,0,0.05,0
medmix.shrink,kern,0,12563.2766289271,0,12563.2766289271,0,0.05,0
