method,tissue,pmed.pure,v.tot,v.med,v.dir,n.med,pval.cut,n.direct
medfix0.5,gs,0.163124239814876,192815.543583542,31452.8889715573,140629.90641823,4,0.05,11
medfix0.5,groot,0.0424179630089819,271588.433180591,11520.2281123217,267953.44037452,2,0.05,48
medfix0.5,l3t,0.392183363253358,102227.89226751,40092.0786077739,52813.2953733272,4,0.05,3
medfix0.5,l3b,0.149583200545187,168154.327645204,25153.0625146936,129857.720124759,3,0.05,8
medfix0.5,ld268,0,76959.5810025865,0,76959.5810025865,0,0.05,5
medfix0.5,ln268,0.0461746660198817,167708.348339009,7743.87697329973,144268.983605419,1,0.05,10
medfix0.5,kern,0,101183.94152839,0,101183.94152839,0,0.05,5
medfixbic,gs,0.0357772282097186,323915.991769945,11588.8163583307,300688.071956573,2,0.05,29
medfixbic,groot,0.0139704318781959,379554.451696073,5302.53961148597,378967.279903022,1,0.05,21
medfixbic,l3t,0.534426973395262,104985.303803881,56106.9781628901,41097.9575757999,5,0.05,2
medfixbic,l3b,0.123470327185291,225791.678012467,27878.5723599152,175529.984760124,3,0.05,10
medfixbic,ld268,0,209090.49570848,0,209090.49570848,0,0.05,15
medfixbic,ln268,0,393890.259987638,0,393890.259987638,0,0.05,30
medfixbic,kern,0,297538.306415505,0,297538.306415505,0,0.05,16
medmix.linear,gs,0,3570.78134393465,0,3570.78134393465,0,0.05,0
medmix.linear,groot,0,26921.6298095395,0,26921.6298095395,0,0.05,0
medmix.linear,l3t,0,19054.2979142274,0,19054.2979142274,0,0.05,0
medmix.linear,l3b,0,6998.11376130062,0,6998.11376130062,0,0.05,0
medmix.linear,ld268,0,1032.77964992236,0,1032.77964992236,0,0.05,0
medmix.linear,ln268,0,1.49699768477336e-13,0,1.49699768477336e-13,0,0.05,0
medmix.linear,kern,0,276.104179711511,0,276.104179711511,0,0.05,0
medmix.shrink,gs,0,6244.4864741716,0,6244.4864741716,0,0.05,0
medmix.shrink,groot,0,4119.08145012444,0,4119.08145012444,0,0.05,0
medmix.shrink,l3t,0,28207.8547795029,0,28207.8547795029,0,0.05,0
medmix.shrink,l3b,0,6921.65336556146,0,6921.65336556146,0,0.05,0
medmix.shrink,ld268,0,6.300958619311e-14,0,6.300958619311e-14,0,0.05,0
medmix.shrink,ln268,0,3996.21479879973,0,3996.21479879973,0,0.05,0
medmix.shrink,kern,0,23.2136463931725,0,23.2136463931725,0,0.05,0
