method,tissue,pmed.pure,v.tot,v.med,v.dir,n.med,pval.cut,n.direct
medfix0.5,gs,0.0580916582934528,15534.9317292584,902.449945628197,12828.412380597,4,0.05,35
medfix0.5,groot,0,16101.0774296476,0,16101.0774296476,0,0.05,16
medfix0.5,l3t,0.0712374568642516,10742.9565171004,765.300901481472,8571.45068498017,2,0.05,7
medfix0.5,l3b,0.0586719009446557,22876.342669062,1342.1985110552,19291.8376818595,4,0.05,36
medfix0.5,ld268,0.121269248732185,9100.96363983685,1103.66702334194,6935.47408859427,3,0.05,8
medfix0.5,ln268,0.0815521653626512,14672.0815528782,1196.54002101463,11283.6366790141,2,0.05,9
medfix0.5,kern,0.13915836860583,6583.55825542738,916.157226446717,4754.33880841739,2,0.05,4
medfixbic,gs,0.140527624987203,10946.7195486917,1538.31649957863,7067.63856641254,4,0.05,13
medfixbic,groot,0,18037.3296860765,0,18037.3296860765,0,0.05,19
medfixbic,l3t,0.0379262351425927,19525.3139579728,740.521648403024,16166.4183460599,2,0.05,15
medfixbic,l3b,0,25965.6265805366,0,25965.6265805366,0,0.05,36
medfixbic,ld268,0.192797861745498,5414.00625379057,1043.80882920758,3477.75945056793,10,0.05,30
medfixbic,ln268,0.0429122477374659,18358.0699482977,787.786045603078,15373.6405174226,2,0.05,17
medfixbic,kern,0,19483.1699428796,0,19483.1699428796,0,0.05,17
medmix.linear,gs,0,906.248630532237,0,906.248630532237,0,0.05,0
medmix.linear,groot,0,256.036590411708,0,256.036590411708,0,0.05,0
medmix.linear,l3t,0,1576.53873708711,0,1576.53873708711,0,0.05,0
medmix.linear,l3b,0,1162.52969785941,0,1162.52969785941,0,0.05,0
medmix.linear,ld268,0,5.92406745743434,0,5.92406745743434,0,0.05,0
medmix.linear,ln268,0,1885.55833203022,0,1885.55833203022,0,0.05,0
medmix.linear,kern,0,1469.15237548686,0,1469.15237548686,0,0.05,0
medmix.shrink,gs,0,8.05802958553914,0,8.05802958553914,0,0.05,0
medmix.shrink,groot,0,281.324139586788,0,281.324139586788,0,0.05,0
medmix.shrink,l3t,0,1218.77427615505,0,1218.77427615505,0,0.05,0
medmix.shrink,l3b,0,3167.49596650278,0,3167.49596650278,0,0.05,0
medmix.shrink,ld268,0,950.982095315079,0,950.982095315079,0,0.05,0
medmix.shrink,ln268,0,1254.06565751986,0,1254.06565751986,0,0.05,0
medmix.shrink,kern,0,1209.77382995776,0,1209.77382995776,0,0.05,0
