method,tissue,pmed.pure,v.tot,v.med,v.dir,n.med,pval.cut,n.direct
medfix0.5,gs,0.0669567110558497,661009.217306618,44259.0031684526,589579.669870803,2,0.05,18
medfix0.5,groot,0,610854.142282588,0,610854.142282588,0,0.05,16
medfix0.5,l3t,0.193526781030852,692102.659181343,133940.399774258,436393.933733655,3,0.05,9
medfix0.5,l3b,0.0949140967853911,879323.976811912,83460.2410408408,660499.908851954,3,0.05,16
medfix0.5,ld268,0,353911.521790859,0,353911.521790859,0,0.05,5
medfix0.5,ln268,0.17195956938331,478508.710751665,82284.1518470191,291428.83798292,4,0.05,11
medfix0.5,kern,0,375337.354181144,0,375337.354181144,0,0.05,7
medfixbic,gs,0.446904683469448,165373.214187852,73906.0639409472,78918.1824899598,4,0.05,2
medfixbic,groot,0.0715229750253365,519779.209475995,37176.1554180407,454720.600593043,2,0.05,14
medfixbic,l3t,0.191271956965654,403800.728159178,77235.755499162,265727.594374086,4,0.05,12
medfixbic,l3b,0.182786093623826,660730.981997095,120772.435135483,444357.686270728,4,0.05,7
medfixbic,ld268,0.00632343111588478,1105848.19018559,6992.7548552644,1053986.66151577,1,0.05,29
medfixbic,ln268,0.0973267119726404,614104.370537377,59768.7591924309,477909.639222797,3,0.05,19
medfixbic,kern,0.044438925430375,863412.064791804,38369.1043629691,732075.45060551,2,0.05,20
medmix.linear,gs,0.797626803585186,64478.3148545904,51429.6321780261,14348.7054872514,1,0.05,0
medmix.linear,groot,0,16398.3697083197,0,16398.3697083197,0,0.05,0
medmix.linear,l3t,0,3418.52096780106,0,3418.52096780106,0,0.05,0
medmix.linear,l3b,0,105139.627600059,0,105139.627600059,0,0.05,0
medmix.linear,ld268,0,2.75775371977258e-13,0,2.75775371977258e-13,0,0.05,0
medmix.linear,ln268,0,372.245632893624,0,372.245632893624,0,0.05,0
medmix.linear,kern,0,23824.1975753258,0,23824.1975753258,0,0.05,0
medmix.shrink,gs,0.777848953530991,66456.8965754832,51693.4274561569,16050.9273279991,1,0.05,0
medmix.shrink,groot,0,30227.5689504147,0,30227.5689504147,0,0.05,0
medmix.shrink,l3t,0,3324.53334238829,0,3324.53334238829,0,0.05,0
medmix.shrink,l3b,0,142793.611363368,0,142793.611363368,0,0.05,0
medmix.shrink,ld268,0,2.75777548429579e-13,0,2.75777548429579e-13,0,0.05,0
medmix.shrink,ln268,0,15222.2706253257,0,15222.2706253257,0,0.05,0
medmix.shrink,kern,0,15133.7572262245,0,15133.7572262245,0,0.05,0
