method,tissue,pmed.pure,v.tot,v.med,v.dir,n.med,pval.cut,n.direct
medfix0.5,gs,0.0295997867953463,12768.6332605362,377.948822179838,11465.4265449541,2,0.05,26
medfix0.5,groot,0.126411406133498,9799.20561946206,1238.73136134748,7608.59263663961,2,0.05,8
medfix0.5,l3t,0.0352813880315929,8087.58605426681,285.341261819487,7536.21533514084,1,0.05,13
medfix0.5,l3b,0.0462266536482654,19032.1539347732,879.792788123233,17365.9231584692,3,0.05,44
medfix0.5,ld268,0.117431778635398,3087.46021384484,362.565944377826,2182.12142761724,1,0.05,4
medfix0.5,ln268,0.384572134069722,2117.23544152496,814.229752075302,1390.46554565011,1,0.05,1
medfix0.5,kern,0.337679478413609,7413.06086370985,2503.23852590588,3609.34738456984,3,0.05,4
medfixbic,gs,0.305936687215958,7210.76401955073,2206.03725643738,3853.16446132914,6,0.05,5
medfixbic,groot,0.0128444967557746,19872.1670026095,255.247984595229,18720.3720138778,1,0.05,22
medfixbic,l3t,0,21954.5475941199,0,21954.5475941199,0,0.05,25
medfixbic,l3b,0.0386177465359774,18869.2777895654,728.688986994386,18065.6808078614,2,0.05,26
medfixbic,ld268,0.00677992337620542,22559.7615492255,152.953454689214,21404.9419213404,1,0.05,33
medfixbic,ln268,0.105362414629125,8957.08689233749,943.74030301956,7186.17396955157,2,0.05,11
medfixbic,kern,0.0544891471009693,18858.0959396001,1027.56156369706,14624.7314696014,2,0.05,16
medmix.linear,gs,0,540.139820452747,0,540.139820452747,0,0.05,0
medmix.linear,groot,0,62.4699176049167,0,62.4699176049167,0,0.05,0
medmix.linear,l3t,0,123.540023017802,0,123.540023017802,0,0.05,0
medmix.linear,l3b,0,2.47507415715196e-15,0,2.47507415715196e-15,0,0.05,0
medmix.linear,ld268,0,1.32295379039465,0,1.32295379039465,0,0.05,0
medmix.linear,ln268,0,8.34095701890514e-15,0,8.34095701890514e-15,0,0.05,0
medmix.linear,kern,0,762.587024457757,0,762.587024457757,0,0.05,0
medmix.shrink,gs,0,4043.60777882119,0,4043.60777882119,0,0.05,0
medmix.shrink,groot,0,180.553484510461,0,180.553484510461,0,0.05,0
medmix.shrink,l3t,0,8.11404172190822e-15,0,8.11404172190822e-15,0,0.05,0
medmix.shrink,l3b,0.363096727962417,2923.3096536334,1061.44417005523,1853.03694716594,1,0.05,0
medmix.shrink,ld268,0,4.4970298233494e-15,0,4.4970298233494e-15,0,0.05,0
medmix.shrink,ln268,0,518.343163681827,0,518.343163681827,0,0.05,0
medmix.shrink,kern,0.387201432034023,1951.62722854598,755.672857689594,1305.41766805961,1,0.05,0
