method,tissue,pmed.pure,v.tot,v.med,v.dir,n.med,pval.cut,n.direct
medfix0.5,gs,0.220537389271559,36.6684891532193,8.08677286638348,23.3874510286355,5,0.05,14
medfix0.5,groot,0,32.8536802678075,0,32.8536802678075,0,0.05,12
medfix0.5,l3t,0.251604122110051,25.8452011309478,6.50275914130982,15.5817136369084,4,0.05,6
medfix0.5,l3b,0.0356300437491065,27.6200026500604,0.98410190277209,27.0697263518816,1,0.05,12
medfix0.5,ld268,0.103835216035258,13.2288924082679,1.37362490111968,9.77502433263664,1,0.05,8
medfix0.5,ln268,0.456343662960002,15.1709525932166,6.92316807698101,5.92600154956804,5,0.05,3
medfix0.5,kern,0.265121764883286,0.0412054951138961,0.0109244735874858,0.0328108432615981,2,0.05,4
medfixbic,gs,0.547597225184445,19.3976067330879,10.622075622258,6.94824875829199,4,0.05,3
medfixbic,groot,0,38.452830909445,0,38.452830909445,0,0.05,12
medfixbic,l3t,1,4.0125803810329,4.0125803810329,0,4,0.05,0
medfixbic,l3b,0.0369652909161852,54.0923204406376,1.99953836141968,52.6289088302468,3,0.05,37
medfixbic,ld268,0.521254406579824,6.34286844355097,3.30624812655705,2.50826096721072,2,0.05,1
medfixbic,ln268,1,15.4129336645048,15.4129336645048,0,5,0.05,0
medfixbic,kern,1,0.00461335223020537,0.00461335223020537,0,1,0.05,0
medmix.linear,gs,0,0.58194540928621,0,0.58194540928621,0,0.05,0
medmix.linear,groot,0,4.96521779470549,0,4.96521779470549,0,0.05,0
medmix.linear,l3t,0,3.29808069723059,0,3.29808069723059,0,0.05,0
medmix.linear,l3b,0,0.243484067696711,0,0.243484067696711,0,0.05,0
medmix.linear,ld268,0,9.90974492485033e-18,0,9.90974492485033e-18,0,0.05,0
medmix.linear,ln268,0,6.68478681540411,0,6.68478681540411,0,0.05,0
medmix.linear,kern,0.999999989786904,1.51425032157584e-05,1.51425030611065e-05,4.58528239808054e-20,1,0.05,0
medmix.shrink,gs,0,0.424977034733257,0,0.424977034733257,0,0.05,0
medmix.shrink,groot,0,0.0194147565862331,0,0.0194147565862331,0,0.05,0
medmix.shrink,l3t,0,0.000303941947600881,0,0.000303941947600881,0,0.05,0
medmix.shrink,l3b,0,0.98803684490914,0,0.98803684490914,0,0.05,0
medmix.shrink,ld268,0,1.89398186047966,0,1.89398186047966,0,0.05,0
medmix.shrink,ln268,0,4.89065643822312,0,4.89065643822312,0,0.05,0
medmix.shrink,kern,0.999999989794732,1.51438550998961e-05,1.5143854945349e-05,4.58505492646918e-20,1,0.05,0
