method,tissue,pmed.pure,v.tot,v.med,v.dir,n.med,pval.cut,n.direct
medfix0.5,gs,0.0606292263199336,34000.6597360531,2061.43369416421,30225.162712306,3,0.05,13
medfix0.5,groot,0.327448215964627,25139.0959874267,8231.75213204636,14201.8307700993,5,0.05,5
medfix0.5,l3t,0.0722337965950989,36148.4391460444,2611.13900050568,30793.8107960971,2,0.05,15
medfix0.5,l3b,0.0837869563220829,23334.6358664842,1955.13811613682,19507.2138845757,2,0.05,6
medfix0.5,ld268,0,5724.5846581372,0,5724.5846581372,0,0.05,5
medfix0.5,ln268,0.253949007115496,7071.08247140399,1795.69437284483,5064.18912566323,2,0.05,3
medfix0.5,kern,0.133813322980159,17926.1315736891,2398.75523405488,12489.4495234702,2,0.05,5
medfixbic,gs,0.0221993773587402,35076.4908956187,778.676257812254,36015.086900229,1,0.05,14
medfixbic,groot,0.314913583400219,26850.8807179029,8455.70706432664,15415.153175601,5,0.05,6
medfixbic,l3t,0,51816.8112144697,0,51816.8112144697,0,0.05,17
medfixbic,l3b,0.163020881937688,20774.5838288447,3386.6909776667,15478.4482710434,4,0.05,4
medfixbic,ld268,0.0665299202233406,13517.774603208,899.336465948529,11998.5714194251,1,0.05,8
medfixbic,ln268,0.0348513288502726,54896.1587540166,1913.204081353,52095.1876724995,1,0.05,42
medfixbic,kern,0.011125181020887,33319.4776438519,370.685220309249,32585.5320231845,1,0.05,39
medmix.linear,gs,0.300205543196396,5110.78168151126,1534.28499085628,3651.85664385172,1,0.05,0
medmix.linear,groot,0,33.3478339637241,0,33.3478339637241,0,0.05,0
medmix.linear,l3t,0,1.05966411004228e-14,0,1.05966411004228e-14,0,0.05,0
medmix.linear,l3b,0,810.324474615181,0,810.324474615181,0,0.05,0
medmix.linear,ld268,0,1541.60078027279,0,1541.60078027279,0,0.05,0
medmix.linear,ln268,0,445.937827940817,0,445.937827940817,0,0.05,0
medmix.linear,kern,0.351562063270933,3543.24014623682,1245.66881647542,2143.30656082892,1,0.05,0
medmix.shrink,gs,0,583.981629538148,0,583.981629538148,0,0.05,0
medmix.shrink,groot,0,2141.54226236347,0,2141.54226236347,0,0.05,0
medmix.shrink,l3t,0,1.78947711584263e-14,0,1.78947711584263e-14,0,0.05,0
medmix.shrink,l3b,0,977.531847269016,0,977.531847269016,0,0.05,0
medmix.shrink,ld268,0,2167.75540682691,0,2167.75540682691,0,0.05,0
medmix.shrink,ln268,0.999999999964428,1394.65406664018,1394.65406659057,1.27634793962857e-14,1,0.05,0
medmix.shrink,kern,0.333490989268392,3877.08714859313,1292.97362866409,2414.74934677141,1,0.05,0
