method,tissue,pmed.pure,v.tot,v.med,v.dir,n.med,pval.cut,n.direct
medfix0.5,gs,0.109286117741243,35475.1630303893,3876.94284382891,30532.4644698377,3,0.05,10
medfix0.5,groot,0.206613959862305,16233.3887090194,3354.04472315453,10297.5313331451,2,0.05,5
medfix0.5,l3t,0.060564969270063,28551.8435284112,1729.24152590187,24564.4506368851,1,0.05,8
medfix0.5,l3b,0.13744992960021,30442.842828754,4184.36660364247,21767.5431636066,4,0.05,7
medfix0.5,ld268,0.21002318583522,3657.6694471826,768.195390029435,2631.13566809867,1,0.05,1
medfix0.5,ln268,0.422863762790221,9645.80380282876,4078.86089120039,6113.65278388381,3,0.05,3
medfix0.5,kern,0.129445531356544,27743.350800288,3591.25278595429,20603.993843476,4,0.05,19
medfixbic,gs,0.0282479424695232,37969.6714599102,1072.56509498624,34436.4124502941,1,0.05,13
medfixbic,groot,0,52372.638558841,0,52372.638558841,0,0.05,30
medfixbic,l3t,0,50628.3212158511,0,50628.3212158511,0,0.05,24
medfixbic,l3b,0,64877.9747709781,0,64877.9747709781,0,0.05,40
medfixbic,ld268,0.0646722539630484,39519.0513672896,2555.78612640411,34972.4375101636,2,0.05,18
medfixbic,ln268,0.201378372145267,14206.32286447,2860.84617261706,10747.4149202458,3,0.05,4
medfixbic,kern,0,44660.9289574464,0,44660.9289574464,0,0.05,22
medmix.linear,gs,0,2.38532701409076e-14,0,2.38532701409076e-14,0,0.05,0
medmix.linear,groot,0,575.273367581424,0,575.273367581424,0,0.05,0
medmix.linear,l3t,0,1.48556082942587e-14,0,1.48556082942587e-14,0,0.05,0
medmix.linear,l3b,0,567.863212923239,0,567.863212923239,0,0.05,0
medmix.linear,ld268,0,570.117033277655,0,570.117033277655,0,0.05,0
medmix.linear,ln268,0,935.643863589166,0,935.643863589166,0,0.05,0
medmix.linear,kern,0,3290.37617240772,0,3290.37617240772,0,0.05,0
medmix.shrink,gs,0,928.718627749319,0,928.718627749319,0,0.05,0
medmix.shrink,groot,0,1.7299260634686e-14,0,1.7299260634686e-14,0,0.05,0
medmix.shrink,l3t,0,292.319264245177,0,292.319264245177,0,0.05,0
medmix.shrink,l3b,0,213.594782501199,0,213.594782501199,0,0.05,0
medmix.shrink,ld268,0,568.033545622942,0,568.033545622942,0,0.05,0
medmix.shrink,ln268,0,670.490622511317,0,670.490622511317,0,0.05,0
medmix.shrink,kern,0,310.287200250382,0,310.287200250382,0,0.05,0
