method,tissue,pmed.pure,v.tot,v.med,v.dir,n.med,pval.cut,n.direct
medfix0.5,gs,0.339294900794274,2631.63439022227,892.900129357267,1262.57873238929,3,0.05,4
medfix0.5,groot,0.165735255278534,2585.23522943491,428.464620705453,2065.24149141503,2,0.05,6
medfix0.5,l3t,0.210262365999761,1624.04706366263,341.475978100669,1307.97321929826,2,0.05,4
medfix0.5,l3b,0.147014833930729,3088.92379659846,454.117618981599,2184.18171684758,3,0.05,11
medfix0.5,ld268,0.0552330065325261,2630.53493864396,145.29235345016,2313.32535349485,1,0.05,6
medfix0.5,ln268,0.25928429437677,813.502063030921,210.928308387019,541.290551257382,1,0.05,1
medfix0.5,kern,0.794281556576187,5955.29176055008,4730.17840943506,832.405658680832,2,0.05,2
medfixbic,gs,0.392294357309258,1980.38607954784,776.894284300422,908.855587803452,3,0.05,3
medfixbic,groot,0.0252348411767995,5240.95786903266,132.254739439337,5051.16485957194,1,0.05,14
medfixbic,l3t,0.372366287426091,2896.29094550822,1078.4811066847,1426.80395226056,4,0.05,4
medfixbic,l3b,0.167877845965527,1321.35520548128,221.826265651533,1073.68233949728,2,0.05,4
medfixbic,ld268,0.0165571598482426,6117.91944260154,101.295370149825,6010.56682459119,1,0.05,14
medfixbic,ln268,0,2243.08962835753,0,2243.08962835753,0,0.05,8
medfixbic,kern,0.500127434627419,7056.20140384034,3528.99990631706,2606.2096280897,2,0.05,6
medmix.linear,gs,0.943380648646484,451.852275124008,426.268692398877,31.3644983517306,2,0.05,0
medmix.linear,groot,0,297.7392048713,0,297.7392048713,0,0.05,0
medmix.linear,l3t,0,79.5404738176817,0,79.5404738176817,0,0.05,0
medmix.linear,l3b,0,912.223993295303,0,912.223993295303,0,0.05,0
medmix.linear,ld268,0,68.9355600562993,0,68.9355600562993,0,0.05,0
medmix.linear,ln268,0.700324693594241,159.451034435508,111.667496834332,62.6323324848191,1,0.05,0
medmix.linear,kern,0,118.591653836096,0,118.591653836096,0,0.05,0
medmix.shrink,gs,0.945232649850674,458.058705724537,432.972044199174,30.9450558821088,2,0.05,0
medmix.shrink,groot,0,1.3888012828458e-15,0,1.3888012828458e-15,0,0.05,0
medmix.shrink,l3t,0.234794817345481,1475.72795376342,346.493275355503,1300.85603185348,1,0.05,0
medmix.shrink,l3b,0,1076.02049329316,0,1076.02049329316,0,0.05,0
medmix.shrink,ld268,0,425.215789297339,0,425.215789297339,0,0.05,0
medmix.shrink,ln268,1.00000000075994,102.270097754188,102.270097831908,2.15827894268665e-15,1,0.05,0
medmix.shrink,kern,0,3.24558879722591e-15,0,3.24558879722591e-15,0,0.05,0
