method,tissue,pmed.pure,v.tot,v.med,v.dir,n.med,pval.cut,n.direct
medfix0.5,gs,0.28005292650163,3487.23995808218,976.611755674337,1715.60570454237,4,0.05,8
medfix0.5,groot,0.254376083660563,4724.29091260796,1201.7466204224,3370.77769769573,4,0.05,6
medfix0.5,l3t,0.166102260074625,3137.73875845066,521.185499302403,2267.8474276175,3,0.05,11
medfix0.5,l3b,0.325692303871791,4163.80211107238,1356.11830242139,2293.84960095298,4,0.05,4
medfix0.5,ld268,0,3229.97998995772,0,3229.97998995772,0,0.05,9
medfix0.5,ln268,0.206916423581104,2634.02284999863,545.022587752622,1922.45749862934,3,0.05,6
medfix0.5,kern,0.105399801303771,2530.8620435676,266.752356519281,1882.66645339077,1,0.05,2
medfixbic,gs,0.82994550704427,2429.11719306105,2016.03490046501,376.17403176973,6,0.05,1
medfixbic,groot,0.403160103067421,3177.3514456559,1280.98133631205,2009.42059470286,4,0.05,3
medfixbic,l3t,0.200944374710073,4805.60848047198,965.659991209866,3141.04000584942,4,0.05,7
medfixbic,l3b,0.165381157463201,1271.11843859327,210.219038647371,1139.15633835434,1,0.05,3
medfixbic,ld268,0.0307391398287861,4795.6937899364,147.415501984896,4741.08793612682,1,0.05,24
medfixbic,ln268,0.109025190115922,4782.09723606592,521.369060314914,3924.794525894,3,0.05,15
medfixbic,kern,0.0818153386476473,6434.2664984112,526.421692516724,5037.86781300553,3,0.05,19
medmix.linear,gs,0,2.00004436076806e-15,0,2.00004436076806e-15,0,0.05,0
medmix.linear,groot,0,164.711030242704,0,164.711030242704,0,0.05,0
medmix.linear,l3t,0,125.04097699159,0,125.04097699159,0,0.05,0
medmix.linear,l3b,0,3.86139039992449e-15,0,3.86139039992449e-15,0,0.05,0
medmix.linear,ld268,0,467.507594769185,0,467.507594769185,0,0.05,0
medmix.linear,ln268,0,88.10384766294,0,88.10384766294,0,0.05,0
medmix.linear,kern,0,78.608144587013,0,78.608144587013,0,0.05,0
medmix.shrink,gs,0,193.533189993274,0,193.533189993274,0,0.05,0
medmix.shrink,groot,0,977.014897267474,0,977.014897267474,0,0.05,0
medmix.shrink,l3t,0,54.4608336689231,0,54.4608336689231,0,0.05,0
medmix.shrink,l3b,0,640.72389543886,0,640.72389543886,0,0.05,0
medmix.shrink,ld268,0,10.2131603569738,0,10.2131603569738,0,0.05,0
medmix.shrink,ln268,0,424.143843805516,0,424.143843805516,0,0.05,0
medmix.shrink,kern,0,2.64395802793796e-15,0,2.64395802793796e-15,0,0.05,0
