method,tissue,pmed.pure,v.tot,v.med,v.dir,n.med,pval.cut,n.direct
medfix0.5,gs,0.182184682416232,1802.17686488461,328.329019786883,1179.1385824947,4,0.05,13
medfix0.5,groot,0.0397987520352001,2246.25260096897,89.3980502743873,2040.9896811255,3,0.05,24
medfix0.5,l3t,0.0175105149607854,1679.50374833512,29.4089755119172,1645.8739865257,1,0.05,23
medfix0.5,l3b,0.0307022495329096,1839.75602205971,56.4846484689504,1733.67199676248,1,0.05,17
medfix0.5,ld268,0.39507387982658,1031.75514102507,407.619506595797,471.152398810866,4,0.05,3
medfix0.5,ln268,0.121424669005526,1391.66695767944,168.982699702153,1252.97286053107,2,0.05,22
medfix0.5,kern,0,1506.7311628036,0,1506.7311628036,0,0.05,26
medfixbic,gs,0.409832135804632,1458.76175287779,597.847444812012,691.876048783952,6,0.05,6
medfixbic,groot,0,2681.288170935,0,2681.288170935,0,0.05,22
medfixbic,l3t,0.0151324969175051,1880.84551310256,28.4618889293276,1769.6368051469,1,0.05,21
medfixbic,l3b,0.0234259252892613,2307.88538792834,54.0643506737869,2173.41890612013,1,0.05,19
medfixbic,ld268,0.0970145924001961,1784.34043479607,173.107059984929,1326.1932117688,3,0.05,10
medfixbic,ln268,0.0995109760320582,674.433243783138,67.1135103573271,579.04869660825,1,0.05,7
medfixbic,kern,0,1711.46435915871,0,1711.46435915871,0,0.05,14
medmix.linear,gs,0.726234671979138,166.414712301615,120.856134000866,53.6784760109801,1,0.05,0
medmix.linear,groot,0,22.7678605927191,0,22.7678605927191,0,0.05,0
medmix.linear,l3t,0,85.7462824211149,0,85.7462824211149,0,0.05,0
medmix.linear,l3b,0.771619776582402,110.305086604468,85.1135862816423,36.7620500584149,1,0.05,0
medmix.linear,ld268,0,5.91760815532366e-16,0,5.91760815532366e-16,0,0.05,0
medmix.linear,ln268,0,6.38056301739986e-16,0,6.38056301739986e-16,0,0.05,0
medmix.linear,kern,0,7.39189068662574,0,7.39189068662574,0,0.05,0
medmix.shrink,gs,0.427488621223463,272.782493495324,116.611412038214,167.486133041323,1,0.05,0
medmix.shrink,groot,0,84.1763180898595,0,84.1763180898595,0,0.05,0
medmix.shrink,l3t,0,356.772512542312,0,356.772512542312,0,0.05,0
medmix.shrink,l3b,0.772099485125569,110.244203697753,85.1194929131137,36.7076922172654,1,0.05,0
medmix.shrink,ld268,0,62.6562067464605,0,62.6562067464605,0,0.05,0
medmix.shrink,ln268,0,156.016073752001,0,156.016073752001,0,0.05,0
medmix.shrink,kern,0,43.535977802543,0,43.535977802543,0,0.05,0
