method,tissue,pmed.pure,v.tot,v.med,v.dir,n.med,pval.cut,n.direct
medfix0.5,gs,0.151674981827235,153760.253628741,23321.5836748904,107400.545662592,5,0.05,11
medfix0.5,groot,0.142404477520997,113336.252292516,16139.5897919037,86941.3570595437,3,0.05,6
medfix0.5,l3t,0.102936929116223,103060.291770616,10608.7099486891,87440.2123856705,3,0.05,8
medfix0.5,l3b,0.0734408865356728,119183.853912559,8752.96789207643,96997.1630852702,2,0.05,8
medfix0.5,ld268,0.482890518956299,146305.344625713,70649.4637923908,76993.7605173587,1,0.05,10
medfix0.5,ln268,0.143652025262191,31764.3297893326,4563.01030533378,26537.4342082749,1,0.05,5
medfix0.5,kern,0.338776313476198,54667.6270705674,18520.0971654584,29121.8367353472,3,0.05,4
medfixbic,gs,0.222003544732914,118311.621856448,26265.5994352316,76842.9595063664,6,0.05,9
medfixbic,groot,0.0184299357235003,220228.855221911,4058.80364619987,209543.87748959,1,0.05,35
medfixbic,l3t,0.100433370146181,154930.710965366,15560.2134413956,123313.871619902,3,0.05,9
medfixbic,l3b,0,169763.333638674,0,169763.333638674,0,0.05,10
medfixbic,ld268,0.393162883141039,188191.440740785,73989.8894241129,117538.719285763,1,0.05,17
medfixbic,ln268,0.532483055821463,34610.6663499856,18429.5933820574,14788.1701774177,4,0.05,3
medfixbic,kern,0,202250.90934735,0,202250.90934735,0,0.05,14
medmix.linear,gs,0,1093.29704750198,0,1093.29704750198,0,0.05,0
medmix.linear,groot,0,14133.3511485867,0,14133.3511485867,0,0.05,0
medmix.linear,l3t,0,19792.3337787101,0,19792.3337787101,0,0.05,0
medmix.linear,l3b,0,2934.10656144685,0,2934.10656144685,0,0.05,0
medmix.linear,ld268,0,679.500369997294,0,679.500369997294,0,0.05,0
medmix.linear,ln268,0,21179.3560400472,0,21179.3560400472,0,0.05,0
medmix.linear,kern,0.274790351575196,17095.171159407,4697.58809313161,14489.0706402535,1,0.05,0
medmix.shrink,gs,0,1046.3871253332,0,1046.3871253332,0,0.05,0
medmix.shrink,groot,0,20596.8765232691,0,20596.8765232691,0,0.05,0
medmix.shrink,l3t,0,26600.6098730326,0,26600.6098730326,0,0.05,0
medmix.shrink,l3b,0,2915.83262684863,0,2915.83262684863,0,0.05,0
medmix.shrink,ld268,0,9.845583930189e-14,0,9.845583930189e-14,0,0.05,0
medmix.shrink,ln268,0,1029.88005880166,0,1029.88005880166,0,0.05,0
medmix.shrink,kern,0.26850936909589,20842.4623891293,5596.39642650994,17208.476934298,1,0.05,0
