method,tissue,pmed.pure,v.tot,v.med,v.dir,n.med,pval.cut,n.direct
medfix0.5,gs,0.065346038691568,43.0973999976643,2.81624436775335,34.0875496780772,2,0.05,14
medfix0.5,groot,0,42.3720047274145,0,42.3720047274145,0,0.05,14
medfix0.5,l3t,0.118742597265997,48.0695032556483,5.70789766586199,37.5508132814594,4,0.05,14
medfix0.5,l3b,0.0463657395102942,27.3923941853343,1.27006861336051,23.2544718718961,1,0.05,7
medfix0.5,ld268,0.325973540726778,25.7780252867771,8.40295417567513,11.4056555612233,7,0.05,15
medfix0.5,ln268,0,44.8056445459715,0,44.8056445459715,0,0.05,18
medfix0.5,kern,0.101609901027594,31.1506639461544,3.16521588051259,25.2270407687747,2,0.05,18
medfixbic,gs,0.0461248162797096,50.6307601453532,2.33533450980646,41.3470121914644,2,0.05,18
medfixbic,groot,0.104486896752796,24.9023148441831,2.60196560002978,18.8512358275405,3,0.05,8
medfixbic,l3t,0.0607102963248551,63.3402051344981,3.84540262299249,52.8214880152751,3,0.05,19
medfixbic,l3b,0,37.8338734272761,0,37.8338734272761,0,0.05,11
medfixbic,ld268,0.572003801589357,27.4918757693049,15.7254574528647,6.58596198266859,9,0.05,7
medfixbic,ln268,0,68.036977387776,0,68.036977387776,0,0.05,20
medfixbic,kern,0.0682368903090337,11.0355837059796,0.753033914841086,9.77295083865383,1,0.05,5
medmix.linear,gs,0,2.38276890455265,0,2.38276890455265,0,0.05,0
medmix.linear,groot,0.76702162654781,2.12906410295188,1.63303821127071,0.375924843972938,1,0.05,0
medmix.linear,l3t,0.465455724266252,2.93285746792787,1.36511529690405,1.40264895453899,1,0.05,0
medmix.linear,l3b,0,0.281898609025188,0,0.281898609025188,0,0.05,0
medmix.linear,ld268,0,2.56691142982388,0,2.56691142982388,0,0.05,0
medmix.linear,ln268,0.646673477311369,7.13555372318208,4.61437333871224,2.43483096416296,2,0.05,0
medmix.linear,kern,0,0.00458185278811724,0,0.00458185278811724,0,0.05,0
medmix.shrink,gs,0,2.37704841822956,0,2.37704841822956,0,0.05,0
medmix.shrink,groot,0.264780747614601,9.28493130662593,2.45847105291863,6.1260739813232,2,0.05,0
medmix.shrink,l3t,0.62470132280954,2.08000882243505,1.29938426283069,0.682478260136555,1,0.05,0
medmix.shrink,l3b,0.999999999912015,1.10018035923145,1.10018035913465,1.19227807971805e-17,1,0.05,0
medmix.shrink,ld268,0,0.21241695817124,0,0.21241695817124,0,0.05,0
medmix.shrink,ln268,1.00000000067963,0.331588866210672,0.331588866436029,2.54891770715143e-17,1,0.05,0
medmix.shrink,kern,0.766904465829742,0.231693288830197,0.177686617906658,0.0532145386238612,1,0.05,0
