method,tissue,pmed.pure,v.tot,v.med,v.dir,n.med,pval.cut,n.direct
medfix0.5,gs,0.0957250945331027,16554.3011409611,1584.66204164795,11043.8085579491,3,0.05,8
medfix0.5,groot,0,9999.94896962048,0,9999.94896962048,0,0.05,5
medfix0.5,l3t,0.0440975746942424,10512.550540985,463.577982708084,9146.16039370538,1,0.05,7
medfix0.5,l3b,0.105119143764482,17247.2272734937,1813.01376330108,12865.7793701287,3,0.05,9
medfix0.5,ld268,0.0658255193986137,4553.07067607176,299.708242111021,3956.45806053157,1,0.05,9
medfix0.5,ln268,0.316332053772017,9986.9331988587,3159.18708967891,3673.82496844671,4,0.05,3
medfix0.5,kern,0.0689772342220748,8687.54572589746,599.242876350214,7141.47551178614,1,0.05,9
medfixbic,gs,0.0225540956182767,18845.7139759205,425.048035007606,16265.3146075115,1,0.05,13
medfixbic,groot,0,18217.6418382864,0,18217.6418382864,0,0.05,16
medfixbic,l3t,0.0474609629878114,13442.0619173991,637.973203141548,11508.411591089,1,0.05,11
medfixbic,l3b,0.0721425125671163,17316.4656276373,1249.25333915986,13902.5067331443,2,0.05,10
medfixbic,ld268,0.173270085006737,2056.98928793231,356.41470877798,1479.64005267288,1,0.05,3
medfixbic,ln268,0.190894873558908,17716.9798359789,3382.08062563491,8561.20113078705,6,0.05,9
medfixbic,kern,0.0506290951011516,15113.5657767981,765.18615903102,12856.1113666955,1,0.05,13
medmix.linear,gs,0,274.718380842284,0,274.718380842284,0,0.05,0
medmix.linear,groot,0,263.209927745948,0,263.209927745948,0,0.05,0
medmix.linear,l3t,0,402.397145812486,0,402.397145812486,0,0.05,0
medmix.linear,l3b,0.803274660507421,845.701378519116,679.330487720601,187.389392704579,1,0.05,0
medmix.linear,ld268,0,821.788721167392,0,821.788721167392,0,0.05,0
medmix.linear,ln268,1.00000000026856,534.968708772167,534.968708915841,3.1414739208126e-15,1,0.05,0
medmix.linear,kern,0.808451979400028,1100.45255897762,889.663049541281,219.813662171822,1,0.05,0
medmix.shrink,gs,0,295.055556816083,0,295.055556816083,0,0.05,0
medmix.shrink,groot,0,66.4690298011142,0,66.4690298011142,0,0.05,0
medmix.shrink,l3t,0,2.15850123082552e-15,0,2.15850123082552e-15,0,0.05,0
medmix.shrink,l3b,0,721.084485114241,0,721.084485114241,0,0.05,0
medmix.shrink,ld268,0,1120.32313462213,0,1120.32313462213,0,0.05,0
medmix.shrink,ln268,1.00000000032301,601.395318505513,601.39531869977,3.48151751654579e-15,1,0.05,0
medmix.shrink,kern,1.00000000029526,595.109472640456,595.109472816166,7.02961105554735e-15,1,0.05,0
