id,category,trait,tissue,padj
AC148152.3_FG001,Female Inflorescence,EarLength,GRoot,0.858309486763779
AC148152.3_FG001,Female Inflorescence,EarRankNumber,GRoot,0.504021367793407
AC148152.3_FG001,Flowering Time,AnthesistoSilkInterval,GRoot,0.00967749225074455
AC148152.3_FG001,Flowering Time,DaystoSilk,GRoot,1
AC148152.3_FG001,Flowering Time,GDDAnthesis.SilkingInterval,GRoot,0.000247937500074791
AC148152.3_FG001,Flowering Time,GDDDaystoSilk,GRoot,0.803474931867054
AC148152.3_FG001,Leaf Morphology,LeafWidth,GRoot,0.000166962405816262
AC148152.3_FG001,Metabolite,X.1001..phenethylamine..13.742,GRoot,1
AC148152.3_FG001,Metabolite,X.119..gamma.aminobutyric.acid..GABA...13.326,GRoot,0.441998694450683
AC148152.3_FG001,Metabolite,X.12647..L.homoserine.2..12.359,GRoot,1
AC148152.3_FG001,Metabolite,X.204..allantoin.1..17.293,GRoot,1
AC148152.3_FG001,Metabolite,X.2116..alpha.tocophereol..27.379,GRoot,1
AC148152.3_FG001,Metabolite,X.236..L.asparagine.2..14.984,GRoot,0.163459484138115
AC148152.3_FG001,Metabolite,X.239..Beta..alanine..1..12.044,GRoot,0.653837936552459
AC148152.3_FG001,Metabolite,X.2724705..1.6.anhydro.glucose..15.326,GRoot,1
AC148152.3_FG001,Metabolite,X.3037582..mucic.acid..18.907,GRoot,1
AC148152.3_FG001,Metabolite,X.311..citric.acid..16.615..s100,GRoot,0.120379588682577
AC148152.3_FG001,Metabolite,X.439183..3.phosphoglyceric.acid..16.504,GRoot,0.32691896827623
AC148152.3_FG001,Metabolite,X.439194..glyceric.acid..10.735,GRoot,1
AC148152.3_FG001,Metabolite,X.439451..galactinol.2..26.479,GRoot,0.163459484138115
AC148152.3_FG001,Metabolite,X.439742..beta.cyano.L.alanine..11.288,GRoot,1
AC148152.3_FG001,Metabolite,X.439958..D.glucose.6.phosphate.1..21.394,GRoot,0.0817297420690574
AC148152.3_FG001,Metabolite,X.444212..trans.aconitic.acid..15.842..s100,GRoot,0.303934159500297
AC148152.3_FG001,Metabolite,X.444266..maleic.acid..10.323,GRoot,1
AC148152.3_FG001,Metabolite,X.444972..fumaric.acid..10.94,GRoot,0.163459484138115
AC148152.3_FG001,Metabolite,X.5321342..beta.sitosterol..28.848,GRoot,0.00112789402334538
AC148152.3_FG001,Metabolite,X.5321515..stigmasterol..28.442,GRoot,1
AC148152.3_FG001,Metabolite,X.5460673..D.saccharic.acid..18.614,GRoot,1
AC148152.3_FG001,Metabolite,X.5951..L.serine.2..11.174..s100,GRoot,0.236393235166897
AC148152.3_FG001,Metabolite,X.5962..L.lysine.2..17.643,GRoot,1
AC148152.3_FG001,Metabolite,X.5984..fructose.1..17.18..s100,GRoot,0.101311386500099
AC148152.3_FG001,Metabolite,X.5988..Sucrose..23.988..s100,GRoot,0.220999347225342
AC148152.3_FG001,Metabolite,X.60961..adenosine..23.825,GRoot,0.0876810653192511
AC148152.3_FG001,Metabolite,X.6106..L.leucine.2..9.945,GRoot,0.394109267147201
AC148152.3_FG001,Metabolite,X.6255..maltose..2..24.915,GRoot,1
AC148152.3_FG001,Metabolite,X.6262..L.ornithine.2..16.632,GRoot,1
AC148152.3_FG001,Metabolite,X.6288..L.threonine.2..11.464,GRoot,0.735567678621517
AC148152.3_FG001,Metabolite,X.637775..3.5.dimethoxy.4.hydroxycinnamic.acid.2..20.65,GRoot,1
AC148152.3_FG001,Metabolite,X.6537496..chlorogenic.acid.1..26.37,GRoot,1
AC148152.3_FG001,Metabolite,X.6537496..chlorogenic.acid.2..27.18..s100,GRoot,1.2614354005791e-12
AC148152.3_FG001,Metabolite,X.750..glycine..10.456..s100,GRoot,0.692963936831715
AC148152.3_FG001,Metabolite,X.754..glycerol.1.phosphate..16.056,GRoot,0.653837936552459
AC148152.3_FG001,Metabolite,X.791..DL.isoleucine.2..10.225,GRoot,0.255512163029365
AC148152.3_FG001,Metabolite,X.827..ribitol..15.66,GRoot,0.916957033727593
AC148152.3_FG001,Metabolite,X.8742..shikimic.acid..16.433..s100,GRoot,0.0337704621666996
AC148152.3_FG001,Metabolite,X.892..myo.inositol..19.354..s100,GRoot,0.472427733189132
AC148152.3_FG001,Metabolite,X.92824..D.malic.acid..12.794..s100,GRoot,0.904397439883633
AC148152.3_FG001,Metabolite,X.971..oxalic.acid..7.883,GRoot,0.193805548787228
AC148152.3_FG001,Metabolite,X.9750..citrulline.2..16.691,GRoot,1
AC148152.3_FG001,other,EarDiameter,GRoot,1
AC148152.3_FG001,other,GerminationCount,GRoot,0.122429539076482
AC148152.3_FG001,other,NIROil,GRoot,0.0954617500593489
AC148152.3_FG001,other,NIRProtein,GRoot,0.000371389497257013
AC148152.3_FG001,other,NIRStarch,GRoot,1
AC148152.3_FG001,other,SeedSetLength,GRoot,0.715672762454746
AC148152.3_FG001,other,SouthernLeafBlight,GRoot,0.0789917573321475
AC148152.3_FG001,other,Spikelets.MainSpike,GRoot,0.0012441155016798
AC148152.3_FG001,other,Spikelets.PrimaryBranch,GRoot,1
AC148152.3_FG001,other,StandCount,GRoot,1
AC148152.3_FG001,other,TasselBranchLength,GRoot,1
AC148152.3_FG001,Seed Traits,CobWeight,GRoot,1
AC148152.3_FG001,Seed Traits,TotalKernelNum,GRoot,0.83738320814913
AC148152.3_FG001,Seed Traits,X20KernelWeight,GRoot,0.868412866098367
AC148152.3_FG005,Development,EarHeight,GShoot,0.372523890844335
AC148152.3_FG005,Development,EarHeight,L3Tip,0.0115106912237495
AC148152.3_FG005,Development,PlantHeight,GShoot,0.372523890844335
AC148152.3_FG005,Development,PlantHeight,L3Tip,0.469542707150837
AC148152.3_FG005,Female Inflorescence,CobDiameter,GShoot,0.703616046393683
AC148152.3_FG005,Female Inflorescence,EarLength,L3Base,0.000408409420661782
AC148152.3_FG005,Female Inflorescence,EarRankNumber,L3Base,0.000363918509315386
AC148152.3_FG005,Female Inflorescence,EarRankNumber,L3Tip,0.367656111260319
AC148152.3_FG005,Female Inflorescence,EarRowNumber,GShoot,1
AC148152.3_FG005,Female Inflorescence,EarRowNumber,L3Base,0.595366539058596
AC148152.3_FG005,Flowering Time,AnthesistoSilkInterval,L3Base,0.0180537790418713
AC148152.3_FG005,Flowering Time,DaystoSilk,L3Tip,1
AC148152.3_FG005,Flowering Time,DaysToTassel,GRoot,0.764580111438415
AC148152.3_FG005,Flowering Time,DaysToTassel,L3Tip,1
AC148152.3_FG005,Flowering Time,GDDAnthesis.SilkingInterval,GShoot,0.486674347534796
AC148152.3_FG005,Flowering Time,GDDAnthesis.SilkingInterval,L3Base,0.0062285886099791
AC148152.3_FG005,Flowering Time,GDDDaystoSilk,L3Tip,0.00283357720448896
AC148152.3_FG005,Flowering Time,GDDDaystoTassel,GRoot,0.61009690309798
AC148152.3_FG005,Flowering Time,GDDDaystoTassel,L3Tip,0.179169196083183
AC148152.3_FG005,Leaf Morphology,LeafLength,GRoot,0.542580409344203
AC148152.3_FG005,Leaf Morphology,LeafLength,GShoot,0.930377634622531
AC148152.3_FG005,Leaf Morphology,LeafLength,L3Tip,1
AC148152.3_FG005,Leaf Morphology,LeafWidth,L3Base,0.872855480560558
AC148152.3_FG005,Leaf Morphology,LeafWidth,L3Tip,4.59632332194815e-14
AC148152.3_FG005,Leaf Morphology,UpperLeafAngle,GRoot,0.314198909748871
AC148152.3_FG005,Male Inflorescence,TasselLength,GShoot,1
AC148152.3_FG005,Male Inflorescence,TasselLength,L3Tip,0.314187729270285
AC148152.3_FG005,Male Inflorescence,TasselPrimaryBranches,GRoot,0.758816304495325
AC148152.3_FG005,Male Inflorescence,TasselPrimaryBranches,L3Base,0.000604234209283794
AC148152.3_FG005,Male Inflorescence,TasselPrimaryBranches,L3Tip,0.0663948403480199
AC148152.3_FG005,Metabolite,X.1001..phenethylamine..13.742,GShoot,1
AC148152.3_FG005,Metabolite,X.1001..phenethylamine..13.742,L3Base,0.529180206831593
AC148152.3_FG005,Metabolite,X.1001..phenethylamine..13.742,L3Tip,1
AC148152.3_FG005,Metabolite,X.1060..pyruvic.acid..6.714,GShoot,0.428378279858141
AC148152.3_FG005,Metabolite,X.12647..L.homoserine.2..12.359,GShoot,1
AC148152.3_FG005,Metabolite,X.128869..galactonic.acid.2..18.504,GRoot,0.333132489915307
AC148152.3_FG005,Metabolite,X.128869..galactonic.acid.2..18.504,GShoot,0.539485221017293
AC148152.3_FG005,Metabolite,X.128869..galactonic.acid.2..18.504,L3Base,1
AC148152.3_FG005,Metabolite,X.1549111..caffeic.acid..19.755,L3Base,0.620797678851239
AC148152.3_FG005,Metabolite,X.1549111..caffeic.acid..19.755,L3Tip,0.0105933934782476
