Metabolite name,Retention Time (min),Retention index,Quantitation ion m/z,Split Mode
X.1060..pyruvic.acid..6.714.,4.949,726,174.0908,splitless
X.971..oxalic.acid..7.883.,5.738,809,175.0932,splitless
X.6287..L.valine.2..9.151.,6.601,898,144.1494,splitless
X.700..ethanolamine..9.879.,7.089,950,174.1457,splitless
X.6106..L.leucine.2..9.945.,7.128,954,158.1669,splitless
X.938..nicotinic.acid..10.27.,7.311,974,180.0807,splitless
X.791..DL.isoleucine.2..10.225.,7.341,977,158.1669,splitless
X.444266..maleic.acid..10.323.,7.414,985,245.1055,splitless
X.439194..glyceric.acid..10.735.,7.689,1015,292.1777,splitless
X.444972..fumaric.acid..10.94.,7.765,1024,245.1057,splitless
X.439742..beta.cyano.L.alanine..11.288.,8.057,1058,141.113,splitless
X.6288..L.threonine.2..11.464.,8.21,1076,218.1755,splitless
X.239..Beta..alanine..1..12.044.,8.538,1114,248.1713,splitless
X.12647..L.homoserine.2..12.359.,8.741,1137,218.1757,splitless
X.5960..aspartic.acid.2..13.207.,9.335,1206,232.1607,splitless
X.5810..trans.4.hydroxy.L.proline.2..13.267.,9.398,1214,230.1773,splitless
X.119..gamma.aminobutyric.acid..GABA...13.326.,9.414,1217,174.1458,splitless
X.5460407..threonic.acid..13.652.,9.706,1254,292.1772,splitless
X.1001..phenethylamine..13.742.,9.726,1257,174.1453,splitless
X.51..alpha.ketoglutaric.acid..13.859.,9.766,1262,198.0932,splitless
X.738..L.glutamine.2..14.083.,9.962,1287,344.2236,splitless
X.236..L.asparagine.2..14.984.,10.25,1324,188.1263,splitless
X.2724705..1.6.anhydro.glucose..15.326.,10.838,1400,272.1918,splitless
X.6912..xylitol..15.376.,10.987,1421,217.1442,splitless
X.827..ribitol..15.66.,11.027,1426,307.2023,splitless
X.754..glycerol.1.phosphate..16.056.,11.249,1458,357.1625,splitless
X.439183..3.phosphoglyceric.acid..16.504.,11.581,1505,357.1624,splitless
X.6262..L.ornithine.2..16.632.,11.624,1511,142.134,splitless
X.9750..citrulline.2..16.691.,11.64,1514,157.1462,splitless
X.835..dehydroascorbic.acid..1..16.863.,11.893,1549,316.1487,splitless
X.204..allantoin.1..17.293.,12.151,1586,331.202,splitless
X.448388..D.allose.1..17.278.,12.198,1593,319.203,splitless
X.5962..L.lysine.2..17.643.,12.324,1612,317.2713,splitless
X.637542..4.hydroxycinnamic.acid..17.854.,12.404,1624,293.1477,splitless
X.6057..tyrosine.2..17.871.,12.447,1631,218.14,splitless
X.128869..galactonic.acid.2..18.504.,12.921,1705,333.1836,splitless
X.5460673..D.saccharic.acid..18.614.,13.077,1730,333.1839,splitless
X.3037582..mucic.acid..18.907.,13.263,1759,333.1837,splitless
X.1549111..caffeic.acid..19.755.,13.654,1822,396.212,splitless
X.5280450..linoleic.acid..20.399.,14.046,1889,337.3035,splitless
X.637775..3.5.dimethoxy.4.hydroxycinnamic.acid.2..20.65.,14.271,1928,338.1478,splitless
X.439958..D.glucose.6.phosphate.1..21.394.,14.922,2042,387.1934,splitless
X.60961..adenosine..23.825.,16.461,2337,236.1349,splitless
X.5460935..turanose.1..24.81.,16.592,2363,361.2178,splitless
X.6255..maltose.1..24.702.,16.962,2440,361.2175,splitless
X.6255..maltose..2..24.915.,17.065,2462,204.1355,splitless
X.642609..trans.caftaric.acid.2..25.529.,17.407,2536,307.1633,splitless
X.6537496..chlorogenic.acid.1..26.37.,18.093,2689,345.2201,splitless
X.439451..galactinol.2..26.479.,18.309,2738,204.1358,splitless
X.2116..alpha.tocophereol..27.379.,18.74,2837,502.4797,splitless
X.6537496..chlorogenic.acid.2..27.18._alt,19.032,2902,307.1628,splitless
X.5321515..stigmasterol..28.442.,19.517,3011,484.4677,splitless
X.5321342..beta.sitosterol..28.848.,19.812,3078,396.4266,splitless
X.439242..Raffinose..29.282.,20.3,3187,361.2175,splitless
X.750..glycine..10.456..s100,7.428,986,174.1457,split100
X.5951..L.serine.2..11.174..s100,7.932,1043,204.159,split100
X.92824..D.malic.acid..12.794..s100,9.054,1173,307.1684,split100
X.33032..L.glutamic.acid.3..dehydrated...13.232..s100,9.352,1209,258.1388,split100
X.444212..trans.aconitic.acid..15.842..s100,11.058,1431,376.1636,split100
X.8742..shikimic.acid..16.433..s100,11.532,1498,204.1352,split100
X.311..citric.acid..16.615..s100,11.655,1516,273.1397,split100
X.6508..quinic.acid..17.076..s100,12.006,1566,255.1641,split100
X.5984..fructose.1..17.18..s100,12.083,1577,307.2026,split100
X.892..myo.inositol..19.354..s100,13.526,1800,305.1865,split100
X.5988..Sucrose..23.988..s100,16.628,2370,437.2573,split100
X.6537496..chlorogenic.acid.2..27.18..s100,19.033,2902,307.1478,split100
