v4_id,v3_id,category,trait,tissue,p_adjusted,coef,num_of_times_identified
Zm00001d007718,AC148152.3_FG005,Flowering Time,GDDDaystoSilk,L3Tip,0.002833577,8.312824836,40
Zm00001d007718,AC148152.3_FG005,other,TasselBranchLength,L3Base,0.022843075,-3.088158331,40
Zm00001d007718,AC148152.3_FG005,Leaf Morphology,LeafWidth,L3Tip,4.60E-14,1.904702314,40
Zm00001d007718,AC148152.3_FG005,Female Inflorescence,EarLength,L3Base,0.000408409,-1.89679969,40
Zm00001d007718,AC148152.3_FG005,Flowering Time,GDDAnthesis.SilkingInterval,L3Base,0.006228589,1.586255159,40
Zm00001d007718,AC148152.3_FG005,Development,EarHeight,L3Tip,0.011510691,1.532755877,40
Zm00001d007718,AC148152.3_FG005,Seed Traits,TotalSeedWeight,L3Tip,0.002766368,1.386354851,40
Zm00001d007718,AC148152.3_FG005,Metabolite,X.6255..maltose..2..24.915,L3Tip,1.43E-13,0.000447407,40
Zm00001d007718,AC148152.3_FG005,Seed Traits,TotalKernelVolume,L3Base,0.00549534,-1.020320829,40
Zm00001d007718,AC148152.3_FG005,Male Inflorescence,TasselPrimaryBranches,L3Base,0.000604234,0.666997764,40
Zm00001d007718,AC148152.3_FG005,Metabolite,X.444266..maleic.acid..10.323,L3Base,8.32E-10,6.92E-06,40
Zm00001d007718,AC148152.3_FG005,other,MiddleLeafAngle,L3Base,0.016374705,-0.696452401,40
Zm00001d007718,AC148152.3_FG005,Metabolite,X.738..L.glutamine.2..14.083,L3Base,9.91E-08,-8.69E-05,40
Zm00001d007718,AC148152.3_FG005,other,Spikelets.MainSpike,L3Base,0.001657133,0.403347315,40
Zm00001d007718,AC148152.3_FG005,Metabolite,X.6508..quinic.acid..17.076..s100,L3Tip,3.31E-07,0.007208016,40
Zm00001d007718,AC148152.3_FG005,Female Inflorescence,EarRankNumber,L3Base,0.000363919,-0.278845089,40
Zm00001d007718,AC148152.3_FG005,Metabolite,X.5321515..stigmasterol..28.442,L3Tip,2.02E-06,9.01E-05,40
Zm00001d007718,AC148152.3_FG005,Metabolite,X.6912..xylitol..15.376,L3Tip,3.62E-06,0.00028675,40
Zm00001d007718,AC148152.3_FG005,Metabolite,X.3037582..mucic.acid..18.907,L3Base,4.61E-06,-0.000567742,40
Zm00001d007718,AC148152.3_FG005,Metabolite,X.637542..4.hydroxycinnamic.acid..17.854,L3Tip,1.21E-05,0.000329895,40
Zm00001d007718,AC148152.3_FG005,other,StandCount,L3Base,0.000309522,-0.082537457,40
Zm00001d007718,AC148152.3_FG005,Metabolite,X.92824..D.malic.acid..12.794..s100,L3Base,7.15E-05,0.002164809,40
Zm00001d007718,AC148152.3_FG005,Metabolite,X.92824..D.malic.acid..12.794..s100,L3Tip,0.000233285,0.002265558,40
Zm00001d007718,AC148152.3_FG005,Metabolite,X.6287..L.valine.2..9.151,L3Base,0.000503154,-0.001160988,40
Zm00001d007718,AC148152.3_FG005,Metabolite,X.637775..3.5.dimethoxy.4.hydroxycinnamic.acid.2..20.65,GShoot,0.000532788,-3.83E-05,40
Zm00001d007718,AC148152.3_FG005,Metabolite,X.60961..adenosine..23.825,L3Base,0.000700648,-5.49E-05,40
Zm00001d007718,AC148152.3_FG005,Metabolite,X.444212..trans.aconitic.acid..15.842..s100,L3Base,0.000939374,0.002053122,40
Zm00001d007718,AC148152.3_FG005,other,GerminationCount,L3Base,0.0246048,-0.143265867,40
Zm00001d007718,AC148152.3_FG005,Flowering Time,AnthesistoSilkInterval,L3Base,0.018053779,0.114590987,40
Zm00001d007718,AC148152.3_FG005,Metabolite,X.444266..maleic.acid..10.323,L3Tip,0.002017723,3.02E-06,40
Zm00001d007718,AC148152.3_FG005,Metabolite,X.892..myo.inositol..19.354..s100,L3Tip,0.002239524,0.002948321,40
Zm00001d007718,AC148152.3_FG005,Metabolite,X.791..DL.isoleucine.2..10.225,GShoot,0.003906735,-0.000563735,40
Zm00001d007718,AC148152.3_FG005,Metabolite,X.311..citric.acid..16.615..s100,L3Tip,0.003992097,0.00127261,40
Zm00001d007718,AC148152.3_FG005,Metabolite,X.444212..trans.aconitic.acid..15.842..s100,L3Tip,0.004076973,0.001499152,40
Zm00001d007718,AC148152.3_FG005,Metabolite,X.6057..tyrosine.2..17.871,L3Base,0.005829859,0.001342658,40
Zm00001d007718,AC148152.3_FG005,Metabolite,X.1549111..caffeic.acid..19.755,L3Tip,0.010593393,-0.000483911,40
Zm00001d007718,AC148152.3_FG005,Metabolite,X.5460407..threonic.acid..13.652,L3Tip,0.014361734,0.000367803,40
Zm00001d007718,AC148152.3_FG005,Metabolite,X.5280450..linoleic.acid..20.399,L3Base,0.016149973,5.36E-05,40
Zm00001d007718,AC148152.3_FG005,Metabolite,X.439183..3.phosphoglyceric.acid..16.504,L3Base,0.021319396,0.000356718,40
Zm00001d007718,AC148152.3_FG005,Metabolite,X.439958..D.glucose.6.phosphate.1..21.394,L3Tip,0.036458955,-0.000602982,40
Zm00001d007716,AC148152.3_FG008,Metabolite,X.738..L.glutamine.2..14.083,L3Tip,5.06E-13,-0.000120121,7
Zm00001d007716,AC148152.3_FG008,Metabolite,X.439194..glyceric.acid..10.735,L3Tip,1.55E-06,0.001257806,7
Zm00001d007716,AC148152.3_FG008,Metabolite,X.311..citric.acid..16.615..s100,LMAD,1.82E-06,-0.002058277,7
Zm00001d007716,AC148152.3_FG008,Metabolite,X.439742..beta.cyano.L.alanine..11.288,L3Tip,8.14E-06,0.001022111,7
Zm00001d007716,AC148152.3_FG008,other,Spikelets.PrimaryBranch,GShoot,0.03975114,-0.355052991,7
Zm00001d007716,AC148152.3_FG008,Metabolite,X.6508..quinic.acid..17.076..s100,LMAD,0.000784119,-0.00336899,7
Zm00001d007716,AC148152.3_FG008,Metabolite,X.60961..adenosine..23.825,L3Tip,0.012005134,3.06E-05,7
Zm00001d010661,GRMZM2G036980,Metabolite,X.5951..L.serine.2..11.174..s100,L3Base,9.91E-13,0.010910957,8
Zm00001d010661,GRMZM2G036980,Metabolite,X.6288..L.threonine.2..11.464,L3Base,5.36E-12,0.003367558,8
Zm00001d010661,GRMZM2G036980,Metabolite,X.239..Beta..alanine..1..12.044,L3Base,9.14E-12,0.001985348,8
Zm00001d010661,GRMZM2G036980,Metabolite,X.12647..L.homoserine.2..12.359,L3Base,6.27E-09,0.000406564,8
Zm00001d010661,GRMZM2G036980,Metabolite,X.119..gamma.aminobutyric.acid..GABA...13.326,L3Base,2.37E-07,0.00313766,8
Zm00001d010661,GRMZM2G036980,Metabolite,X.754..glycerol.1.phosphate..16.056,L3Base,2.21E-05,0.001656029,8
Zm00001d010661,GRMZM2G036980,Metabolite,X.5321342..beta.sitosterol..28.848,L3Tip,0.000818797,0.00020127,8
Zm00001d010661,GRMZM2G036980,Metabolite,X.6288..L.threonine.2..11.464,L3Tip,0.007127275,0.001500746,8
Zm00001d018573,GRMZM2G375002,Metabolite,X.204..allantoin.1..17.293,L3Tip,5.32E-17,0.003484488,8
Zm00001d018573,GRMZM2G375002,Metabolite,X.448388..D.allose.1..17.278,L3Tip,1.15E-09,0.00011425,8
Zm00001d018573,GRMZM2G375002,Metabolite,X.6262..L.ornithine.2..16.632,L3Tip,1.48E-06,0.001385864,8
Zm00001d018573,GRMZM2G375002,Metabolite,X.439742..beta.cyano.L.alanine..11.288,L3Tip,5.25E-06,0.001017615,8
Zm00001d018573,GRMZM2G375002,Metabolite,X.236..L.asparagine.2..14.984,L3Tip,7.57E-05,0.005658956,8
Zm00001d018573,GRMZM2G375002,Metabolite,X.12647..L.homoserine.2..12.359,L3Tip,0.000577277,0.000246216,8
Zm00001d018573,GRMZM2G375002,other,SouthernLeafBlight,L3Tip,0.045017259,-0.1099612,8
Zm00001d018573,GRMZM2G375002,Metabolite,X.938..nicotinic.acid..10.27,L3Tip,0.022771943,8.73E-05,8
