id,category,trait,tissue,padj
AC148152.3_FG001,Female Inflorescence,EarLength,GRoot,0.81570565216345
AC148152.3_FG001,Female Inflorescence,EarRankNumber,GRoot,1
AC148152.3_FG001,Flowering Time,AnthesistoSilkInterval,GRoot,1
AC148152.3_FG001,Flowering Time,DaystoSilk,GRoot,0.306225735678413
AC148152.3_FG001,Flowering Time,GDDAnthesis.SilkingInterval,GRoot,0.918677207035238
AC148152.3_FG001,Flowering Time,GDDDaystoSilk,GRoot,0.306225735678413
AC148152.3_FG001,Leaf Morphology,LeafWidth,GRoot,0.339505535026886
AC148152.3_FG001,Leaf Morphology,UpperLeafAngle,GRoot,0.306225735678413
AC148152.3_FG001,Metabolite,X.1001..phenethylamine..13.742,GRoot,1
AC148152.3_FG001,Metabolite,X.119..gamma.aminobutyric.acid..GABA...13.326,GRoot,1
AC148152.3_FG001,Metabolite,X.12647..L.homoserine.2..12.359,GRoot,1
AC148152.3_FG001,Metabolite,X.204..allantoin.1..17.293,GRoot,1
AC148152.3_FG001,Metabolite,X.2116..alpha.tocophereol..27.379,GRoot,1
AC148152.3_FG001,Metabolite,X.236..L.asparagine.2..14.984,GRoot,0.84949038435887
AC148152.3_FG001,Metabolite,X.239..Beta..alanine..1..12.044,GRoot,1
AC148152.3_FG001,Metabolite,X.2724705..1.6.anhydro.glucose..15.326,GRoot,1
AC148152.3_FG001,Metabolite,X.3037582..mucic.acid..18.907,GRoot,0.701976957769769
AC148152.3_FG001,Metabolite,X.311..citric.acid..16.615..s100,GRoot,0.521786857769745
AC148152.3_FG001,Metabolite,X.439183..3.phosphoglyceric.acid..16.504,GRoot,1
AC148152.3_FG001,Metabolite,X.439194..glyceric.acid..10.735,GRoot,0.39530237889015
AC148152.3_FG001,Metabolite,X.439451..galactinol.2..26.479,GRoot,0.283163461452957
AC148152.3_FG001,Metabolite,X.439742..beta.cyano.L.alanine..11.288,GRoot,1
AC148152.3_FG001,Metabolite,X.439958..D.glucose.6.phosphate.1..21.394,GRoot,0.51668110230204
AC148152.3_FG001,Metabolite,X.444212..trans.aconitic.acid..15.842..s100,GRoot,0.284203101170646
AC148152.3_FG001,Metabolite,X.444266..maleic.acid..10.323,GRoot,1
AC148152.3_FG001,Metabolite,X.444972..fumaric.acid..10.94,GRoot,1
AC148152.3_FG001,Metabolite,X.5321342..beta.sitosterol..28.848,GRoot,0.631224568648039
AC148152.3_FG001,Metabolite,X.5321515..stigmasterol..28.442,GRoot,1
AC148152.3_FG001,Metabolite,X.5460673..D.saccharic.acid..18.614,GRoot,1
AC148152.3_FG001,Metabolite,X.5951..L.serine.2..11.174..s100,GRoot,0.652208059720838
AC148152.3_FG001,Metabolite,X.5962..L.lysine.2..17.643,GRoot,1
AC148152.3_FG001,Metabolite,X.5984..fructose.1..17.18..s100,GRoot,1
AC148152.3_FG001,Metabolite,X.5988..Sucrose..23.988..s100,GRoot,1
AC148152.3_FG001,Metabolite,X.60961..adenosine..23.825,GRoot,1
AC148152.3_FG001,Metabolite,X.6106..L.leucine.2..9.945,GRoot,0.275718501921455
AC148152.3_FG001,Metabolite,X.6255..maltose..2..24.915,GRoot,1
AC148152.3_FG001,Metabolite,X.6262..L.ornithine.2..16.632,GRoot,1
AC148152.3_FG001,Metabolite,X.6288..L.threonine.2..11.464,GRoot,1
AC148152.3_FG001,Metabolite,X.637775..3.5.dimethoxy.4.hydroxycinnamic.acid.2..20.65,GRoot,1
AC148152.3_FG001,Metabolite,X.6537496..chlorogenic.acid.1..26.37,GRoot,1
AC148152.3_FG001,Metabolite,X.6537496..chlorogenic.acid.2..27.18..s100,GRoot,0.504615846506103
AC148152.3_FG001,Metabolite,X.750..glycine..10.456..s100,GRoot,0.49073761758948
AC148152.3_FG001,Metabolite,X.754..glycerol.1.phosphate..16.056,GRoot,1
AC148152.3_FG001,Metabolite,X.791..DL.isoleucine.2..10.225,GRoot,1
AC148152.3_FG001,Metabolite,X.827..ribitol..15.66,GRoot,0.0686071402994088
AC148152.3_FG001,Metabolite,X.8742..shikimic.acid..16.433..s100,GRoot,0.434805373147225
AC148152.3_FG001,Metabolite,X.892..myo.inositol..19.354..s100,GRoot,1
AC148152.3_FG001,Metabolite,X.92824..D.malic.acid..12.794..s100,GRoot,0.895543716745721
AC148152.3_FG001,Metabolite,X.938..nicotinic.acid..10.27,GRoot,0.00010448818865072
AC148152.3_FG001,Metabolite,X.971..oxalic.acid..7.883,GRoot,1
AC148152.3_FG001,Metabolite,X.9750..citrulline.2..16.691,GRoot,1
AC148152.3_FG001,other,EarDiameter,GRoot,0.657314729720705
AC148152.3_FG001,other,GerminationCount,GRoot,0.760806379907065
AC148152.3_FG001,other,NIROil,GRoot,1
AC148152.3_FG001,other,NIRProtein,GRoot,1
AC148152.3_FG001,other,NIRStarch,GRoot,0.902811914022939
AC148152.3_FG001,other,SeedSetLength,GRoot,1
AC148152.3_FG001,other,SouthernLeafBlight,GRoot,1
AC148152.3_FG001,other,Spikelets.MainSpike,GRoot,0.306225735678413
AC148152.3_FG001,other,Spikelets.PrimaryBranch,GRoot,0.845628936269353
AC148152.3_FG001,other,StandCount,GRoot,1
AC148152.3_FG001,other,TasselBranchLength,GRoot,1
AC148152.3_FG001,Seed Traits,CobWeight,GRoot,1
AC148152.3_FG001,Seed Traits,TotalKernelNum,GRoot,0.133716598761241
AC148152.3_FG001,Seed Traits,X20KernelWeight,GRoot,1
AC148152.3_FG005,Development,EarHeight,GShoot,1
AC148152.3_FG005,Development,EarHeight,L3Tip,0.00235555516079633
AC148152.3_FG005,Development,PlantHeight,GShoot,0.658665229471977
AC148152.3_FG005,Development,PlantHeight,L3Tip,0.0765063825831687
AC148152.3_FG005,Female Inflorescence,CobDiameter,GShoot,0.698415827746865
AC148152.3_FG005,Female Inflorescence,EarRankNumber,L3Base,0.787455703111408
AC148152.3_FG005,Female Inflorescence,EarRankNumber,L3Tip,1
AC148152.3_FG005,Female Inflorescence,EarRowNumber,GShoot,0.881891477823174
AC148152.3_FG005,Female Inflorescence,EarRowNumber,L3Base,0.257175302046244
AC148152.3_FG005,Flowering Time,AnthesistoSilkInterval,L3Base,0.409681291755531
AC148152.3_FG005,Flowering Time,DaystoSilk,L3Tip,0.160368741457844
AC148152.3_FG005,Flowering Time,DaysToTassel,GRoot,0.179002132256627
AC148152.3_FG005,Flowering Time,DaysToTassel,L3Tip,0.432551852970932
AC148152.3_FG005,Flowering Time,GDDAnthesis.SilkingInterval,GShoot,0.0510882889557554
AC148152.3_FG005,Flowering Time,GDDAnthesis.SilkingInterval,L3Base,1
AC148152.3_FG005,Flowering Time,GDDDaystoSilk,L3Tip,0.180163230015119
AC148152.3_FG005,Flowering Time,GDDDaystoTassel,GRoot,0.61009690309798
AC148152.3_FG005,Flowering Time,GDDDaystoTassel,L3Tip,0.79428063007402
AC148152.3_FG005,Leaf Morphology,LeafLength,GRoot,1
AC148152.3_FG005,Leaf Morphology,LeafLength,GShoot,0.868219085864288
AC148152.3_FG005,Leaf Morphology,LeafLength,L3Tip,1
AC148152.3_FG005,Leaf Morphology,LeafWidth,GShoot,0.220504453229605
AC148152.3_FG005,Leaf Morphology,LeafWidth,L3Base,0.129318758600664
AC148152.3_FG005,Leaf Morphology,LeafWidth,L3Tip,0.00924538198082669
AC148152.3_FG005,Male Inflorescence,TasselLength,GShoot,0.0243895616020371
AC148152.3_FG005,Male Inflorescence,TasselLength,L3Tip,1
AC148152.3_FG005,Male Inflorescence,TasselPrimaryBranches,L3Base,0.1842776507715
AC148152.3_FG005,Male Inflorescence,TasselPrimaryBranches,L3Tip,0.0761197751671505
AC148152.3_FG005,Metabolite,X.1001..phenethylamine..13.742,GShoot,0.683114577923802
AC148152.3_FG005,Metabolite,X.1001..phenethylamine..13.742,L3Base,0.930720532053644
AC148152.3_FG005,Metabolite,X.1001..phenethylamine..13.742,L3Tip,1
AC148152.3_FG005,Metabolite,X.1060..pyruvic.acid..6.714,GShoot,0.0343004026531988
AC148152.3_FG005,Metabolite,X.12647..L.homoserine.2..12.359,GShoot,0.305335701967405
AC148152.3_FG005,Metabolite,X.128869..galactonic.acid.2..18.504,GRoot,0.768819491078754
AC148152.3_FG005,Metabolite,X.128869..galactonic.acid.2..18.504,L3Base,0.465478610053925
AC148152.3_FG005,Metabolite,X.1549111..caffeic.acid..19.755,L3Base,1
AC148152.3_FG005,Metabolite,X.1549111..caffeic.acid..19.755,L3Tip,1
AC148152.3_FG005,Metabolite,X.204..allantoin.1..17.293,GShoot,0.0017437928063424
AC148152.3_FG005,Metabolite,X.204..allantoin.1..17.293,L3Base,0.160579974600433
AC148152.3_FG005,Metabolite,X.2116..alpha.tocophereol..27.379,GShoot,0.650610034372546
AC148152.3_FG005,Metabolite,X.2116..alpha.tocophereol..27.379,L3Tip,1
AC148152.3_FG005,Metabolite,X.236..L.asparagine.2..14.984,L3Base,0.594776060057755
AC148152.3_FG005,Metabolite,X.3037582..mucic.acid..18.907,L3Base,1
AC148152.3_FG005,Metabolite,X.311..citric.acid..16.615..s100,L3Tip,1
AC148152.3_FG005,Metabolite,X.33032..L.glutamic.acid.3..dehydrated...13.232..s100,L3Base,1
AC148152.3_FG005,Metabolite,X.439183..3.phosphoglyceric.acid..16.504,L3Base,0.4817399238013
AC148152.3_FG005,Metabolite,X.439194..glyceric.acid..10.735,GShoot,0.297917778726726
AC148152.3_FG005,Metabolite,X.439242..Raffinose..29.282,GShoot,8.83360051773252e-11
AC148152.3_FG005,Metabolite,X.439242..Raffinose..29.282,L3Base,1
AC148152.3_FG005,Metabolite,X.439451..galactinol.2..26.479,GShoot,0.738687897111224
AC148152.3_FG005,Metabolite,X.439451..galactinol.2..26.479,L3Base,0.9634798476026
AC148152.3_FG005,Metabolite,X.439451..galactinol.2..26.479,L3Tip,1
AC148152.3_FG005,Metabolite,X.439742..beta.cyano.L.alanine..11.288,L3Base,0.383178690040671
