nQTLper,nQTLar,h2_as,seed
10,10,0.25,1231
10,10,0.5,1231
10,10,0.75,1231
10,50,0.25,1231
10,50,0.5,1231
10,50,0.75,1231
10,100,0.25,1231
10,100,0.5,1231
10,100,0.75,1231
50,10,0.25,1231
50,10,0.5,1231
50,10,0.75,1231
50,50,0.25,1231
50,50,0.5,1231
50,50,0.75,1231
50,100,0.25,1231
50,100,0.5,1231
50,100,0.75,1231
100,10,0.25,1231
100,10,0.5,1231
100,10,0.75,1231
100,50,0.25,1231
100,50,0.5,1231
100,50,0.75,1231
100,100,0.25,1231
100,100,0.5,1231
100,100,0.75,1231
10,10,0.25,1232
10,10,0.5,1232
10,10,0.75,1232
10,50,0.25,1232
10,50,0.5,1232
10,50,0.75,1232
10,100,0.25,1232
10,100,0.5,1232
10,100,0.75,1232
50,10,0.25,1232
50,10,0.5,1232
50,10,0.75,1232
50,50,0.25,1232
50,50,0.5,1232
50,50,0.75,1232
50,100,0.25,1232
50,100,0.5,1232
50,100,0.75,1232
100,10,0.25,1232
100,10,0.5,1232
100,10,0.75,1232
100,50,0.25,1232
100,50,0.5,1232
100,50,0.75,1232
100,100,0.25,1232
100,100,0.5,1232
100,100,0.75,1232
10,10,0.25,1233
10,10,0.5,1233
10,10,0.75,1233
10,50,0.25,1233
10,50,0.5,1233
10,50,0.75,1233
10,100,0.25,1233
10,100,0.5,1233
10,100,0.75,1233
50,10,0.25,1233
50,10,0.5,1233
50,10,0.75,1233
50,50,0.25,1233
50,50,0.5,1233
50,50,0.75,1233
50,100,0.25,1233
50,100,0.5,1233
50,100,0.75,1233
100,10,0.25,1233
100,10,0.5,1233
100,10,0.75,1233
100,50,0.25,1233
100,50,0.5,1233
100,50,0.75,1233
100,100,0.25,1233
100,100,0.5,1233
100,100,0.75,1233
10,10,0.25,1234
10,10,0.5,1234
10,10,0.75,1234
10,50,0.25,1234
10,50,0.5,1234
10,50,0.75,1234
10,100,0.25,1234
10,100,0.5,1234
10,100,0.75,1234
50,10,0.25,1234
50,10,0.5,1234
50,10,0.75,1234
50,50,0.25,1234
50,50,0.5,1234
50,50,0.75,1234
50,100,0.25,1234
50,100,0.5,1234
50,100,0.75,1234
100,10,0.25,1234
100,10,0.5,1234
100,10,0.75,1234
100,50,0.25,1234
100,50,0.5,1234
100,50,0.75,1234
100,100,0.25,1234
100,100,0.5,1234
100,100,0.75,1234
10,10,0.25,1235
10,10,0.5,1235
10,10,0.75,1235
10,50,0.25,1235
10,50,0.5,1235
10,50,0.75,1235
10,100,0.25,1235
10,100,0.5,1235
10,100,0.75,1235
50,10,0.25,1235
50,10,0.5,1235
50,10,0.75,1235
50,50,0.25,1235
50,50,0.5,1235
50,50,0.75,1235
50,100,0.25,1235
50,100,0.5,1235
50,100,0.75,1235
100,10,0.25,1235
100,10,0.5,1235
100,10,0.75,1235
100,50,0.25,1235
100,50,0.5,1235
100,50,0.75,1235
100,100,0.25,1235
100,100,0.5,1235
100,100,0.75,1235
10,10,0.25,1236
10,10,0.5,1236
10,10,0.75,1236
10,50,0.25,1236
10,50,0.5,1236
10,50,0.75,1236
10,100,0.25,1236
10,100,0.5,1236
10,100,0.75,1236
50,10,0.25,1236
50,10,0.5,1236
50,10,0.75,1236
50,50,0.25,1236
50,50,0.5,1236
50,50,0.75,1236
50,100,0.25,1236
50,100,0.5,1236
50,100,0.75,1236
100,10,0.25,1236
100,10,0.5,1236
100,10,0.75,1236
100,50,0.25,1236
100,50,0.5,1236
100,50,0.75,1236
100,100,0.25,1236
100,100,0.5,1236
100,100,0.75,1236
10,10,0.25,1237
10,10,0.5,1237
10,10,0.75,1237
10,50,0.25,1237
10,50,0.5,1237
10,50,0.75,1237
10,100,0.25,1237
10,100,0.5,1237
10,100,0.75,1237
50,10,0.25,1237
50,10,0.5,1237
50,10,0.75,1237
50,50,0.25,1237
50,50,0.5,1237
50,50,0.75,1237
50,100,0.25,1237
50,100,0.5,1237
50,100,0.75,1237
100,10,0.25,1237
100,10,0.5,1237
100,10,0.75,1237
100,50,0.25,1237
100,50,0.5,1237
100,50,0.75,1237
100,100,0.25,1237
100,100,0.5,1237
100,100,0.75,1237
10,10,0.25,1238
10,10,0.5,1238
10,10,0.75,1238
10,50,0.25,1238
10,50,0.5,1238
10,50,0.75,1238
10,100,0.25,1238
10,100,0.5,1238
10,100,0.75,1238
50,10,0.25,1238
50,10,0.5,1238
50,10,0.75,1238
50,50,0.25,1238
50,50,0.5,1238
50,50,0.75,1238
50,100,0.25,1238
50,100,0.5,1238
50,100,0.75,1238
100,10,0.25,1238
100,10,0.5,1238
100,10,0.75,1238
100,50,0.25,1238
100,50,0.5,1238
100,50,0.75,1238
100,100,0.25,1238
100,100,0.5,1238
100,100,0.75,1238
10,10,0.25,1239
10,10,0.5,1239
10,10,0.75,1239
10,50,0.25,1239
10,50,0.5,1239
10,50,0.75,1239
10,100,0.25,1239
10,100,0.5,1239
10,100,0.75,1239
50,10,0.25,1239
50,10,0.5,1239
50,10,0.75,1239
50,50,0.25,1239
50,50,0.5,1239
50,50,0.75,1239
50,100,0.25,1239
50,100,0.5,1239
50,100,0.75,1239
100,10,0.25,1239
100,10,0.5,1239
100,10,0.75,1239
100,50,0.25,1239
100,50,0.5,1239
100,50,0.75,1239
100,100,0.25,1239
100,100,0.5,1239
100,100,0.75,1239
10,10,0.25,1240
10,10,0.5,1240
10,10,0.75,1240
10,50,0.25,1240
10,50,0.5,1240
10,50,0.75,1240
10,100,0.25,1240
10,100,0.5,1240
10,100,0.75,1240
50,10,0.25,1240
50,10,0.5,1240
50,10,0.75,1240
50,50,0.25,1240
50,50,0.5,1240
50,50,0.75,1240
50,100,0.25,1240
50,100,0.5,1240
50,100,0.75,1240
100,10,0.25,1240
100,10,0.5,1240
100,10,0.75,1240
100,50,0.25,1240
100,50,0.5,1240
100,50,0.75,1240
100,100,0.25,1240
100,100,0.5,1240
100,100,0.75,1240
