medi	snps_for_medi	coef	file	method	tissue	trait	seq	Pos	medi_V4_name
AC148152.3_FG001	8-111015282	-0.060455692	res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv	res.fixed	GRoot	X.8742..shikimic.acid..16.433..s100	8	114189191	Zm00001d007725
AC148152.3_FG001	1-267945089	-0.19556084	res.fixed_indirect_X.6537496..chlorogenic.acid.2..27.18..s100_ts_GRoot.csv	res.fixed	GRoot	X.6537496..chlorogenic.acid.2..27.18..s100	1	272689410	Zm00001d007725
AC148152.3_FG001	1-256408861	-0.023862343	res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv	res.fixed	GRoot	X.8742..shikimic.acid..16.433..s100	1	260914388	Zm00001d007725
AC148152.3_FG001	1-292801415	-0.032607147	res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv	res.fixed	GRoot	X.8742..shikimic.acid..16.433..s100	1	298254270	Zm00001d007725
AC148152.3_FG001	8-48845982	-0.072815568	res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv	res.fixed	GRoot	X.8742..shikimic.acid..16.433..s100	8	50140123	Zm00001d007725
AC148152.3_FG001	9-42459208	0.00588165	res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv	res.fixed	GRoot	X.8742..shikimic.acid..16.433..s100	9	43067614	Zm00001d007725
AC148152.3_FG001	8-82188914	0.037941541	res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv	res.fixed	GRoot	X.8742..shikimic.acid..16.433..s100	8	84257710	Zm00001d007725
AC148152.3_FG001	1-278195696	-0.101063054	res.fixed_indirect_X.5321342..beta.sitosterol..28.848_ts_GRoot.csv	res.fixed	GRoot	X.5321342..beta.sitosterol..28.848	1	283161555	Zm00001d007725
AC148152.3_FG001	9-7701133	-0.002365741	res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv	res.fixed	GRoot	X.8742..shikimic.acid..16.433..s100	9	7296462	Zm00001d007725
AC148152.3_FG001	1-258402989	-0.055831126	res.fixed_indirect_X.5321342..beta.sitosterol..28.848_ts_GRoot.csv	res.fixed	GRoot	X.5321342..beta.sitosterol..28.848	1	262966610	Zm00001d007725
AC148152.3_FG001	4-64954427	-0.104901651	res.fixed_indirect_X.5321342..beta.sitosterol..28.848_ts_GRoot.csv	res.fixed	GRoot	X.5321342..beta.sitosterol..28.848	4	67400425	Zm00001d007725
