trait,snp,pval,coef,file,chr,pos,method,tissue,gwas_overlap,category
GDDAnthesis.SilkingInterval,1-6777945,3.98938091353021e-83,1.46533578121308,res.fixed_dsnps_GDDAnthesis.SilkingInterval_ts_LMAN.csv,1,6773022,res.fixed,LMAN,0,Flowering Time
AnthesistoSilkInterval,1-6777945,3.06667544481723e-106,0.0402176449800036,res.fixed_dsnps_AnthesistoSilkInterval_ts_L3Base.csv,1,6773022,res.fixed,L3Base,0,Flowering Time
AnthesistoSilkInterval,1-6777945,5.7675097916661e-42,0.165976349431944,res.fixed_dsnps_AnthesistoSilkInterval_ts_LMAN.csv,1,6773022,res.fixed,LMAN,0,Flowering Time
AnthesistoSilkInterval,1-6777945,7.10515657614479e-110,-0.0235594794920446,res.fixed_dsnps_AnthesistoSilkInterval_ts_GShoot.csv,1,6773022,res.fixed,GShoot,0,Flowering Time
GDDAnthesis.SilkingInterval,1-6777945,1.9702069729985e-43,1.569972152719,res.fixed_dsnps_GDDAnthesis.SilkingInterval_ts_L3Base.csv,1,6773022,res.fixed,L3Base,0,Flowering Time
AnthesistoSilkInterval,1-6777945,8.05908445360067e-45,-0.00712332435682626,res.fixed_dsnps_AnthesistoSilkInterval_ts_L3Tip.csv,1,6773022,res.fixed,L3Tip,0,Flowering Time
AnthesistoSilkInterval,1-6777945,5.86508009098279e-137,0.0596978633800606,res.fixed_dsnps_AnthesistoSilkInterval_ts_GRoot.csv,1,6773022,res.fixed,GRoot,0,Flowering Time
GDDAnthesis.SilkingInterval,1-6777945,5.0153554817622e-166,2.47507365681889,res.fixed_dsnps_GDDAnthesis.SilkingInterval_ts_L3Tip.csv,1,6773022,res.fixed,L3Tip,0,Flowering Time
AnthesistoSilkInterval,1-23875652,7.10515657614479e-110,-0.126632139093212,res.fixed_dsnps_AnthesistoSilkInterval_ts_GShoot.csv,1,24223089,res.fixed,GShoot,0,Flowering Time
AnthesistoSilkInterval,1-23875652,5.7675097916661e-42,-0.142520600741254,res.fixed_dsnps_AnthesistoSilkInterval_ts_LMAN.csv,1,24223089,res.fixed,LMAN,0,Flowering Time
AnthesistoSilkInterval,1-23875652,5.86508009098279e-137,-0.178150814625771,res.fixed_dsnps_AnthesistoSilkInterval_ts_GRoot.csv,1,24223089,res.fixed,GRoot,0,Flowering Time
AnthesistoSilkInterval,1-35590766,5.86508009098279e-137,-0.189374126379362,res.fixed_dsnps_AnthesistoSilkInterval_ts_GRoot.csv,1,36138905,res.fixed,GRoot,0,Flowering Time
AnthesistoSilkInterval,1-35590766,5.7675097916661e-42,-0.19477008062592,res.fixed_dsnps_AnthesistoSilkInterval_ts_LMAN.csv,1,36138905,res.fixed,LMAN,0,Flowering Time
AnthesistoSilkInterval,1-35590766,7.10515657614479e-110,-0.11684350022083,res.fixed_dsnps_AnthesistoSilkInterval_ts_GShoot.csv,1,36138905,res.fixed,GShoot,0,Flowering Time
AnthesistoSilkInterval,1-35590766,3.06667544481723e-106,-0.0877607547868576,res.fixed_dsnps_AnthesistoSilkInterval_ts_L3Base.csv,1,36138905,res.fixed,L3Base,0,Flowering Time
AnthesistoSilkInterval,1-225078967,5.7675097916661e-42,-0.0945837257219752,res.fixed_dsnps_AnthesistoSilkInterval_ts_LMAN.csv,1,228741077,res.fixed,LMAN,0,Flowering Time
AnthesistoSilkInterval,1-225078967,5.86508009098279e-137,-0.00331841698920909,res.fixed_dsnps_AnthesistoSilkInterval_ts_GRoot.csv,1,228741077,res.fixed,GRoot,0,Flowering Time
AnthesistoSilkInterval,1-225078967,5.84490473945915e-70,-0.0810010680671825,res.fixed_dsnps_AnthesistoSilkInterval_ts_LMAD.csv,1,228741077,res.fixed,LMAD,0,Flowering Time
AnthesistoSilkInterval,1-260573146,5.86508009098279e-137,0.167799687005029,res.fixed_dsnps_AnthesistoSilkInterval_ts_GRoot.csv,1,265090588,res.fixed,GRoot,0,Flowering Time
