Species	Protein ID	Family	Genome/EST	Category
Zea mays	GRMZM2G024976_P01	ARID	Genome	Other
Zea mays	GRMZM2G093668_P01	ARID	Genome	Other
Zea mays	GRMZM2G093668_P02	ARID	Genome	Other
Zea mays	GRMZM2G105807_P01	ARID	Genome	Other
Zea mays	GRMZM2G105807_P02	ARID	Genome	Other
Zea mays	GRMZM2G105807_P03	ARID	Genome	Other
Zea mays	GRMZM2G110109_P01	ARID	Genome	Other
Zea mays	GRMZM2G123295_P03	ARID	Genome	Other
Zea mays	GRMZM2G140156_P01	ARID	Genome	Other
Zea mays	GRMZM2G140411_P01	ARID	Genome	Other
Zea mays	GRMZM2G140411_P02	ARID	Genome	Other
Zea mays	GRMZM2G140411_P03	ARID	Genome	Other
Zea mays	GRMZM2G165452_P05	ARID	Genome	Other
Zea mays	GRMZM2G180654_P01	ARID	Genome	Other
Zea mays	GRMZM2G180654_P03	ARID	Genome	Other
Zea mays	GRMZM2G180654_P04	ARID	Genome	Other
Zea mays	GRMZM2G000158_P01	AUX/IAA	Genome	Other
Zea mays	GRMZM2G000158_P02	AUX/IAA	Genome	Other
Zea mays	GRMZM2G000158_P03	AUX/IAA	Genome	Other
Zea mays	GRMZM2G000158_P04	AUX/IAA	Genome	Other
Zea mays	GRMZM2G001799_P01	AUX/IAA	Genome	Other
Zea mays	GRMZM2G004696_P01	AUX/IAA	Genome	Other
Zea mays	GRMZM2G013158_P01	AUX/IAA	Genome	Other
Zea mays	GRMZM2G018479_P01	AUX/IAA	Genome	Other
Zea mays	GRMZM2G018479_P02	AUX/IAA	Genome	Other
Zea mays	GRMZM2G030465_P01	AUX/IAA	Genome	Other
Zea mays	GRMZM2G030465_P02	AUX/IAA	Genome	Other
Zea mays	GRMZM2G034840_P02	AUX/IAA	Genome	Other
Zea mays	GRMZM2G035465_P01	AUX/IAA	Genome	Other
Zea mays	GRMZM2G035465_P02	AUX/IAA	Genome	Other
Zea mays	GRMZM2G035465_P03	AUX/IAA	Genome	Other
Zea mays	GRMZM2G035465_P04	AUX/IAA	Genome	Other
Zea mays	GRMZM2G035465_P05	AUX/IAA	Genome	Other
Zea mays	GRMZM2G037368_P01	AUX/IAA	Genome	Other
Zea mays	GRMZM2G048131_P01	AUX/IAA	Genome	Other
Zea mays	GRMZM2G051769_P01	AUX/IAA	Genome	Other
Zea mays	GRMZM2G057067_P01	AUX/IAA	Genome	Other
Zea mays	GRMZM2G057067_P02	AUX/IAA	Genome	Other
Zea mays	GRMZM2G057067_P03	AUX/IAA	Genome	Other
Zea mays	GRMZM2G057067_P04	AUX/IAA	Genome	Other
Zea mays	GRMZM2G059544_P01	AUX/IAA	Genome	Other
Zea mays	GRMZM2G060022_P01	AUX/IAA	Genome	Other
Zea mays	GRMZM2G060022_P02	AUX/IAA	Genome	Other
Zea mays	GRMZM2G060022_P03	AUX/IAA	Genome	Other
Zea mays	GRMZM2G066155_P01	AUX/IAA	Genome	Other
Zea mays	GRMZM2G066155_P02	AUX/IAA	Genome	Other
Zea mays	GRMZM2G074427_P01	AUX/IAA	Genome	Other
