v3_id,v4_id,category,trait,tissue,p_adjusted,coef,num_of_times_identified,chromosome_name,start_position,end_position,description
AC148152.3_FG001,Zm00001d007725,Metabolite,X.5321342..beta.sitosterol..28.848,GRoot,0.001127894,0.000319603,8,2,238219444,238221798,Ankyrin repeat family protein
AC148152.3_FG001,Zm00001d007725,other,NIRProtein,GRoot,0.000371389,0.136961893,8,2,238219444,238221798,Ankyrin repeat family protein
AC148152.3_FG001,Zm00001d007725,Metabolite,X.8742..shikimic.acid..16.433..s100,GRoot,0.033770462,-0.001651339,8,2,238219444,238221798,Ankyrin repeat family protein
AC148152.3_FG001,Zm00001d007725,Flowering Time,GDDAnthesis.SilkingInterval,GRoot,0.000247938,1.970306882,8,2,238219444,238221798,Ankyrin repeat family protein
AC148152.3_FG001,Zm00001d007725,Metabolite,X.6537496..chlorogenic.acid.2..27.18..s100,GRoot,1.26E-12,0.002991932,8,2,238219444,238221798,Ankyrin repeat family protein
AC148152.3_FG001,Zm00001d007725,other,Spikelets.MainSpike,GRoot,0.001244116,-0.490947037,8,2,238219444,238221798,Ankyrin repeat family protein
AC148152.3_FG001,Zm00001d007725,Flowering Time,AnthesistoSilkInterval,GRoot,0.009677492,0.128334151,8,2,238219444,238221798,Ankyrin repeat family protein
AC148152.3_FG001,Zm00001d007725,Leaf Morphology,LeafWidth,GRoot,0.000166962,-1.218879545,8,2,238219444,238221798,Ankyrin repeat family protein
AC148152.3_FG005,Zm00001d007718,Female Inflorescence,EarLength,L3Base,0.000408409,-1.89679969,40,2,238143557,238145188,bx13;benzoxazinone synthesis13: encodes a 2-oxoglutarate-dependent dioxygenase that catalyzes the conversion of DIMBOA-Glc into a new benzoxazinoid intermediate (TRIMBOA-Glc) by an uncommon reaction involving a hydroxylation and a likely ortho-rearrangement of a methoxy group.
AC148152.3_FG005,Zm00001d007718,Metabolite,X.444212..trans.aconitic.acid..15.842..s100,L3Base,0.000939374,0.002053122,40,2,238143557,238145188,bx13;benzoxazinone synthesis13: encodes a 2-oxoglutarate-dependent dioxygenase that catalyzes the conversion of DIMBOA-Glc into a new benzoxazinoid intermediate (TRIMBOA-Glc) by an uncommon reaction involving a hydroxylation and a likely ortho-rearrangement of a methoxy group.
AC148152.3_FG005,Zm00001d007718,Leaf Morphology,LeafWidth,L3Tip,4.60E-14,1.904702314,40,2,238143557,238145188,bx13;benzoxazinone synthesis13: encodes a 2-oxoglutarate-dependent dioxygenase that catalyzes the conversion of DIMBOA-Glc into a new benzoxazinoid intermediate (TRIMBOA-Glc) by an uncommon reaction involving a hydroxylation and a likely ortho-rearrangement of a methoxy group.
AC148152.3_FG005,Zm00001d007718,other,GerminationCount,L3Base,0.0246048,-0.143265867,40,2,238143557,238145188,bx13;benzoxazinone synthesis13: encodes a 2-oxoglutarate-dependent dioxygenase that catalyzes the conversion of DIMBOA-Glc into a new benzoxazinoid intermediate (TRIMBOA-Glc) by an uncommon reaction involving a hydroxylation and a likely ortho-rearrangement of a methoxy group.
