snps_for_medi,medi,coef,file,method,tissue,trait,seq,Pos
1-33516619,AC148152.3_FG001,0.00413619955711399,res.fixed_indirect_LeafWidth_ts_GRoot.csv,res.fixed,GRoot,LeafWidth,1,33837407
1-33516619,AC148152.3_FG001,0.0100052373239167,res.fixed_indirect_NIRProtein_ts_GRoot.csv,res.fixed,GRoot,NIRProtein,1,33837407
1-33516619,AC148152.3_FG001,0.00413619955711399,res.fixed_indirect_AnthesistoSilkInterval_ts_GRoot.csv,res.fixed,GRoot,AnthesistoSilkInterval,1,33837407
1-33516619,AC148152.3_FG001,0.00413619955711399,res.fixed_indirect_GDDAnthesis.SilkingInterval_ts_GRoot.csv,res.fixed,GRoot,GDDAnthesis.SilkingInterval,1,33837407
1-33516619,AC148152.3_FG001,0.00413619955711399,res.fixed_indirect_Spikelets.MainSpike_ts_GRoot.csv,res.fixed,GRoot,Spikelets.MainSpike,1,33837407
1-253969535,AC148152.3_FG001,-0.0993293086654149,res.fixed_indirect_X.6537496..chlorogenic.acid.2..27.18..s100_ts_GRoot.csv,res.fixed,GRoot,X.6537496..chlorogenic.acid.2..27.18..s100,1,258180254
1-253969535,AC148152.3_FG001,-0.00869641292619102,res.fixed_indirect_X.5321342..beta.sitosterol..28.848_ts_GRoot.csv,res.fixed,GRoot,X.5321342..beta.sitosterol..28.848,1,258180254
1-253969535,AC148152.3_FG001,-0.0395310092622324,res.fixed_indirect_LeafWidth_ts_GRoot.csv,res.fixed,GRoot,LeafWidth,1,258180254
1-253969535,AC148152.3_FG001,-0.0145018705980543,res.fixed_indirect_NIRProtein_ts_GRoot.csv,res.fixed,GRoot,NIRProtein,1,258180254
1-253969535,AC148152.3_FG001,-0.0395310092622324,res.fixed_indirect_AnthesistoSilkInterval_ts_GRoot.csv,res.fixed,GRoot,AnthesistoSilkInterval,1,258180254
1-253969535,AC148152.3_FG001,-0.0395310092622324,res.fixed_indirect_GDDAnthesis.SilkingInterval_ts_GRoot.csv,res.fixed,GRoot,GDDAnthesis.SilkingInterval,1,258180254
1-253969535,AC148152.3_FG001,-0.0395310092622324,res.fixed_indirect_Spikelets.MainSpike_ts_GRoot.csv,res.fixed,GRoot,Spikelets.MainSpike,1,258180254
1-253969535,AC148152.3_FG001,-0.027227584754228,res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv,res.fixed,GRoot,X.8742..shikimic.acid..16.433..s100,1,258180254
2-180246761,AC148152.3_FG001,-0.207195194759041,res.fixed_indirect_Spikelets.MainSpike_ts_GRoot.csv,res.fixed,GRoot,Spikelets.MainSpike,2,184998778
2-180246761,AC148152.3_FG001,-0.207195194759041,res.fixed_indirect_LeafWidth_ts_GRoot.csv,res.fixed,GRoot,LeafWidth,2,184998778
2-180246761,AC148152.3_FG001,-0.133169745501579,res.fixed_indirect_NIRProtein_ts_GRoot.csv,res.fixed,GRoot,NIRProtein,2,184998778
2-180246761,AC148152.3_FG001,-0.207195194759041,res.fixed_indirect_GDDAnthesis.SilkingInterval_ts_GRoot.csv,res.fixed,GRoot,GDDAnthesis.SilkingInterval,2,184998778
2-180246761,AC148152.3_FG001,-0.207195194759041,res.fixed_indirect_AnthesistoSilkInterval_ts_GRoot.csv,res.fixed,GRoot,AnthesistoSilkInterval,2,184998778
2-195764216,AC193598.3_FG002,-0.198901915140599,res.fixed_indirect_X.9750..citrulline.2..16.691_ts_GRoot.csv,res.fixed,GRoot,X.9750..citrulline.2..16.691,2,201334458
2-195764216,AC148152.3_FG001,-0.126080628390841,res.fixed_indirect_AnthesistoSilkInterval_ts_GRoot.csv,res.fixed,GRoot,AnthesistoSilkInterval,2,201334458
2-195764216,AC148152.3_FG001,-0.134001380829104,res.fixed_indirect_NIRProtein_ts_GRoot.csv,res.fixed,GRoot,NIRProtein,2,201334458
2-195764216,AC148152.3_FG001,-0.126080628390841,res.fixed_indirect_LeafWidth_ts_GRoot.csv,res.fixed,GRoot,LeafWidth,2,201334458
2-195764216,AC148152.3_FG001,-0.126080628390841,res.fixed_indirect_Spikelets.MainSpike_ts_GRoot.csv,res.fixed,GRoot,Spikelets.MainSpike,2,201334458
2-195764216,AC148152.3_FG001,-0.126080628390841,res.fixed_indirect_GDDAnthesis.SilkingInterval_ts_GRoot.csv,res.fixed,GRoot,GDDAnthesis.SilkingInterval,2,201334458
2-230567862,AC148152.3_FG001,0.019792663498228,res.fixed_indirect_X.5321342..beta.sitosterol..28.848_ts_GRoot.csv,res.fixed,GRoot,X.5321342..beta.sitosterol..28.848,2,237001821
2-230567862,AC148152.3_FG001,-0.0821633068865585,res.fixed_indirect_Spikelets.MainSpike_ts_GRoot.csv,res.fixed,GRoot,Spikelets.MainSpike,2,237001821
2-230567862,AC148152.3_FG001,-0.0821633068865585,res.fixed_indirect_LeafWidth_ts_GRoot.csv,res.fixed,GRoot,LeafWidth,2,237001821
2-230567862,AC148152.3_FG001,-0.0821633068865585,res.fixed_indirect_GDDAnthesis.SilkingInterval_ts_GRoot.csv,res.fixed,GRoot,GDDAnthesis.SilkingInterval,2,237001821
2-230567862,AC148152.3_FG001,-0.000654143298085767,res.fixed_indirect_X.8742..shikimic.acid..16.433..s100_ts_GRoot.csv,res.fixed,GRoot,X.8742..shikimic.acid..16.433..s100,2,237001821
2-230567862,AC148152.3_FG001,-0.0821633068865585,res.fixed_indirect_AnthesistoSilkInterval_ts_GRoot.csv,res.fixed,GRoot,AnthesistoSilkInterval,2,237001821
2-231059742,AC148152.3_FG001,-0.0841195181014388,res.fixed_indirect_X.5321342..beta.sitosterol..28.848_ts_GRoot.csv,res.fixed,GRoot,X.5321342..beta.sitosterol..28.848,2,237396210
2-231059742,AC148152.3_FG001,-0.0330046963371713,res.fixed_indirect_GDDAnthesis.SilkingInterval_ts_GRoot.csv,res.fixed,GRoot,GDDAnthesis.SilkingInterval,2,237396210
2-231059742,AC148152.3_FG001,-0.0330046963371713,res.fixed_indirect_LeafWidth_ts_GRoot.csv,res.fixed,GRoot,LeafWidth,2,237396210
2-231059742,AC148152.3_FG001,-0.0330046963371713,res.fixed_indirect_AnthesistoSilkInterval_ts_GRoot.csv,res.fixed,GRoot,AnthesistoSilkInterval,2,237396210
2-231059742,AC148152.3_FG001,-0.0357796931273812,res.fixed_indirect_X.6537496..chlorogenic.acid.2..27.18..s100_ts_GRoot.csv,res.fixed,GRoot,X.6537496..chlorogenic.acid.2..27.18..s100,2,237396210
